Regret: 501, Accuracy: 0.578, Fuzzy Accuracy: 0.7996
Regret: 454, Accuracy: 0.5828, Fuzzy Accuracy: 0.8184
Regret: 405, Accuracy: 0.6136, Fuzzy Accuracy: 0.838
Regret: 495, Accuracy: 0.5692, Fuzzy Accuracy: 0.802
Regret: 429, Accuracy: 0.6048, Fuzzy Accuracy: 0.8284
Regret: 425, Accuracy: 0.5992, Fuzzy Accuracy: 0.83
Regret: 371, Accuracy: 0.6252, Fuzzy Accuracy: 0.8516
Regret: 432, Accuracy: 0.5852, Fuzzy Accuracy: 0.8272
Regret: 394, Accuracy: 0.6184, Fuzzy Accuracy: 0.8424
Regret: 449, Accuracy: 0.5956, Fuzzy Accuracy: 0.8204
Regret: 418, Accuracy: 0.6132, Fuzzy Accuracy: 0.8328
Regret: 506, Accuracy: 0.5784, Fuzzy Accuracy: 0.7976
Regret: 435, Accuracy: 0.604, Fuzzy Accuracy: 0.826
Regret: 433, Accuracy: 0.6032, Fuzzy Accuracy: 0.8268
Regret: 400, Accuracy: 0.6168, Fuzzy Accuracy: 0.84
Regret: 436, Accuracy: 0.592, Fuzzy Accuracy: 0.8256
Regret: 402, Accuracy: 0.6172, Fuzzy Accuracy: 0.8392
Regret: 398, Accuracy: 0.6152, Fuzzy Accuracy: 0.8408
Regret: 443, Accuracy: 0.6004, Fuzzy Accuracy: 0.8228
Regret: 482, Accuracy: 0.5804, Fuzzy Accuracy: 0.8072
Regret: 406, Accuracy: 0.6068, Fuzzy Accuracy: 0.8376
Regret: 373, Accuracy: 0.6252, Fuzzy Accuracy: 0.8508
Regret: 445, Accuracy: 0.5908, Fuzzy Accuracy: 0.822
Regret: 427, Accuracy: 0.6152, Fuzzy Accuracy: 0.8292
Regret: 413, Accuracy: 0.5936, Fuzzy Accuracy: 0.8348
Regret: 424, Accuracy: 0.6028, Fuzzy Accuracy: 0.8304
Regret: 392, Accuracy: 0.6184, Fuzzy Accuracy: 0.8432
Regret: 386, Accuracy: 0.6136, Fuzzy Accuracy: 0.8456
Regret: 430, Accuracy: 0.6004, Fuzzy Accuracy: 0.828
Regret: 403, Accuracy: 0.6216, Fuzzy Accuracy: 0.8388
Regret: 399, Accuracy: 0.6236, Fuzzy Accuracy: 0.8404
Regret: 453, Accuracy: 0.5904, Fuzzy Accuracy: 0.8188
Regret: 380, Accuracy: 0.6116, Fuzzy Accuracy: 0.848
Regret: 410, Accuracy: 0.6244, Fuzzy Accuracy: 0.836
Regret: 400, Accuracy: 0.6172, Fuzzy Accuracy: 0.84
Regret: 432, Accuracy: 0.6028, Fuzzy Accuracy: 0.8272
Regret: 436, Accuracy: 0.5928, Fuzzy Accuracy: 0.8256
Regret: 464, Accuracy: 0.578, Fuzzy Accuracy: 0.8144
Regret: 440, Accuracy: 0.5996, Fuzzy Accuracy: 0.824
Regret: 414, Accuracy: 0.6108, Fuzzy Accuracy: 0.8344
Regret: 444, Accuracy: 0.602, Fuzzy Accuracy: 0.8224
Regret: 450, Accuracy: 0.604, Fuzzy Accuracy: 0.82
Regret: 365, Accuracy: 0.6316, Fuzzy Accuracy: 0.854
Regret: 473, Accuracy: 0.5968, Fuzzy Accuracy: 0.8108
Regret: 390, Accuracy: 0.6184, Fuzzy Accuracy: 0.844
Regret: 426, Accuracy: 0.5928, Fuzzy Accuracy: 0.8296
Regret: 365, Accuracy: 0.6392, Fuzzy Accuracy: 0.854
Regret: 393, Accuracy: 0.6208, Fuzzy Accuracy: 0.8428
Regret: 421, Accuracy: 0.6064, Fuzzy Accuracy: 0.8316
Regret: 424, Accuracy: 0.5996, Fuzzy Accuracy: 0.8304
