Regret: 591.9500000000044, Accuracy: 0.5978260869565217, Fuzzy Accuracy: 0.8165217391304348
Regret: 654.0687500000062, Accuracy: 0.5665217391304348, Fuzzy Accuracy: 0.7865217391304348
Regret: 549.5437500000032, Accuracy: 0.611304347826087, Fuzzy Accuracy: 0.8447826086956521
Regret: 648.3562500000058, Accuracy: 0.5704347826086956, Fuzzy Accuracy: 0.7882608695652173
Regret: 606.7750000000048, Accuracy: 0.5795652173913044, Fuzzy Accuracy: 0.82
Regret: 535.0687500000032, Accuracy: 0.6230434782608696, Fuzzy Accuracy: 0.8473913043478261
Regret: 552.7500000000036, Accuracy: 0.6182608695652174, Fuzzy Accuracy: 0.8347826086956521
Regret: 600.7812500000045, Accuracy: 0.5947826086956521, Fuzzy Accuracy: 0.8108695652173913
Regret: 559.7187500000034, Accuracy: 0.6091304347826086, Fuzzy Accuracy: 0.8369565217391305
Regret: 578.7250000000041, Accuracy: 0.6039130434782609, Fuzzy Accuracy: 0.8234782608695652
Regret: 552.2125000000036, Accuracy: 0.6117391304347826, Fuzzy Accuracy: 0.8417391304347827
Regret: 601.5187500000043, Accuracy: 0.5843478260869566, Fuzzy Accuracy: 0.8204347826086956
Regret: 582.662500000004, Accuracy: 0.6, Fuzzy Accuracy: 0.8234782608695652
Regret: 536.0437500000033, Accuracy: 0.6291304347826087, Fuzzy Accuracy: 0.8404347826086956
Regret: 516.1437500000031, Accuracy: 0.6339130434782608, Fuzzy Accuracy: 0.8552173913043478
Regret: 546.0625000000033, Accuracy: 0.6160869565217392, Fuzzy Accuracy: 0.8434782608695652
Regret: 587.8750000000039, Accuracy: 0.5921739130434782, Fuzzy Accuracy: 0.8260869565217391
Regret: 580.9375000000043, Accuracy: 0.6034782608695652, Fuzzy Accuracy: 0.8217391304347826
Regret: 577.3062500000041, Accuracy: 0.5978260869565217, Fuzzy Accuracy: 0.8308695652173913
Regret: 550.4812500000033, Accuracy: 0.6147826086956522, Fuzzy Accuracy: 0.8404347826086956
Regret: 524.125000000003, Accuracy: 0.6334782608695653, Fuzzy Accuracy: 0.8478260869565217
Regret: 569.9250000000039, Accuracy: 0.6091304347826086, Fuzzy Accuracy: 0.8269565217391305
Regret: 544.7687500000035, Accuracy: 0.6186956521739131, Fuzzy Accuracy: 0.8421739130434782
Regret: 579.5562500000042, Accuracy: 0.6, Fuzzy Accuracy: 0.8265217391304348
Regret: 587.9875000000043, Accuracy: 0.6, Fuzzy Accuracy: 0.8182608695652174
Regret: 536.4687500000034, Accuracy: 0.6278260869565218, Fuzzy Accuracy: 0.841304347826087
Regret: 544.0062500000035, Accuracy: 0.6273913043478261, Fuzzy Accuracy: 0.8343478260869566
Regret: 544.3312500000035, Accuracy: 0.6191304347826087, Fuzzy Accuracy: 0.8421739130434782
Regret: 546.1000000000033, Accuracy: 0.6186956521739131, Fuzzy Accuracy: 0.8408695652173913
Regret: 554.8937500000035, Accuracy: 0.6130434782608696, Fuzzy Accuracy: 0.8378260869565217
Regret: 578.7562500000045, Accuracy: 0.6060869565217392, Fuzzy Accuracy: 0.821304347826087
Regret: 535.9750000000034, Accuracy: 0.6243478260869565, Fuzzy Accuracy: 0.8452173913043478
Regret: 562.3750000000036, Accuracy: 0.6086956521739131, Fuzzy Accuracy: 0.8347826086956521
Regret: 578.7000000000043, Accuracy: 0.6021739130434782, Fuzzy Accuracy: 0.8252173913043478
Regret: 570.7750000000036, Accuracy: 0.6065217391304348, Fuzzy Accuracy: 0.828695652173913
Regret: 611.700000000005, Accuracy: 0.5826086956521739, Fuzzy Accuracy: 0.8121739130434783
Regret: 572.0375000000038, Accuracy: 0.6017391304347826, Fuzzy Accuracy: 0.8321739130434782
Regret: 585.3375000000043, Accuracy: 0.6008695652173913, Fuzzy Accuracy: 0.82
Regret: 590.081250000004, Accuracy: 0.591304347826087, Fuzzy Accuracy: 0.8247826086956521
Regret: 541.2062500000034, Accuracy: 0.6178260869565217, Fuzzy Accuracy: 0.8465217391304348
Regret: 570.318750000004, Accuracy: 0.6056521739130435, Fuzzy Accuracy: 0.83
Regret: 560.6125000000039, Accuracy: 0.6095652173913043, Fuzzy Accuracy: 0.8356521739130435
Regret: 563.6500000000038, Accuracy: 0.6047826086956521, Fuzzy Accuracy: 0.837391304347826
Regret: 540.7875000000035, Accuracy: 0.6195652173913043, Fuzzy Accuracy: 0.8452173913043478
Regret: 552.6812500000036, Accuracy: 0.6134782608695653, Fuzzy Accuracy: 0.8395652173913043
Regret: 571.1937500000038, Accuracy: 0.6047826086956521, Fuzzy Accuracy: 0.83
Regret: 652.2625000000058, Accuracy: 0.5643478260869565, Fuzzy Accuracy: 0.7904347826086957
Regret: 563.7062500000039, Accuracy: 0.6086956521739131, Fuzzy Accuracy: 0.8334782608695652
Regret: 573.8375000000038, Accuracy: 0.6034782608695652, Fuzzy Accuracy: 0.828695652173913
Regret: 553.5500000000037, Accuracy: 0.6121739130434782, Fuzzy Accuracy: 0.84
