Regret: 0, Accuracy: 0.26, Fuzzy Accuracy: 0.53
Regret: 0, Accuracy: 0.25, Fuzzy Accuracy: 0.55
Regret: 0, Accuracy: 0.24, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.31, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.24, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.3, Fuzzy Accuracy: 0.53
Regret: 0, Accuracy: 0.27, Fuzzy Accuracy: 0.51
Regret: 0, Accuracy: 0.25, Fuzzy Accuracy: 0.45
Regret: 0, Accuracy: 0.3, Fuzzy Accuracy: 0.54
Regret: 0, Accuracy: 0.31, Fuzzy Accuracy: 0.47
Regret: 0, Accuracy: 0.21, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.53
Regret: 0, Accuracy: 0.31, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.27, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.56
Regret: 0, Accuracy: 0.16, Fuzzy Accuracy: 0.43
Regret: 0, Accuracy: 0.27, Fuzzy Accuracy: 0.54
Regret: 0, Accuracy: 0.27, Fuzzy Accuracy: 0.53
Regret: 0, Accuracy: 0.23, Fuzzy Accuracy: 0.51
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.57
Regret: 0, Accuracy: 0.28, Fuzzy Accuracy: 0.47
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.51
Regret: 0, Accuracy: 0.23, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.22, Fuzzy Accuracy: 0.44
Regret: 0, Accuracy: 0.21, Fuzzy Accuracy: 0.5
Regret: 0, Accuracy: 0.27, Fuzzy Accuracy: 0.6
Regret: 0, Accuracy: 0.34, Fuzzy Accuracy: 0.55
Regret: 0, Accuracy: 0.14, Fuzzy Accuracy: 0.4
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.58
Regret: 0, Accuracy: 0.22, Fuzzy Accuracy: 0.51
Regret: 0, Accuracy: 0.24, Fuzzy Accuracy: 0.55
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.58
Regret: 0, Accuracy: 0.24, Fuzzy Accuracy: 0.52
Regret: 0, Accuracy: 0.33, Fuzzy Accuracy: 0.55
Regret: 0, Accuracy: 0.23, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.25, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.2, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.25, Fuzzy Accuracy: 0.51
Regret: 0, Accuracy: 0.33, Fuzzy Accuracy: 0.6
Regret: 0, Accuracy: 0.24, Fuzzy Accuracy: 0.5
Regret: 0, Accuracy: 0.31, Fuzzy Accuracy: 0.58
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.48
Regret: 0, Accuracy: 0.38, Fuzzy Accuracy: 0.56
Regret: 0, Accuracy: 0.23, Fuzzy Accuracy: 0.54
Regret: 0, Accuracy: 0.32, Fuzzy Accuracy: 0.5
Regret: 0, Accuracy: 0.31, Fuzzy Accuracy: 0.53
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.49
Regret: 0, Accuracy: 0.29, Fuzzy Accuracy: 0.54
Regret: 0, Accuracy: 0.3, Fuzzy Accuracy: 0.58
Regret: 0, Accuracy: 0.25, Fuzzy Accuracy: 0.54
