Regret: 557.6018457473575, Accuracy: 0.5314, Fuzzy Accuracy: 0.7666
Regret: 580.6809838437097, Accuracy: 0.53, Fuzzy Accuracy: 0.7716
Regret: 818.1463283432809, Accuracy: 0.3572, Fuzzy Accuracy: 0.611
Regret: 925.3729210272832, Accuracy: 0.3764, Fuzzy Accuracy: 0.5582
Regret: 528.2684008436586, Accuracy: 0.4954, Fuzzy Accuracy: 0.74
Regret: 589.8760559487719, Accuracy: 0.5202, Fuzzy Accuracy: 0.761
Regret: 410.0713778949178, Accuracy: 0.4668, Fuzzy Accuracy: 0.7134
Regret: 870.2828026963583, Accuracy: 0.4948, Fuzzy Accuracy: 0.7202
Regret: 591.679191535216, Accuracy: 0.445, Fuzzy Accuracy: 0.6776
Regret: 668.6504096066267, Accuracy: 0.4878, Fuzzy Accuracy: 0.717
Regret: 685.6532629638843, Accuracy: 0.4704, Fuzzy Accuracy: 0.7116
Regret: 572.6806083533847, Accuracy: 0.2954, Fuzzy Accuracy: 0.5488
Regret: 550.9675537028743, Accuracy: 0.5202, Fuzzy Accuracy: 0.7472
Regret: 640.9863861317764, Accuracy: 0.5282, Fuzzy Accuracy: 0.7616
Regret: 663.1910288463059, Accuracy: 0.5044, Fuzzy Accuracy: 0.7418
Regret: 680.3588172979028, Accuracy: 0.4614, Fuzzy Accuracy: 0.7124
Regret: 728.2305446124938, Accuracy: 0.4926, Fuzzy Accuracy: 0.7342
Regret: 556.7484222406731, Accuracy: 0.4778, Fuzzy Accuracy: 0.7202
Regret: 699.5029110961556, Accuracy: 0.5344, Fuzzy Accuracy: 0.7698
Regret: 575.9709372640654, Accuracy: 0.5112, Fuzzy Accuracy: 0.7644
Regret: 728.8507527190401, Accuracy: 0.5126, Fuzzy Accuracy: 0.7458
Regret: 710.1394173620325, Accuracy: 0.5072, Fuzzy Accuracy: 0.7414
Regret: 1003.9277437802849, Accuracy: 0.4696, Fuzzy Accuracy: 0.721
Regret: 511.0707299711946, Accuracy: 0.384, Fuzzy Accuracy: 0.6302
Regret: 545.1306131174034, Accuracy: 0.418, Fuzzy Accuracy: 0.6534
Regret: 570.452884457627, Accuracy: 0.5088, Fuzzy Accuracy: 0.7564
Regret: 898.5881256657598, Accuracy: 0.4954, Fuzzy Accuracy: 0.7244
Regret: 559.065681917533, Accuracy: 0.5012, Fuzzy Accuracy: 0.7392
Regret: 580.4614908706917, Accuracy: 0.527, Fuzzy Accuracy: 0.7684
Regret: 442.1707829240315, Accuracy: 0.5066, Fuzzy Accuracy: 0.748
Regret: 461.66678621418527, Accuracy: 0.496, Fuzzy Accuracy: 0.7396
Regret: 799.7510457938588, Accuracy: 0.502, Fuzzy Accuracy: 0.7458
Regret: 492.5962151385048, Accuracy: 0.529, Fuzzy Accuracy: 0.7608
Regret: 687.9051451724389, Accuracy: 0.4614, Fuzzy Accuracy: 0.7056
Regret: 633.4748991393941, Accuracy: 0.4766, Fuzzy Accuracy: 0.7156
Regret: 781.9290867095847, Accuracy: 0.509, Fuzzy Accuracy: 0.7472
Regret: 642.2890964144091, Accuracy: 0.5032, Fuzzy Accuracy: 0.734
Regret: 708.2503195739208, Accuracy: 0.5288, Fuzzy Accuracy: 0.7662
Regret: 807.3141988520937, Accuracy: 0.473, Fuzzy Accuracy: 0.7014
Regret: 780.6255509304862, Accuracy: 0.447, Fuzzy Accuracy: 0.6616
Regret: 655.3376972877141, Accuracy: 0.4958, Fuzzy Accuracy: 0.7334
Regret: 728.6158289127014, Accuracy: 0.5234, Fuzzy Accuracy: 0.7568
Regret: 747.0272649700704, Accuracy: 0.4724, Fuzzy Accuracy: 0.707
Regret: 871.273637672477, Accuracy: 0.4702, Fuzzy Accuracy: 0.6952
Regret: 657.7412794749936, Accuracy: 0.4514, Fuzzy Accuracy: 0.6678
Regret: 759.3166358775067, Accuracy: 0.4808, Fuzzy Accuracy: 0.719
Regret: 487.5718147021673, Accuracy: 0.4582, Fuzzy Accuracy: 0.7
Regret: 544.346686523913, Accuracy: 0.4112, Fuzzy Accuracy: 0.6604
Regret: 587.9873506324258, Accuracy: 0.5026, Fuzzy Accuracy: 0.7392
Regret: 346.90903477280773, Accuracy: 0.5218, Fuzzy Accuracy: 0.75
