Regret: 2051.4671428571446, Accuracy: 0.385, Fuzzy Accuracy: 0.6425
Regret: 2089.152857142858, Accuracy: 0.4891666666666667, Fuzzy Accuracy: 0.73
Regret: 1948.2842857142878, Accuracy: 0.515, Fuzzy Accuracy: 0.7583333333333333
Regret: 2024.065714285714, Accuracy: 0.5141666666666667, Fuzzy Accuracy: 0.7358333333333333
Regret: 2096.287142857144, Accuracy: 0.4891666666666667, Fuzzy Accuracy: 0.7283333333333334
Regret: 2025.15, Accuracy: 0.47833333333333333, Fuzzy Accuracy: 0.6841666666666667
Regret: 2165.9114285714295, Accuracy: 0.43166666666666664, Fuzzy Accuracy: 0.675
Regret: 2539.4571428571426, Accuracy: 0.335, Fuzzy Accuracy: 0.585
Regret: 2209.4857142857163, Accuracy: 0.3591666666666667, Fuzzy Accuracy: 0.6041666666666666
Regret: 2030.2185714285733, Accuracy: 0.48833333333333334, Fuzzy Accuracy: 0.745
Regret: 1982.6785714285697, Accuracy: 0.4241666666666667, Fuzzy Accuracy: 0.68
Regret: 2014.04142857143, Accuracy: 0.4033333333333333, Fuzzy Accuracy: 0.65
Regret: 1944.7985714285733, Accuracy: 0.5016666666666667, Fuzzy Accuracy: 0.75
Regret: 2001.1014285714302, Accuracy: 0.49, Fuzzy Accuracy: 0.7333333333333333
Regret: 1919.4314285714297, Accuracy: 0.4675, Fuzzy Accuracy: 0.6916666666666667
Regret: 2037.338571428573, Accuracy: 0.4925, Fuzzy Accuracy: 0.7166666666666667
Regret: 2052.982857142857, Accuracy: 0.4841666666666667, Fuzzy Accuracy: 0.7291666666666666
Regret: 2011.4771428571441, Accuracy: 0.5116666666666667, Fuzzy Accuracy: 0.7575
Regret: 2530.381428571428, Accuracy: 0.355, Fuzzy Accuracy: 0.5766666666666667
Regret: 1989.0900000000015, Accuracy: 0.45416666666666666, Fuzzy Accuracy: 0.7225
Regret: 2150.2385714285724, Accuracy: 0.41833333333333333, Fuzzy Accuracy: 0.6908333333333333
Regret: 1932.6214285714298, Accuracy: 0.48833333333333334, Fuzzy Accuracy: 0.7175
Regret: 2078.028571428572, Accuracy: 0.36833333333333335, Fuzzy Accuracy: 0.6233333333333333
Regret: 2082.0471428571445, Accuracy: 0.475, Fuzzy Accuracy: 0.7241666666666666
Regret: 2174.922857142856, Accuracy: 0.55, Fuzzy Accuracy: 0.8
Regret: 1949.7471428571428, Accuracy: 0.4741666666666667, Fuzzy Accuracy: 0.7125
Regret: 2050.7500000000023, Accuracy: 0.5325, Fuzzy Accuracy: 0.7541666666666667
Regret: 2011.968571428572, Accuracy: 0.4575, Fuzzy Accuracy: 0.6983333333333334
Regret: 1885.4342857142892, Accuracy: 0.5033333333333333, Fuzzy Accuracy: 0.7425
Regret: 2051.835714285715, Accuracy: 0.5325, Fuzzy Accuracy: 0.7625
Regret: 2093.981428571429, Accuracy: 0.425, Fuzzy Accuracy: 0.6858333333333333
Regret: 2267.8185714285723, Accuracy: 0.4141666666666667, Fuzzy Accuracy: 0.6458333333333334
Regret: 2219.0814285714278, Accuracy: 0.43666666666666665, Fuzzy Accuracy: 0.6791666666666667
Regret: 2185.5400000000027, Accuracy: 0.37, Fuzzy Accuracy: 0.6158333333333333
Regret: 2170.7757142857176, Accuracy: 0.44166666666666665, Fuzzy Accuracy: 0.7041666666666667
Regret: 2042.6842857142856, Accuracy: 0.44666666666666666, Fuzzy Accuracy: 0.6858333333333333
Regret: 2101.488571428574, Accuracy: 0.4166666666666667, Fuzzy Accuracy: 0.6716666666666666
Regret: 1985.9728571428575, Accuracy: 0.5041666666666667, Fuzzy Accuracy: 0.7475
Regret: 2033.000000000001, Accuracy: 0.46416666666666667, Fuzzy Accuracy: 0.7166666666666667
Regret: 2185.7914285714323, Accuracy: 0.48583333333333334, Fuzzy Accuracy: 0.7216666666666667
Regret: 2115.3285714285707, Accuracy: 0.4075, Fuzzy Accuracy: 0.6925
Regret: 1971.8085714285712, Accuracy: 0.49166666666666664, Fuzzy Accuracy: 0.72
Regret: 2199.3828571428585, Accuracy: 0.36333333333333334, Fuzzy Accuracy: 0.6175
Regret: 2005.2328571428577, Accuracy: 0.45, Fuzzy Accuracy: 0.7125
Regret: 2029.9985714285708, Accuracy: 0.4866666666666667, Fuzzy Accuracy: 0.7241666666666666
Regret: 2218.301428571426, Accuracy: 0.42833333333333334, Fuzzy Accuracy: 0.6633333333333333
Regret: 2181.6171428571433, Accuracy: 0.42833333333333334, Fuzzy Accuracy: 0.6516666666666666
Regret: 2020.8900000000008, Accuracy: 0.5166666666666667, Fuzzy Accuracy: 0.7408333333333333
Regret: 2107.678571428571, Accuracy: 0.4608333333333333, Fuzzy Accuracy: 0.7125
Regret: 2051.7500000000005, Accuracy: 0.48, Fuzzy Accuracy: 0.7316666666666667
