Regret: 950, Accuracy: 0.6050282382947714, Fuzzy Accuracy: 0.8269265804335945
Regret: 874, Accuracy: 0.6101293496083076, Fuzzy Accuracy: 0.8407724539989069
Regret: 791, Accuracy: 0.6339952632537803, Fuzzy Accuracy: 0.8558936053926034
Regret: 914, Accuracy: 0.6057569684824193, Fuzzy Accuracy: 0.8334851521224267
Regret: 845, Accuracy: 0.6214246675168519, Fuzzy Accuracy: 0.8460557478593551
Regret: 826, Accuracy: 0.6217890326106759, Fuzzy Accuracy: 0.8495172162506832
Regret: 786, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8568045181271634
Regret: 811, Accuracy: 0.6199672071415558, Fuzzy Accuracy: 0.8522499544543632
Regret: 793, Accuracy: 0.6339952632537803, Fuzzy Accuracy: 0.8555292402987794
Regret: 858, Accuracy: 0.6183275642193478, Fuzzy Accuracy: 0.843687374749499
Regret: 784, Accuracy: 0.6356349061759884, Fuzzy Accuracy: 0.8571688832209874
Regret: 969, Accuracy: 0.596283476042995, Fuzzy Accuracy: 0.8234651120422664
Regret: 869, Accuracy: 0.6216068500637639, Fuzzy Accuracy: 0.8416833667334669
Regret: 846, Accuracy: 0.6214246675168519, Fuzzy Accuracy: 0.8458735653124431
Regret: 839, Accuracy: 0.6179631991255238, Fuzzy Accuracy: 0.8471488431408271
Regret: 840, Accuracy: 0.6214246675168519, Fuzzy Accuracy: 0.8469666605939151
Regret: 889, Accuracy: 0.6145017307341957, Fuzzy Accuracy: 0.8380397157952268
Regret: 817, Accuracy: 0.6303516123155402, Fuzzy Accuracy: 0.8511568591728912
Regret: 825, Accuracy: 0.6338130807068683, Fuzzy Accuracy: 0.8496993987975952
Regret: 921, Accuracy: 0.6008380397157952, Fuzzy Accuracy: 0.8322098742940426
Regret: 832, Accuracy: 0.6197850245946438, Fuzzy Accuracy: 0.8484241209692112
Regret: 769, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8599016214246675
Regret: 853, Accuracy: 0.6155948260156677, Fuzzy Accuracy: 0.8445982874840591
Regret: 850, Accuracy: 0.6214246675168519, Fuzzy Accuracy: 0.845144835124795
Regret: 810, Accuracy: 0.624157405720532, Fuzzy Accuracy: 0.8524321370012753
Regret: 831, Accuracy: 0.624339588267444, Fuzzy Accuracy: 0.8486063035161232
Regret: 785, Accuracy: 0.6327199854253962, Fuzzy Accuracy: 0.8569867006740755
Regret: 830, Accuracy: 0.6221533977045, Fuzzy Accuracy: 0.8487884860630351
Regret: 875, Accuracy: 0.6101293496083076, Fuzzy Accuracy: 0.8405902714519949
Regret: 795, Accuracy: 0.6319912552377482, Fuzzy Accuracy: 0.8551648752049553
Regret: 784, Accuracy: 0.6385498269265805, Fuzzy Accuracy: 0.8571688832209874
Regret: 852, Accuracy: 0.6225177627983239, Fuzzy Accuracy: 0.844780470030971
Regret: 784, Accuracy: 0.6288941519402441, Fuzzy Accuracy: 0.8571688832209874
Regret: 807, Accuracy: 0.6329021679723082, Fuzzy Accuracy: 0.8529786846420113
Regret: 811, Accuracy: 0.6307159774093641, Fuzzy Accuracy: 0.8522499544543632
Regret: 958, Accuracy: 0.6030242302787393, Fuzzy Accuracy: 0.8254691200582984
Regret: 874, Accuracy: 0.6128620878119876, Fuzzy Accuracy: 0.8407724539989069
Regret: 914, Accuracy: 0.5964656585899071, Fuzzy Accuracy: 0.8334851521224267
Regret: 830, Accuracy: 0.6247039533612679, Fuzzy Accuracy: 0.8487884860630351
Regret: 816, Accuracy: 0.6307159774093641, Fuzzy Accuracy: 0.8513390417198032
Regret: 892, Accuracy: 0.6072144288577155, Fuzzy Accuracy: 0.8374931681544908
Regret: 893, Accuracy: 0.6128620878119876, Fuzzy Accuracy: 0.8373109856075788
Regret: 819, Accuracy: 0.6287119693933321, Fuzzy Accuracy: 0.8507924940790672
Regret: 875, Accuracy: 0.6192384769539078, Fuzzy Accuracy: 0.8405902714519949
Regret: 778, Accuracy: 0.6327199854253962, Fuzzy Accuracy: 0.8582619785024594
Regret: 976, Accuracy: 0.5973765713244671, Fuzzy Accuracy: 0.8221898342138824
Regret: 732, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8666423756604117
Regret: 760, Accuracy: 0.6385498269265805, Fuzzy Accuracy: 0.8615412643468756
Regret: 776, Accuracy: 0.6308981599562762, Fuzzy Accuracy: 0.8586263435962834
Regret: 929, Accuracy: 0.6030242302787393, Fuzzy Accuracy: 0.8307524139187465
