Regret: 1248.5062499999992, Accuracy: 0.6318090726908362, Fuzzy Accuracy: 0.8504281289852432
Regret: 1318.5187499999947, Accuracy: 0.6159591911094917, Fuzzy Accuracy: 0.8373109856075788
Regret: 1239.5874999999983, Accuracy: 0.6305337948624522, Fuzzy Accuracy: 0.8553470577518674
Regret: 1315.9624999999953, Accuracy: 0.6190562944069958, Fuzzy Accuracy: 0.8353069775915467
Regret: 1410.4999999999868, Accuracy: 0.593732920386227, Fuzzy Accuracy: 0.8214611040262343
Regret: 1166.6187500000021, Accuracy: 0.6507560575696848, Fuzzy Accuracy: 0.8653670978320277
Regret: 1219.35, Accuracy: 0.6356349061759884, Fuzzy Accuracy: 0.8586263435962834
Regret: 1287.2562499999983, Accuracy: 0.62306431043906, Fuzzy Accuracy: 0.843140827108763
Regret: 1258.1124999999972, Accuracy: 0.627254509018036, Fuzzy Accuracy: 0.8509746766259793
Regret: 1354.1874999999927, Accuracy: 0.6079431590453634, Fuzzy Accuracy: 0.8305702313718346
Regret: 1213.6249999999986, Accuracy: 0.6369101840043724, Fuzzy Accuracy: 0.8597194388777555
Regret: 1263.3874999999973, Accuracy: 0.62579704864274, Fuzzy Accuracy: 0.8502459464383312
Regret: 1243.993749999997, Accuracy: 0.6296228821278922, Fuzzy Accuracy: 0.8544361450173074
Regret: 1209.2874999999997, Accuracy: 0.6398251047549645, Fuzzy Accuracy: 0.8586263435962834
Regret: 1190.7687500000015, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8628165421752596
Regret: 1328.0499999999922, Accuracy: 0.6092184368737475, Fuzzy Accuracy: 0.8400437238112589
Regret: 1255.8499999999976, Accuracy: 0.625979231189652, Fuzzy Accuracy: 0.8531608671889233
Regret: 1263.831249999997, Accuracy: 0.62579704864274, Fuzzy Accuracy: 0.8500637638914192
Regret: 1484.47499999998, Accuracy: 0.5769721260703224, Fuzzy Accuracy: 0.8076152304609219
Regret: 1188.587500000002, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8626343596283476
Regret: 1174.9437500000013, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8650027327382037
Regret: 1208.875, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8578976134086355
Regret: 1233.0187499999981, Accuracy: 0.6330843505192203, Fuzzy Accuracy: 0.8555292402987794
Regret: 1237.3749999999998, Accuracy: 0.6307159774093641, Fuzzy Accuracy: 0.8560757879395154
Regret: 1241.393749999998, Accuracy: 0.6314447075970122, Fuzzy Accuracy: 0.8537074148296593
Regret: 1226.8687499999987, Accuracy: 0.6349061759883403, Fuzzy Accuracy: 0.8562579704864274
Regret: 1217.287499999999, Accuracy: 0.6401894698487884, Fuzzy Accuracy: 0.8549826926580434
Regret: 1197.8249999999994, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8611768992530515
Regret: 1219.8125, Accuracy: 0.6361814538167243, Fuzzy Accuracy: 0.8578976134086355
Regret: 1226.8999999999983, Accuracy: 0.6358170887229003, Fuzzy Accuracy: 0.8553470577518674
Regret: 1389.8812499999888, Accuracy: 0.6006558571688833, Fuzzy Accuracy: 0.8231007469484424
Regret: 1208.3875000000003, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8593550737839315
Regret: 1329.9437499999913, Accuracy: 0.6126799052650757, Fuzzy Accuracy: 0.8358535252322827
Regret: 1253.6687499999987, Accuracy: 0.6270723264711241, Fuzzy Accuracy: 0.8529786846420113
Regret: 1256.2812499999966, Accuracy: 0.6256148660958281, Fuzzy Accuracy: 0.8533430497358353
Regret: 1323.218749999996, Accuracy: 0.6106758972490436, Fuzzy Accuracy: 0.8405902714519949
Regret: 1270.899999999997, Accuracy: 0.62488613590818, Fuzzy Accuracy: 0.8480597558753872
Regret: 1369.56874999999, Accuracy: 0.6035707779194753, Fuzzy Accuracy: 0.8285662233558025
Regret: 1264.7437499999971, Accuracy: 0.6265257788303881, Fuzzy Accuracy: 0.8489706686099472
Regret: 1224.6124999999984, Accuracy: 0.6338130807068683, Fuzzy Accuracy: 0.8582619785024594
Regret: 1237.8625000000006, Accuracy: 0.6319912552377482, Fuzzy Accuracy: 0.8546183275642193
Regret: 1207.4625000000005, Accuracy: 0.6383676443796684, Fuzzy Accuracy: 0.8608125341592275
Regret: 1211.8312500000006, Accuracy: 0.6363636363636364, Fuzzy Accuracy: 0.8609947167061396
Regret: 1220.2874999999997, Accuracy: 0.6370923665512844, Fuzzy Accuracy: 0.8568045181271634
Regret: 1229.0312499999982, Accuracy: 0.6332665330661322, Fuzzy Accuracy: 0.8569867006740755
Regret: 1245.3749999999977, Accuracy: 0.6310803425031882, Fuzzy Accuracy: 0.8524321370012753
Regret: 1403.5937499999898, Accuracy: 0.5993805793404992, Fuzzy Accuracy: 0.8187283658225541
Regret: 1225.1062499999994, Accuracy: 0.6352705410821643, Fuzzy Accuracy: 0.8566223355802514
Regret: 1229.5249999999996, Accuracy: 0.6347239934414283, Fuzzy Accuracy: 0.8553470577518674
Regret: 1230.2874999999985, Accuracy: 0.6310803425031882, Fuzzy Accuracy: 0.8586263435962834
