Regret: 543.4025869758611, Accuracy: 0.5239570049189287, Fuzzy Accuracy: 0.7597012206230643
Regret: 776.7949334549063, Accuracy: 0.5445436327199854, Fuzzy Accuracy: 0.7755511022044088
Regret: 799.6528643048563, Accuracy: 0.4811441063946074, Fuzzy Accuracy: 0.7245399890690472
Regret: 728.8406016113404, Accuracy: 0.5110220440881763, Fuzzy Accuracy: 0.7425760612133357
Regret: 655.805912296384, Accuracy: 0.46802696301694297, Fuzzy Accuracy: 0.7048642740025506
Regret: 842.1283839960588, Accuracy: 0.39570049189287665, Fuzzy Accuracy: 0.6507560575696848
Regret: 696.9021941089176, Accuracy: 0.4893423210056477, Fuzzy Accuracy: 0.7385680451812716
Regret: 639.3133065416654, Accuracy: 0.49134632902167974, Fuzzy Accuracy: 0.7460375296046639
Regret: 608.9573726770085, Accuracy: 0.5144835124795044, Fuzzy Accuracy: 0.750956458371288
Regret: 683.6941139335786, Accuracy: 0.47658954272180726, Fuzzy Accuracy: 0.7227181635999271
Regret: 621.481528511047, Accuracy: 0.5403534341410093, Fuzzy Accuracy: 0.7726361814538167
Regret: 649.4347378176087, Accuracy: 0.5328839497176171, Fuzzy Accuracy: 0.7770085625797049
Regret: 899.3844612264319, Accuracy: 0.3599927126981235, Fuzzy Accuracy: 0.6170522863909638
Regret: 1027.4616179256277, Accuracy: 0.3927855711422846, Fuzzy Accuracy: 0.5736928402259064
Regret: 565.4975055421359, Accuracy: 0.4969939879759519, Fuzzy Accuracy: 0.7405720531973037
Regret: 648.1836880511482, Accuracy: 0.5221351794498087, Fuzzy Accuracy: 0.7653488795773364
Regret: 436.7433370148316, Accuracy: 0.48296593186372744, Fuzzy Accuracy: 0.7254509018036072
Regret: 962.7777156714043, Accuracy: 0.4933503370377118, Fuzzy Accuracy: 0.718163599927127
Regret: 651.0666766488002, Accuracy: 0.44835124795044634, Fuzzy Accuracy: 0.6811805429039898
Regret: 745.129779308086, Accuracy: 0.4933503370377118, Fuzzy Accuracy: 0.7252687192566952
Regret: 753.8284478875087, Accuracy: 0.4745855347057752, Fuzzy Accuracy: 0.7150664966296228
Regret: 680.1730707975604, Accuracy: 0.29531790854436146, Fuzzy Accuracy: 0.5485516487520495
Regret: 617.4787512600864, Accuracy: 0.531426489342321, Fuzzy Accuracy: 0.7558753871379121
Regret: 694.3695875528648, Accuracy: 0.5354345053743851, Fuzzy Accuracy: 0.7688103479686647
Regret: 726.1712543090225, Accuracy: 0.5108398615412644, Fuzzy Accuracy: 0.750409910730552
Regret: 749.5991229436465, Accuracy: 0.47148843140827107, Fuzzy Accuracy: 0.7214428857715431
Regret: 809.2928252117755, Accuracy: 0.49863363089815993, Fuzzy Accuracy: 0.7372927673528876
Regret: 599.9275795004129, Accuracy: 0.4867917653488796, Fuzzy Accuracy: 0.7274549098196392
Regret: 760.341497308318, Accuracy: 0.5429039897977773, Fuzzy Accuracy: 0.7764620149389688
Regret: 635.029306700567, Accuracy: 0.5208599016214247, Fuzzy Accuracy: 0.7715430861723447
Regret: 798.1345336178383, Accuracy: 0.5192202586992166, Fuzzy Accuracy: 0.7527782838404081
Regret: 777.8169186566462, Accuracy: 0.5148478775733285, Fuzzy Accuracy: 0.750409910730552
Regret: 1081.9123381880163, Accuracy: 0.4840590271451995, Fuzzy Accuracy: 0.7341956640553835
Regret: 575.4197373715252, Accuracy: 0.39187465840772456, Fuzzy Accuracy: 0.6369101840043724
Regret: 626.4857232692542, Accuracy: 0.4228456913827655, Fuzzy Accuracy: 0.6589542721807251
Regret: 638.6811177085933, Accuracy: 0.5164875204955365, Fuzzy Accuracy: 0.7627983239205685
Regret: 989.0961699799707, Accuracy: 0.501730734195664, Fuzzy Accuracy: 0.7303698305702314
Regret: 617.1891111482992, Accuracy: 0.5106576789943523, Fuzzy Accuracy: 0.7451266168701038
Regret: 637.4119832518616, Accuracy: 0.5345235926398251, Fuzzy Accuracy: 0.7750045545636728
Regret: 498.50809737827274, Accuracy: 0.5132082346511204, Fuzzy Accuracy: 0.7535070140280561
Regret: 527.8242287560557, Accuracy: 0.49845144835124794, Fuzzy Accuracy: 0.7420295135725997
Regret: 895.2698543599345, Accuracy: 0.5077427582437603, Fuzzy Accuracy: 0.749498997995992
Regret: 537.6810278131538, Accuracy: 0.532701767170705, Fuzzy Accuracy: 0.7637092366551285
Regret: 748.7582095435572, Accuracy: 0.4716706139551831, Fuzzy Accuracy: 0.7137912188012389
Regret: 697.76694029431, Accuracy: 0.4840590271451995, Fuzzy Accuracy: 0.7218072508653671
Regret: 854.3459930718413, Accuracy: 0.5155766077609765, Fuzzy Accuracy: 0.7551466569502642
Regret: 711.4011797538923, Accuracy: 0.5126616870103844, Fuzzy Accuracy: 0.7418473310256878
Regret: 764.268946572798, Accuracy: 0.5392603388595373, Fuzzy Accuracy: 0.7742758243760248
Regret: 877.7404605545894, Accuracy: 0.47695390781563124, Fuzzy Accuracy: 0.7065039169247586
Regret: 872.6907098894951, Accuracy: 0.45782474038987064, Fuzzy Accuracy: 0.6753507014028056
Regret: 718.5337482913257, Accuracy: 0.5031881945709601, Fuzzy Accuracy: 0.7403898706503917
Regret: 788.5782430646957, Accuracy: 0.532155219529969, Fuzzy Accuracy: 0.7635270541082164
Regret: 827.0811040935705, Accuracy: 0.4824193842229914, Fuzzy Accuracy: 0.7165239570049189
Regret: 960.0786899978012, Accuracy: 0.4771360903625433, Fuzzy Accuracy: 0.7019493532519585
Regret: 726.9352336471642, Accuracy: 0.45746037529604666, Fuzzy Accuracy: 0.6744397886682456
