Regret: 9232.151428571411, Accuracy: 0.4432501366369102, Fuzzy Accuracy: 0.6813627254509018
Regret: 8876.197142857141, Accuracy: 0.5048278374931682, Fuzzy Accuracy: 0.7546001093095281
Regret: 9065.685714285682, Accuracy: 0.5263253780287849, Fuzzy Accuracy: 0.7700856257970486
Regret: 9383.234285714272, Accuracy: 0.5104754964474403, Fuzzy Accuracy: 0.7522317361996721
Regret: 10479.971428571444, Accuracy: 0.43523410457278194, Fuzzy Accuracy: 0.6456549462561486
Regret: 9225.902857142835, Accuracy: 0.5230460921843687, Fuzzy Accuracy: 0.7484059027145199
Regret: 8912.305714285709, Accuracy: 0.5392603388595373, Fuzzy Accuracy: 0.7770085625797049
Regret: 10015.717142857113, Accuracy: 0.43195481872836583, Fuzzy Accuracy: 0.6748041537620696
Regret: 9727.568571428565, Accuracy: 0.40061942065950085, Fuzzy Accuracy: 0.6396429222080525
Regret: 8706.591428571444, Accuracy: 0.5525596647841137, Fuzzy Accuracy: 0.7901257059573693
Regret: 9070.711428571407, Accuracy: 0.4155583895062853, Fuzzy Accuracy: 0.6680633995263254
Regret: 9565.717142857115, Accuracy: 0.3876844598287484, Fuzzy Accuracy: 0.6305337948624522
Regret: 9025.528571428571, Accuracy: 0.5283293860448169, Fuzzy Accuracy: 0.7737292767352888
Regret: 8736.625714285707, Accuracy: 0.4942612497722718, Fuzzy Accuracy: 0.7453087994170159
Regret: 9327.268571428544, Accuracy: 0.44252140644926213, Fuzzy Accuracy: 0.6789943523410458
Regret: 8785.840000000006, Accuracy: 0.5449079978138094, Fuzzy Accuracy: 0.7817453087994171
Regret: 9070.991428571419, Accuracy: 0.5398068865002733, Fuzzy Accuracy: 0.7759154672982328
Regret: 8746.362857142853, Accuracy: 0.48697394789579157, Fuzzy Accuracy: 0.7352887593368556
Regret: 10057.299999999994, Accuracy: 0.45144835124795046, Fuzzy Accuracy: 0.6800874476225177
Regret: 9466.254285714245, Accuracy: 0.4631080342503188, Fuzzy Accuracy: 0.7030424485334305
Regret: 9221.171428571426, Accuracy: 0.4928037893969758, Fuzzy Accuracy: 0.7327382036800875
Regret: 8875.648571428563, Accuracy: 0.4780470030971033, Fuzzy Accuracy: 0.7263618145381673
Regret: 11781.117142857162, Accuracy: 0.35179449808708324, Fuzzy Accuracy: 0.5669520859901621
Regret: 9332.494285714281, Accuracy: 0.4944434323191838, Fuzzy Accuracy: 0.7307341956640554
Regret: 9149.274285714271, Accuracy: 0.5529240298779377, Fuzzy Accuracy: 0.7912188012388414
Regret: 9448.65142857145, Accuracy: 0.37985061031153217, Fuzzy Accuracy: 0.6298050646748041
Regret: 9675.211428571427, Accuracy: 0.46693386773547096, Fuzzy Accuracy: 0.7092366551284387
Regret: 10707.4314285714, Accuracy: 0.39041719803242847, Fuzzy Accuracy: 0.6281654217525962
Regret: 8825.265714285717, Accuracy: 0.5394425214064492, Fuzzy Accuracy: 0.782474038987065
Regret: 8882.085714285693, Accuracy: 0.5099289488067044, Fuzzy Accuracy: 0.75204955365276
Regret: 9534.145714285687, Accuracy: 0.3873200947349244, Fuzzy Accuracy: 0.6347239934414283
Regret: 9943.14285714284, Accuracy: 0.3840408088905083, Fuzzy Accuracy: 0.6106758972490436
Regret: 9095.505714285699, Accuracy: 0.44488977955911824, Fuzzy Accuracy: 0.6970304244853343
Regret: 9795.865714285712, Accuracy: 0.40098378575332483, Fuzzy Accuracy: 0.6443796684277646
Regret: 9430.877142857142, Accuracy: 0.4649298597194389, Fuzzy Accuracy: 0.6975769721260703
Regret: 9008.897142857124, Accuracy: 0.4091820003643651, Fuzzy Accuracy: 0.6642375660411732
Regret: 9870.319999999978, Accuracy: 0.4201129531790854, Fuzzy Accuracy: 0.659136454727637
Regret: 9162.537142857134, Accuracy: 0.4966296228821279, Fuzzy Accuracy: 0.7425760612133357
Regret: 9841.405714285685, Accuracy: 0.44543632719985427, Fuzzy Accuracy: 0.6948442339223903
Regret: 9804.877142857154, Accuracy: 0.42302787392967756, Fuzzy Accuracy: 0.6602295500091091
Regret: 9631.442857142827, Accuracy: 0.4337766441974859, Fuzzy Accuracy: 0.6706139551830934
Regret: 9168.63428571426, Accuracy: 0.5370741482965932, Fuzzy Accuracy: 0.7668063399526326
Regret: 10275.994285714276, Accuracy: 0.44580069229367825, Fuzzy Accuracy: 0.6937511386409182
Regret: 9664.391428571405, Accuracy: 0.499908908726544, Fuzzy Accuracy: 0.7254509018036072
Regret: 9300.71428571428, Accuracy: 0.4977227181635999, Fuzzy Accuracy: 0.7230825286937511
Regret: 9117.768571428542, Accuracy: 0.4281289852432137, Fuzzy Accuracy: 0.6780834396064856
Regret: 8908.245714285706, Accuracy: 0.4873383129896156, Fuzzy Accuracy: 0.7323738385862635
Regret: 9336.345714285693, Accuracy: 0.5286937511386409, Fuzzy Accuracy: 0.7607943159045364
Regret: 9530.565714285722, Accuracy: 0.5299690289670249, Fuzzy Accuracy: 0.7709965385316087
Regret: 9077.51428571428, Accuracy: 0.49590089269447984, Fuzzy Accuracy: 0.7391145928220076
