Regret: 2082, Accuracy: 0.6276188741118601, Fuzzy Accuracy: 0.8491528511568591
Regret: 2268, Accuracy: 0.6050282382947714, Fuzzy Accuracy: 0.8227363818546183
Regret: 2264, Accuracy: 0.5982874840590271, Fuzzy Accuracy: 0.8296593186372746
Regret: 2030, Accuracy: 0.6349061759883403, Fuzzy Accuracy: 0.8558936053926034
Regret: 2160, Accuracy: 0.6188741118600838, Fuzzy Accuracy: 0.8384040808890508
Regret: 2040, Accuracy: 0.6341774458006922, Fuzzy Accuracy: 0.8493350337037712
Regret: 2169, Accuracy: 0.6177810165786117, Fuzzy Accuracy: 0.8373109856075788
Regret: 2280, Accuracy: 0.6055747859355074, Fuzzy Accuracy: 0.81289852432137
Regret: 2043, Accuracy: 0.6336308981599563, Fuzzy Accuracy: 0.8544361450173074
Regret: 2170, Accuracy: 0.6175988340316998, Fuzzy Accuracy: 0.8360357077791948
Regret: 2079, Accuracy: 0.6278010566587721, Fuzzy Accuracy: 0.846237930406267
Regret: 1961, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8657314629258517
Regret: 2126, Accuracy: 0.6226999453452359, Fuzzy Accuracy: 0.8391328110766989
Regret: 2085, Accuracy: 0.6298050646748041, Fuzzy Accuracy: 0.8478775733284751
Regret: 2234, Accuracy: 0.6081253415922755, Fuzzy Accuracy: 0.8272909455274184
Regret: 2099, Accuracy: 0.6323556203315722, Fuzzy Accuracy: 0.844416104937147
Regret: 2023, Accuracy: 0.6385498269265805, Fuzzy Accuracy: 0.8588085261431955
Regret: 2041, Accuracy: 0.6339952632537803, Fuzzy Accuracy: 0.8524321370012753
Regret: 2084, Accuracy: 0.6281654217525962, Fuzzy Accuracy: 0.8509746766259793
Regret: 2084, Accuracy: 0.62579704864274, Fuzzy Accuracy: 0.8476953907815631
Regret: 2130, Accuracy: 0.6203315722353798, Fuzzy Accuracy: 0.8405902714519949
Regret: 2033, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8586263435962834
Regret: 2317, Accuracy: 0.5984696666059391, Fuzzy Accuracy: 0.8108945163053379
Regret: 2532, Accuracy: 0.5724175623975223, Fuzzy Accuracy: 0.7750045545636728
Regret: 2606, Accuracy: 0.5614866095828019, Fuzzy Accuracy: 0.783020586627801
Regret: 2022, Accuracy: 0.6372745490981964, Fuzzy Accuracy: 0.8540717799234834
Regret: 1954, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8644561850974677
Regret: 2030, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8542539624703953
Regret: 2121, Accuracy: 0.623610858079796, Fuzzy Accuracy: 0.8371288030606668
Regret: 2051, Accuracy: 0.6323556203315722, Fuzzy Accuracy: 0.8526143195481873
Regret: 1988, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8639096374567317
Regret: 2467, Accuracy: 0.5755146656950264, Fuzzy Accuracy: 0.8030606667881217
Regret: 2029, Accuracy: 0.6361814538167243, Fuzzy Accuracy: 0.8604481690654036
Regret: 2206, Accuracy: 0.6094006194206595, Fuzzy Accuracy: 0.8333029695755146
Regret: 2030, Accuracy: 0.6359992712698124, Fuzzy Accuracy: 0.8535252322827473
Regret: 2059, Accuracy: 0.6314447075970122, Fuzzy Accuracy: 0.8526143195481873
Regret: 2013, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8553470577518674
Regret: 2494, Accuracy: 0.5793404991801785, Fuzzy Accuracy: 0.7879395153944252
Regret: 2055, Accuracy: 0.6298050646748041, Fuzzy Accuracy: 0.8517034068136272
Regret: 2004, Accuracy: 0.6401894698487884, Fuzzy Accuracy: 0.8613590817999636
Regret: 2002, Accuracy: 0.6396429222080525, Fuzzy Accuracy: 0.8626343596283476
Regret: 2064, Accuracy: 0.6292585170340681, Fuzzy Accuracy: 0.8529786846420113
Regret: 2080, Accuracy: 0.6290763344871562, Fuzzy Accuracy: 0.8502459464383312
Regret: 2085, Accuracy: 0.6270723264711241, Fuzzy Accuracy: 0.844233922390235
Regret: 2039, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8553470577518674
Regret: 2138, Accuracy: 0.6214246675168519, Fuzzy Accuracy: 0.842958644561851
Regret: 2049, Accuracy: 0.6332665330661322, Fuzzy Accuracy: 0.8517034068136272
Regret: 1987, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8617234468937875
Regret: 2427, Accuracy: 0.5787939515394426, Fuzzy Accuracy: 0.8047003097103298
Regret: 2168, Accuracy: 0.6137730005465476, Fuzzy Accuracy: 0.8369466205137548
Regret: 2026, Accuracy: 0.6369101840043724, Fuzzy Accuracy: 0.8548005101111313
Regret: 2036, Accuracy: 0.6374567316451084, Fuzzy Accuracy: 0.8507924940790672
Regret: 3113, Accuracy: 0.47841136819092733, Fuzzy Accuracy: 0.7081435598469666
Regret: 2023, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8540717799234834
Regret: 2018, Accuracy: 0.6374567316451084, Fuzzy Accuracy: 0.8540717799234834
Regret: 2008, Accuracy: 0.6389141920204044, Fuzzy Accuracy: 0.8575332483148115
Regret: 2252, Accuracy: 0.6115868099836036, Fuzzy Accuracy: 0.8254691200582984
Regret: 2032, Accuracy: 0.6367280014574603, Fuzzy Accuracy: 0.8566223355802514
Regret: 2263, Accuracy: 0.6042995081071233, Fuzzy Accuracy: 0.8251047549644744
Regret: 2304, Accuracy: 0.6010202222627072, Fuzzy Accuracy: 0.8108945163053379
