Regret: 1871, Accuracy: 0.6255102040816326, Fuzzy Accuracy: 0.8418367346938775
Regret: 1757, Accuracy: 0.6463265306122449, Fuzzy Accuracy: 0.8657142857142858
Regret: 1914, Accuracy: 0.62, Fuzzy Accuracy: 0.8381632653061224
Regret: 1869, Accuracy: 0.6283673469387755, Fuzzy Accuracy: 0.8448979591836735
Regret: 1988, Accuracy: 0.61, Fuzzy Accuracy: 0.8285714285714286
Regret: 1885, Accuracy: 0.6318367346938776, Fuzzy Accuracy: 0.8422448979591837
Regret: 1830, Accuracy: 0.6340816326530613, Fuzzy Accuracy: 0.8553061224489796
Regret: 1864, Accuracy: 0.6259183673469387, Fuzzy Accuracy: 0.8481632653061224
Regret: 1866, Accuracy: 0.6273469387755102, Fuzzy Accuracy: 0.85
Regret: 1889, Accuracy: 0.6204081632653061, Fuzzy Accuracy: 0.843469387755102
Regret: 1931, Accuracy: 0.6153061224489796, Fuzzy Accuracy: 0.8361224489795919
Regret: 1821, Accuracy: 0.6346938775510204, Fuzzy Accuracy: 0.8573469387755102
Regret: 2103, Accuracy: 0.5938775510204082, Fuzzy Accuracy: 0.8044897959183673
Regret: 2277, Accuracy: 0.5706122448979591, Fuzzy Accuracy: 0.773061224489796
Regret: 2279, Accuracy: 0.5683673469387756, Fuzzy Accuracy: 0.7891836734693878
Regret: 1832, Accuracy: 0.6324489795918368, Fuzzy Accuracy: 0.8471428571428572
Regret: 1760, Accuracy: 0.643673469387755, Fuzzy Accuracy: 0.8640816326530613
Regret: 1843, Accuracy: 0.6297959183673469, Fuzzy Accuracy: 0.85
Regret: 1920, Accuracy: 0.6189795918367347, Fuzzy Accuracy: 0.8346938775510204
Regret: 1842, Accuracy: 0.6306122448979592, Fuzzy Accuracy: 0.8512244897959184
Regret: 1789, Accuracy: 0.6418367346938776, Fuzzy Accuracy: 0.8638775510204082
Regret: 2193, Accuracy: 0.5753061224489796, Fuzzy Accuracy: 0.8063265306122449
Regret: 1820, Accuracy: 0.6351020408163265, Fuzzy Accuracy: 0.8604081632653061
Regret: 1988, Accuracy: 0.6059183673469388, Fuzzy Accuracy: 0.8312244897959183
Regret: 1816, Accuracy: 0.6357142857142857, Fuzzy Accuracy: 0.8518367346938776
Regret: 1852, Accuracy: 0.6289795918367347, Fuzzy Accuracy: 0.8471428571428572
Regret: 1813, Accuracy: 0.636734693877551, Fuzzy Accuracy: 0.8544897959183674
Regret: 2203, Accuracy: 0.5818367346938775, Fuzzy Accuracy: 0.7918367346938775
Regret: 1857, Accuracy: 0.6257142857142857, Fuzzy Accuracy: 0.8485714285714285
Regret: 1803, Accuracy: 0.6377551020408163, Fuzzy Accuracy: 0.8612244897959184
Regret: 1782, Accuracy: 0.6410204081632653, Fuzzy Accuracy: 0.8626530612244898
Regret: 1850, Accuracy: 0.6281632653061224, Fuzzy Accuracy: 0.8516326530612245
Regret: 1888, Accuracy: 0.623061224489796, Fuzzy Accuracy: 0.8467346938775511
Regret: 1861, Accuracy: 0.626938775510204, Fuzzy Accuracy: 0.8424489795918367
Regret: 1836, Accuracy: 0.6314285714285715, Fuzzy Accuracy: 0.8512244897959184
Regret: 1927, Accuracy: 0.6189795918367347, Fuzzy Accuracy: 0.8408163265306122
Regret: 1827, Accuracy: 0.6344897959183673, Fuzzy Accuracy: 0.8514285714285714
Regret: 1784, Accuracy: 0.6410204081632653, Fuzzy Accuracy: 0.8591836734693877
Regret: 2111, Accuracy: 0.5879591836734694, Fuzzy Accuracy: 0.8144897959183673
Regret: 1946, Accuracy: 0.6116326530612245, Fuzzy Accuracy: 0.8363265306122449
Regret: 1828, Accuracy: 0.633265306122449, Fuzzy Accuracy: 0.8534693877551021
Regret: 1836, Accuracy: 0.6344897959183673, Fuzzy Accuracy: 0.8479591836734693
Regret: 2749, Accuracy: 0.48183673469387756, Fuzzy Accuracy: 0.7130612244897959
Regret: 1830, Accuracy: 0.6310204081632653, Fuzzy Accuracy: 0.8526530612244898
Regret: 1818, Accuracy: 0.6344897959183673, Fuzzy Accuracy: 0.8546938775510204
Regret: 1804, Accuracy: 0.6369387755102041, Fuzzy Accuracy: 0.8544897959183674
Regret: 2031, Accuracy: 0.6091836734693877, Fuzzy Accuracy: 0.823469387755102
Regret: 1825, Accuracy: 0.6353061224489795, Fuzzy Accuracy: 0.8536734693877551
Regret: 2002, Accuracy: 0.6061224489795919, Fuzzy Accuracy: 0.826734693877551
Regret: 2106, Accuracy: 0.593469387755102, Fuzzy Accuracy: 0.8024489795918367
