Regret: 755, Accuracy: 0.5805555555555556, Fuzzy Accuracy: 0.8138888888888889
Regret: 713, Accuracy: 0.6038888888888889, Fuzzy Accuracy: 0.8194444444444444
Regret: 793, Accuracy: 0.5594444444444444, Fuzzy Accuracy: 0.7977777777777778
Regret: 724, Accuracy: 0.5977777777777777, Fuzzy Accuracy: 0.8172222222222222
Regret: 846, Accuracy: 0.53, Fuzzy Accuracy: 0.7583333333333333
Regret: 771, Accuracy: 0.5716666666666667, Fuzzy Accuracy: 0.7966666666666666
Regret: 741, Accuracy: 0.5883333333333334, Fuzzy Accuracy: 0.82
Regret: 853, Accuracy: 0.5261111111111111, Fuzzy Accuracy: 0.7688888888888888
Regret: 783, Accuracy: 0.565, Fuzzy Accuracy: 0.7938888888888889
Regret: 756, Accuracy: 0.58, Fuzzy Accuracy: 0.7994444444444444
Regret: 701, Accuracy: 0.6105555555555555, Fuzzy Accuracy: 0.8172222222222222
Regret: 729, Accuracy: 0.595, Fuzzy Accuracy: 0.8161111111111111
Regret: 728, Accuracy: 0.5955555555555555, Fuzzy Accuracy: 0.8233333333333334
Regret: 812, Accuracy: 0.5488888888888889, Fuzzy Accuracy: 0.7833333333333333
Regret: 669, Accuracy: 0.6283333333333333, Fuzzy Accuracy: 0.8283333333333334
Regret: 798, Accuracy: 0.5566666666666666, Fuzzy Accuracy: 0.785
Regret: 706, Accuracy: 0.6077777777777778, Fuzzy Accuracy: 0.8177777777777778
Regret: 735, Accuracy: 0.5916666666666667, Fuzzy Accuracy: 0.8216666666666667
Regret: 719, Accuracy: 0.6005555555555555, Fuzzy Accuracy: 0.8077777777777778
Regret: 721, Accuracy: 0.5994444444444444, Fuzzy Accuracy: 0.8122222222222222
Regret: 786, Accuracy: 0.5633333333333334, Fuzzy Accuracy: 0.8011111111111111
Regret: 715, Accuracy: 0.6027777777777777, Fuzzy Accuracy: 0.8305555555555556
Regret: 830, Accuracy: 0.5388888888888889, Fuzzy Accuracy: 0.7661111111111111
Regret: 740, Accuracy: 0.5888888888888889, Fuzzy Accuracy: 0.8094444444444444
Regret: 745, Accuracy: 0.5861111111111111, Fuzzy Accuracy: 0.8183333333333334
Regret: 735, Accuracy: 0.5916666666666667, Fuzzy Accuracy: 0.8211111111111111
Regret: 765, Accuracy: 0.575, Fuzzy Accuracy: 0.7911111111111111
Regret: 769, Accuracy: 0.5727777777777778, Fuzzy Accuracy: 0.8072222222222222
Regret: 704, Accuracy: 0.6088888888888889, Fuzzy Accuracy: 0.8311111111111111
Regret: 751, Accuracy: 0.5827777777777777, Fuzzy Accuracy: 0.8105555555555556
Regret: 751, Accuracy: 0.5827777777777777, Fuzzy Accuracy: 0.8055555555555556
Regret: 748, Accuracy: 0.5844444444444444, Fuzzy Accuracy: 0.8138888888888889
Regret: 712, Accuracy: 0.6044444444444445, Fuzzy Accuracy: 0.8266666666666667
Regret: 690, Accuracy: 0.6166666666666667, Fuzzy Accuracy: 0.8438888888888889
Regret: 735, Accuracy: 0.5916666666666667, Fuzzy Accuracy: 0.8244444444444444
Regret: 727, Accuracy: 0.5961111111111111, Fuzzy Accuracy: 0.8216666666666667
Regret: 752, Accuracy: 0.5822222222222222, Fuzzy Accuracy: 0.8038888888888889
Regret: 727, Accuracy: 0.5961111111111111, Fuzzy Accuracy: 0.83
Regret: 745, Accuracy: 0.5861111111111111, Fuzzy Accuracy: 0.8066666666666666
Regret: 728, Accuracy: 0.5955555555555555, Fuzzy Accuracy: 0.8161111111111111
Regret: 788, Accuracy: 0.5622222222222222, Fuzzy Accuracy: 0.7922222222222223
Regret: 743, Accuracy: 0.5872222222222222, Fuzzy Accuracy: 0.8138888888888889
Regret: 735, Accuracy: 0.5916666666666667, Fuzzy Accuracy: 0.8205555555555556
Regret: 762, Accuracy: 0.5766666666666667, Fuzzy Accuracy: 0.8
Regret: 721, Accuracy: 0.5994444444444444, Fuzzy Accuracy: 0.8194444444444444
Regret: 713, Accuracy: 0.6038888888888889, Fuzzy Accuracy: 0.8294444444444444
Regret: 782, Accuracy: 0.5655555555555556, Fuzzy Accuracy: 0.8055555555555556
Regret: 764, Accuracy: 0.5755555555555556, Fuzzy Accuracy: 0.7938888888888889
Regret: 778, Accuracy: 0.5677777777777778, Fuzzy Accuracy: 0.7972222222222223
Regret: 725, Accuracy: 0.5972222222222222, Fuzzy Accuracy: 0.8161111111111111
