Regret: 297, Accuracy: 0.6285714285714286, Fuzzy Accuracy: 0.8585714285714285
Regret: 293, Accuracy: 0.6352380952380953, Fuzzy Accuracy: 0.8604761904761905
Regret: 306, Accuracy: 0.6247619047619047, Fuzzy Accuracy: 0.8542857142857143
Regret: 307, Accuracy: 0.6376190476190476, Fuzzy Accuracy: 0.8538095238095238
Regret: 342, Accuracy: 0.6104761904761905, Fuzzy Accuracy: 0.8371428571428572
Regret: 329, Accuracy: 0.6209523809523809, Fuzzy Accuracy: 0.8433333333333334
Regret: 338, Accuracy: 0.6171428571428571, Fuzzy Accuracy: 0.839047619047619
Regret: 306, Accuracy: 0.6176190476190476, Fuzzy Accuracy: 0.8542857142857143
Regret: 318, Accuracy: 0.6109523809523809, Fuzzy Accuracy: 0.8485714285714285
Regret: 326, Accuracy: 0.6238095238095238, Fuzzy Accuracy: 0.8447619047619047
Regret: 319, Accuracy: 0.6138095238095238, Fuzzy Accuracy: 0.8480952380952381
Regret: 303, Accuracy: 0.6447619047619048, Fuzzy Accuracy: 0.8557142857142858
Regret: 296, Accuracy: 0.6266666666666667, Fuzzy Accuracy: 0.8590476190476191
Regret: 284, Accuracy: 0.6366666666666667, Fuzzy Accuracy: 0.8647619047619047
Regret: 308, Accuracy: 0.6238095238095238, Fuzzy Accuracy: 0.8533333333333334
Regret: 268, Accuracy: 0.64, Fuzzy Accuracy: 0.8723809523809524
Regret: 299, Accuracy: 0.6252380952380953, Fuzzy Accuracy: 0.8576190476190476
Regret: 308, Accuracy: 0.63, Fuzzy Accuracy: 0.8533333333333334
Regret: 296, Accuracy: 0.6428571428571429, Fuzzy Accuracy: 0.8590476190476191
Regret: 318, Accuracy: 0.6376190476190476, Fuzzy Accuracy: 0.8485714285714285
Regret: 309, Accuracy: 0.63, Fuzzy Accuracy: 0.8528571428571429
Regret: 306, Accuracy: 0.6271428571428571, Fuzzy Accuracy: 0.8542857142857143
Regret: 313, Accuracy: 0.6323809523809524, Fuzzy Accuracy: 0.8509523809523809
Regret: 307, Accuracy: 0.6419047619047619, Fuzzy Accuracy: 0.8538095238095238
Regret: 334, Accuracy: 0.6161904761904762, Fuzzy Accuracy: 0.840952380952381
Regret: 289, Accuracy: 0.6523809523809524, Fuzzy Accuracy: 0.8623809523809524
Regret: 327, Accuracy: 0.6285714285714286, Fuzzy Accuracy: 0.8442857142857143
Regret: 366, Accuracy: 0.5947619047619047, Fuzzy Accuracy: 0.8257142857142857
Regret: 320, Accuracy: 0.6395238095238095, Fuzzy Accuracy: 0.8476190476190476
Regret: 312, Accuracy: 0.6152380952380953, Fuzzy Accuracy: 0.8514285714285714
Regret: 283, Accuracy: 0.6390476190476191, Fuzzy Accuracy: 0.8652380952380953
Regret: 298, Accuracy: 0.6480952380952381, Fuzzy Accuracy: 0.8580952380952381
Regret: 292, Accuracy: 0.6328571428571429, Fuzzy Accuracy: 0.8609523809523809
Regret: 315, Accuracy: 0.6290476190476191, Fuzzy Accuracy: 0.85
Regret: 294, Accuracy: 0.6338095238095238, Fuzzy Accuracy: 0.86
Regret: 317, Accuracy: 0.6195238095238095, Fuzzy Accuracy: 0.849047619047619
Regret: 303, Accuracy: 0.6223809523809524, Fuzzy Accuracy: 0.8557142857142858
Regret: 285, Accuracy: 0.6371428571428571, Fuzzy Accuracy: 0.8642857142857143
Regret: 323, Accuracy: 0.6176190476190476, Fuzzy Accuracy: 0.8461904761904762
Regret: 317, Accuracy: 0.6138095238095238, Fuzzy Accuracy: 0.849047619047619
Regret: 320, Accuracy: 0.6228571428571429, Fuzzy Accuracy: 0.8476190476190476
Regret: 306, Accuracy: 0.6304761904761905, Fuzzy Accuracy: 0.8542857142857143
Regret: 285, Accuracy: 0.6438095238095238, Fuzzy Accuracy: 0.8642857142857143
Regret: 365, Accuracy: 0.6033333333333334, Fuzzy Accuracy: 0.8261904761904761
Regret: 324, Accuracy: 0.6195238095238095, Fuzzy Accuracy: 0.8457142857142858
Regret: 294, Accuracy: 0.6276190476190476, Fuzzy Accuracy: 0.86
Regret: 275, Accuracy: 0.6585714285714286, Fuzzy Accuracy: 0.8690476190476191
Regret: 306, Accuracy: 0.6228571428571429, Fuzzy Accuracy: 0.8542857142857143
Regret: 313, Accuracy: 0.6342857142857142, Fuzzy Accuracy: 0.8509523809523809
Regret: 329, Accuracy: 0.6233333333333333, Fuzzy Accuracy: 0.8433333333333334
Regret: 310, Accuracy: 0.6290476190476191, Fuzzy Accuracy: 0.8523809523809524
