Regret: 404.05625000000146, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8616666666666667
Regret: 419.9500000000018, Accuracy: 0.62, Fuzzy Accuracy: 0.8488888888888889
Regret: 375.612500000001, Accuracy: 0.6627777777777778, Fuzzy Accuracy: 0.8622222222222222
Regret: 412.5875000000016, Accuracy: 0.6361111111111111, Fuzzy Accuracy: 0.8422222222222222
Regret: 409.4250000000016, Accuracy: 0.6311111111111111, Fuzzy Accuracy: 0.8511111111111112
Regret: 412.0250000000016, Accuracy: 0.6255555555555555, Fuzzy Accuracy: 0.8533333333333334
Regret: 397.10625000000124, Accuracy: 0.6405555555555555, Fuzzy Accuracy: 0.8572222222222222
Regret: 378.5937500000009, Accuracy: 0.6516666666666666, Fuzzy Accuracy: 0.8694444444444445
Regret: 441.9500000000021, Accuracy: 0.6033333333333334, Fuzzy Accuracy: 0.8377777777777777
Regret: 427.9250000000019, Accuracy: 0.6188888888888889, Fuzzy Accuracy: 0.84
Regret: 441.15625000000193, Accuracy: 0.6116666666666667, Fuzzy Accuracy: 0.8305555555555556
Regret: 413.4437500000014, Accuracy: 0.6333333333333333, Fuzzy Accuracy: 0.8438888888888889
Regret: 401.43750000000125, Accuracy: 0.6311111111111111, Fuzzy Accuracy: 0.8611111111111112
Regret: 400.7312500000015, Accuracy: 0.6472222222222223, Fuzzy Accuracy: 0.8461111111111111
Regret: 394.9562500000014, Accuracy: 0.6466666666666666, Fuzzy Accuracy: 0.8538888888888889
Regret: 403.6125000000014, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8622222222222222
Regret: 407.2812500000013, Accuracy: 0.6377777777777778, Fuzzy Accuracy: 0.8472222222222222
Regret: 418.2000000000015, Accuracy: 0.6222222222222222, Fuzzy Accuracy: 0.8488888888888889
Regret: 443.2000000000018, Accuracy: 0.5961111111111111, Fuzzy Accuracy: 0.8433333333333334
Regret: 387.7812500000008, Accuracy: 0.64, Fuzzy Accuracy: 0.8694444444444445
Regret: 423.9562500000017, Accuracy: 0.6211111111111111, Fuzzy Accuracy: 0.8427777777777777
Regret: 406.3500000000014, Accuracy: 0.6338888888888888, Fuzzy Accuracy: 0.8522222222222222
Regret: 411.5625000000018, Accuracy: 0.6238888888888889, Fuzzy Accuracy: 0.8555555555555555
Regret: 406.8750000000016, Accuracy: 0.6411111111111111, Fuzzy Accuracy: 0.8444444444444444
Regret: 401.46250000000134, Accuracy: 0.6333333333333333, Fuzzy Accuracy: 0.8588888888888889
Regret: 418.2187500000017, Accuracy: 0.6238888888888889, Fuzzy Accuracy: 0.8472222222222222
Regret: 434.5187500000017, Accuracy: 0.6133333333333333, Fuzzy Accuracy: 0.8372222222222222
Regret: 398.4062500000015, Accuracy: 0.6377777777777778, Fuzzy Accuracy: 0.8583333333333333
Regret: 394.01250000000107, Accuracy: 0.6416666666666667, Fuzzy Accuracy: 0.86
Regret: 404.5875000000013, Accuracy: 0.635, Fuzzy Accuracy: 0.8533333333333334
Regret: 420.85625000000175, Accuracy: 0.6216666666666667, Fuzzy Accuracy: 0.8461111111111111
Regret: 391.0062500000012, Accuracy: 0.6505555555555556, Fuzzy Accuracy: 0.855
Regret: 417.41875000000164, Accuracy: 0.6316666666666667, Fuzzy Accuracy: 0.8405555555555555
Regret: 412.4875000000014, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8511111111111112
Regret: 419.14375000000155, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8427777777777777
Regret: 401.9000000000013, Accuracy: 0.6327777777777778, Fuzzy Accuracy: 0.8588888888888889
Regret: 407.2500000000014, Accuracy: 0.635, Fuzzy Accuracy: 0.85
Regret: 405.0687500000015, Accuracy: 0.6383333333333333, Fuzzy Accuracy: 0.8494444444444444
Regret: 428.2687500000015, Accuracy: 0.61, Fuzzy Accuracy: 0.8483333333333334
Regret: 412.92500000000155, Accuracy: 0.6266666666666667, Fuzzy Accuracy: 0.8511111111111112
Regret: 425.29375000000164, Accuracy: 0.6216666666666667, Fuzzy Accuracy: 0.8405555555555555
Regret: 400.5812500000013, Accuracy: 0.6338888888888888, Fuzzy Accuracy: 0.8594444444444445
Regret: 397.53125000000114, Accuracy: 0.6388888888888888, Fuzzy Accuracy: 0.8583333333333333
Regret: 419.16875000000164, Accuracy: 0.6294444444444445, Fuzzy Accuracy: 0.8405555555555555
Regret: 417.3125000000016, Accuracy: 0.6222222222222222, Fuzzy Accuracy: 0.85
Regret: 440.19375000000196, Accuracy: 0.605, Fuzzy Accuracy: 0.8383333333333334
Regret: 404.1875000000013, Accuracy: 0.6388888888888888, Fuzzy Accuracy: 0.85
Regret: 421.8250000000015, Accuracy: 0.6288888888888889, Fuzzy Accuracy: 0.8377777777777777
Regret: 409.8875000000013, Accuracy: 0.6327777777777778, Fuzzy Accuracy: 0.8488888888888889
Regret: 410.3062500000016, Accuracy: 0.6305555555555555, Fuzzy Accuracy: 0.8505555555555555
