Regret: 303.4343179824413, Accuracy: 0.5457142857142857, Fuzzy Accuracy: 0.7735714285714286
Regret: 237.44351674829397, Accuracy: 0.58, Fuzzy Accuracy: 0.7957142857142857
Regret: 223.47980512948226, Accuracy: 0.5992857142857143, Fuzzy Accuracy: 0.8135714285714286
Regret: 239.00377736571707, Accuracy: 0.5285714285714286, Fuzzy Accuracy: 0.7764285714285715
Regret: 239.81120220177826, Accuracy: 0.5357142857142857, Fuzzy Accuracy: 0.7714285714285715
Regret: 209.51231223804717, Accuracy: 0.565, Fuzzy Accuracy: 0.7757142857142857
Regret: 279.78895366878925, Accuracy: 0.5921428571428572, Fuzzy Accuracy: 0.81
Regret: 256.6258439995341, Accuracy: 0.5757142857142857, Fuzzy Accuracy: 0.8078571428571428
Regret: 239.65443218126663, Accuracy: 0.57, Fuzzy Accuracy: 0.8035714285714286
Regret: 254.69606403572575, Accuracy: 0.5707142857142857, Fuzzy Accuracy: 0.8071428571428572
Regret: 208.30046418600858, Accuracy: 0.5592857142857143, Fuzzy Accuracy: 0.8035714285714286
Regret: 278.1358028688807, Accuracy: 0.56, Fuzzy Accuracy: 0.7842857142857143
Regret: 213.73777119705227, Accuracy: 0.5642857142857143, Fuzzy Accuracy: 0.81
Regret: 210.35931140112433, Accuracy: 0.5657142857142857, Fuzzy Accuracy: 0.7871428571428571
Regret: 271.58447659751556, Accuracy: 0.545, Fuzzy Accuracy: 0.7835714285714286
Regret: 296.27123569253285, Accuracy: 0.5657142857142857, Fuzzy Accuracy: 0.7764285714285715
Regret: 244.34467457759075, Accuracy: 0.5642857142857143, Fuzzy Accuracy: 0.7885714285714286
Regret: 216.77770130323475, Accuracy: 0.6014285714285714, Fuzzy Accuracy: 0.815
Regret: 299.8321260073578, Accuracy: 0.55, Fuzzy Accuracy: 0.7821428571428571
Regret: 229.6898659871225, Accuracy: 0.6014285714285714, Fuzzy Accuracy: 0.8185714285714286
Regret: 262.72786961184994, Accuracy: 0.5442857142857143, Fuzzy Accuracy: 0.7814285714285715
Regret: 277.8057823614778, Accuracy: 0.5485714285714286, Fuzzy Accuracy: 0.7942857142857143
Regret: 223.63127575311165, Accuracy: 0.5735714285714286, Fuzzy Accuracy: 0.8064285714285714
Regret: 212.56852046575483, Accuracy: 0.5635714285714286, Fuzzy Accuracy: 0.7942857142857143
Regret: 223.6674819229089, Accuracy: 0.5728571428571428, Fuzzy Accuracy: 0.7957142857142857
Regret: 219.29404731836917, Accuracy: 0.6164285714285714, Fuzzy Accuracy: 0.8257142857142857
Regret: 226.9552814277864, Accuracy: 0.5692857142857143, Fuzzy Accuracy: 0.7964285714285714
Regret: 250.66021529886194, Accuracy: 0.5992857142857143, Fuzzy Accuracy: 0.8107142857142857
Regret: 178.91213256640626, Accuracy: 0.6057142857142858, Fuzzy Accuracy: 0.8185714285714286
Regret: 261.2088639409828, Accuracy: 0.53, Fuzzy Accuracy: 0.7485714285714286
Regret: 222.43054002040117, Accuracy: 0.5757142857142857, Fuzzy Accuracy: 0.7935714285714286
Regret: 252.85709217429385, Accuracy: 0.5614285714285714, Fuzzy Accuracy: 0.7807142857142857
Regret: 276.9616832688573, Accuracy: 0.5185714285714286, Fuzzy Accuracy: 0.7535714285714286
Regret: 204.33619040896846, Accuracy: 0.585, Fuzzy Accuracy: 0.8
Regret: 254.978636781399, Accuracy: 0.565, Fuzzy Accuracy: 0.7857142857142857
Regret: 258.94672780806354, Accuracy: 0.5964285714285714, Fuzzy Accuracy: 0.8178571428571428
Regret: 245.0368316750031, Accuracy: 0.5607142857142857, Fuzzy Accuracy: 0.79
Regret: 284.1210444441156, Accuracy: 0.5635714285714286, Fuzzy Accuracy: 0.7807142857142857
Regret: 247.11648174877442, Accuracy: 0.5364285714285715, Fuzzy Accuracy: 0.7814285714285715
Regret: 224.01906810537685, Accuracy: 0.6107142857142858, Fuzzy Accuracy: 0.8242857142857143
Regret: 233.8053287168606, Accuracy: 0.5492857142857143, Fuzzy Accuracy: 0.7864285714285715
Regret: 213.30486338707965, Accuracy: 0.5771428571428572, Fuzzy Accuracy: 0.7921428571428571
Regret: 201.48828521016932, Accuracy: 0.6035714285714285, Fuzzy Accuracy: 0.8257142857142857
Regret: 302.71687538469996, Accuracy: 0.5292857142857142, Fuzzy Accuracy: 0.7621428571428571
Regret: 223.58079104134964, Accuracy: 0.5235714285714286, Fuzzy Accuracy: 0.7614285714285715
Regret: 202.17843945941036, Accuracy: 0.5935714285714285, Fuzzy Accuracy: 0.8235714285714286
Regret: 275.0892186617461, Accuracy: 0.5757142857142857, Fuzzy Accuracy: 0.7871428571428571
Regret: 263.3473415552947, Accuracy: 0.5264285714285715, Fuzzy Accuracy: 0.7664285714285715
Regret: 236.99457763942982, Accuracy: 0.5792857142857143, Fuzzy Accuracy: 0.8035714285714286
Regret: 234.6221014836905, Accuracy: 0.5842857142857143, Fuzzy Accuracy: 0.8007142857142857
