Regret: 5193.818571428573, Accuracy: 0.5848484848484848, Fuzzy Accuracy: 0.8127272727272727
Regret: 5335.114285714284, Accuracy: 0.48484848484848486, Fuzzy Accuracy: 0.7345454545454545
Regret: 5306.674285714277, Accuracy: 0.46393939393939393, Fuzzy Accuracy: 0.713030303030303
Regret: 5174.815714285717, Accuracy: 0.5378787878787878, Fuzzy Accuracy: 0.7815151515151515
Regret: 5216.324285714277, Accuracy: 0.4954545454545455, Fuzzy Accuracy: 0.743030303030303
Regret: 5107.359999999989, Accuracy: 0.5733333333333334, Fuzzy Accuracy: 0.803939393939394
Regret: 5203.867142857141, Accuracy: 0.44393939393939397, Fuzzy Accuracy: 0.7012121212121212
Regret: 5383.0842857142725, Accuracy: 0.45666666666666667, Fuzzy Accuracy: 0.7221212121212122
Regret: 5005.497142857134, Accuracy: 0.536969696969697, Fuzzy Accuracy: 0.7848484848484848
Regret: 5372.370000000003, Accuracy: 0.44575757575757574, Fuzzy Accuracy: 0.7069696969696969
Regret: 5132.638571428571, Accuracy: 0.5309090909090909, Fuzzy Accuracy: 0.7736363636363637
Regret: 5146.414285714279, Accuracy: 0.5018181818181818, Fuzzy Accuracy: 0.7563636363636363
Regret: 5094.825714285714, Accuracy: 0.4863636363636364, Fuzzy Accuracy: 0.7460606060606061
Regret: 5242.351428571427, Accuracy: 0.47878787878787876, Fuzzy Accuracy: 0.73
Regret: 5177.745714285723, Accuracy: 0.4509090909090909, Fuzzy Accuracy: 0.7042424242424242
Regret: 5219.995714285712, Accuracy: 0.4542424242424242, Fuzzy Accuracy: 0.7042424242424242
Regret: 5144.370000000004, Accuracy: 0.5481818181818182, Fuzzy Accuracy: 0.7951515151515152
Regret: 5131.627142857149, Accuracy: 0.4315151515151515, Fuzzy Accuracy: 0.696060606060606
Regret: 5019.815714285719, Accuracy: 0.5212121212121212, Fuzzy Accuracy: 0.7772727272727272
Regret: 5346.827142857147, Accuracy: 0.5227272727272727, Fuzzy Accuracy: 0.7742424242424243
Regret: 5191.13428571428, Accuracy: 0.5590909090909091, Fuzzy Accuracy: 0.7993939393939394
Regret: 5243.667142857146, Accuracy: 0.6078787878787879, Fuzzy Accuracy: 0.8218181818181818
Regret: 5149.3857142857205, Accuracy: 0.46484848484848484, Fuzzy Accuracy: 0.7209090909090909
Regret: 5129.434285714279, Accuracy: 0.5621212121212121, Fuzzy Accuracy: 0.8045454545454546
Regret: 5042.1485714285645, Accuracy: 0.4715151515151515, Fuzzy Accuracy: 0.7224242424242424
Regret: 5363.751428571422, Accuracy: 0.516969696969697, Fuzzy Accuracy: 0.7724242424242425
Regret: 5340.915714285703, Accuracy: 0.5263636363636364, Fuzzy Accuracy: 0.7754545454545455
Regret: 5318.214285714277, Accuracy: 0.4703030303030303, Fuzzy Accuracy: 0.7196969696969697
Regret: 5340.815714285716, Accuracy: 0.5384848484848485, Fuzzy Accuracy: 0.7772727272727272
Regret: 5244.6428571428605, Accuracy: 0.49575757575757573, Fuzzy Accuracy: 0.7424242424242424
Regret: 5064.068571428575, Accuracy: 0.5593939393939394, Fuzzy Accuracy: 0.81
Regret: 5294.891428571423, Accuracy: 0.5287878787878788, Fuzzy Accuracy: 0.7748484848484849
Regret: 5213.729999999998, Accuracy: 0.5239393939393939, Fuzzy Accuracy: 0.7763636363636364
Regret: 5543.5142857142955, Accuracy: 0.37363636363636366, Fuzzy Accuracy: 0.6342424242424243
Regret: 5127.161428571433, Accuracy: 0.5148484848484849, Fuzzy Accuracy: 0.756969696969697
Regret: 5135.644285714274, Accuracy: 0.42848484848484847, Fuzzy Accuracy: 0.6881818181818182
Regret: 5076.928571428564, Accuracy: 0.4903030303030303, Fuzzy Accuracy: 0.7406060606060606
Regret: 5122.529999999996, Accuracy: 0.49757575757575756, Fuzzy Accuracy: 0.7503030303030302
Regret: 5011.871428571433, Accuracy: 0.5542424242424242, Fuzzy Accuracy: 0.7993939393939394
Regret: 5206.567142857142, Accuracy: 0.509090909090909, Fuzzy Accuracy: 0.7575757575757576
Regret: 5401.885714285699, Accuracy: 0.5206060606060606, Fuzzy Accuracy: 0.7703030303030303
Regret: 5288.592857142857, Accuracy: 0.4990909090909091, Fuzzy Accuracy: 0.746969696969697
Regret: 5159.255714285723, Accuracy: 0.43272727272727274, Fuzzy Accuracy: 0.7012121212121212
Regret: 5255.597142857143, Accuracy: 0.5345454545454545, Fuzzy Accuracy: 0.7678787878787878
Regret: 5142.654285714283, Accuracy: 0.5133333333333333, Fuzzy Accuracy: 0.7566666666666667
Regret: 5171.2757142857145, Accuracy: 0.4921212121212121, Fuzzy Accuracy: 0.7493939393939394
Regret: 4989.031428571437, Accuracy: 0.5378787878787878, Fuzzy Accuracy: 0.7778787878787878
Regret: 5213.864285714293, Accuracy: 0.5024242424242424, Fuzzy Accuracy: 0.7442424242424243
Regret: 5002.782857142864, Accuracy: 0.5224242424242425, Fuzzy Accuracy: 0.7739393939393939
Regret: 5557.207142857126, Accuracy: 0.5863636363636363, Fuzzy Accuracy: 0.8187878787878788
