Regret: 725, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8679176534887958
Regret: 707, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8711969393332119
Regret: 707, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8711969393332119
Regret: 747, Accuracy: 0.6411003825833486, Fuzzy Accuracy: 0.8639096374567317
Regret: 767, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8602659865184915
Regret: 743, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8646383676443796
Regret: 733, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8664601931134998
Regret: 753, Accuracy: 0.6370923665512844, Fuzzy Accuracy: 0.8628165421752596
Regret: 749, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8635452723629077
Regret: 728, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8673711058480598
Regret: 708, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8710147567862999
Regret: 709, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8708325742393879
Regret: 726, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8677354709418837
Regret: 739, Accuracy: 0.6405538349426125, Fuzzy Accuracy: 0.8653670978320277
Regret: 713, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8701038440517398
Regret: 726, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8677354709418837
Regret: 737, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8657314629258517
Regret: 730, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8670067407542358
Regret: 714, Accuracy: 0.6534887957733649, Fuzzy Accuracy: 0.8699216615048279
Regret: 732, Accuracy: 0.6445618509746767, Fuzzy Accuracy: 0.8666423756604117
Regret: 717, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8693751138640918
Regret: 720, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8688285662233558
Regret: 716, Accuracy: 0.6509382401165968, Fuzzy Accuracy: 0.8695572964110039
Regret: 765, Accuracy: 0.6412825651302605, Fuzzy Accuracy: 0.8606303516123155
Regret: 709, Accuracy: 0.657132446711605, Fuzzy Accuracy: 0.8708325742393879
Regret: 748, Accuracy: 0.6403716523957005, Fuzzy Accuracy: 0.8637274549098196
Regret: 772, Accuracy: 0.6305337948624522, Fuzzy Accuracy: 0.8593550737839315
Regret: 727, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8675532883949718
Regret: 751, Accuracy: 0.6405538349426125, Fuzzy Accuracy: 0.8631809072690836
Regret: 755, Accuracy: 0.6396429222080525, Fuzzy Accuracy: 0.8624521770814356
Regret: 726, Accuracy: 0.6438331207870286, Fuzzy Accuracy: 0.8677354709418837
Regret: 690, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.874294042630716
Regret: 737, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8657314629258517
Regret: 726, Accuracy: 0.6447440335215886, Fuzzy Accuracy: 0.8677354709418837
Regret: 718, Accuracy: 0.6496629622882127, Fuzzy Accuracy: 0.8691929313171798
Regret: 715, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8697394789579158
Regret: 691, Accuracy: 0.657861176899253, Fuzzy Accuracy: 0.8741118600838039
Regret: 706, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8713791218801239
Regret: 752, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8629987247221717
Regret: 730, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8670067407542358
Regret: 733, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8664601931134998
Regret: 716, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8695572964110039
Regret: 747, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8639096374567317
Regret: 754, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8626343596283476
Regret: 731, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8668245582073237
Regret: 709, Accuracy: 0.658225541993077, Fuzzy Accuracy: 0.8708325742393879
Regret: 743, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8646383676443796
Regret: 739, Accuracy: 0.6421934778648205, Fuzzy Accuracy: 0.8653670978320277
Regret: 748, Accuracy: 0.6447440335215886, Fuzzy Accuracy: 0.8637274549098196
Regret: 760, Accuracy: 0.6367280014574603, Fuzzy Accuracy: 0.8615412643468756
