Regret: 1136.1187500000044, Accuracy: 0.6542175259610129, Fuzzy Accuracy: 0.874476225177628
Regret: 1163.9500000000032, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8666423756604117
Regret: 1148.0500000000027, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8710147567862999
Regret: 1148.956250000003, Accuracy: 0.6533066132264529, Fuzzy Accuracy: 0.8701038440517398
Regret: 1138.850000000004, Accuracy: 0.656221533977045, Fuzzy Accuracy: 0.8713791218801239
Regret: 1165.2375000000034, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8673711058480598
Regret: 1146.2687500000027, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8719256695208599
Regret: 1141.9000000000033, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.8717434869739479
Regret: 1189.025000000001, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8626343596283476
Regret: 1176.6375000000023, Accuracy: 0.6452905811623246, Fuzzy Accuracy: 0.8666423756604117
Regret: 1162.9875000000025, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8691929313171798
Regret: 1151.1125000000036, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8710147567862999
Regret: 1160.7625000000019, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8702860265986518
Regret: 1125.6687500000035, Accuracy: 0.6600473674621972, Fuzzy Accuracy: 0.873018764802332
Regret: 1147.200000000004, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8702860265986518
Regret: 1174.4625000000012, Accuracy: 0.6465658589907087, Fuzzy Accuracy: 0.8662780105665877
Regret: 1123.0062500000047, Accuracy: 0.6600473674621972, Fuzzy Accuracy: 0.8741118600838039
Regret: 1152.418750000002, Accuracy: 0.6507560575696848, Fuzzy Accuracy: 0.8711969393332119
Regret: 1211.3999999999985, Accuracy: 0.6367280014574603, Fuzzy Accuracy: 0.8608125341592275
Regret: 1149.7375000000031, Accuracy: 0.6502095099289488, Fuzzy Accuracy: 0.8728365822554199
Regret: 1150.7312500000028, Accuracy: 0.6533066132264529, Fuzzy Accuracy: 0.8693751138640918
Regret: 1135.768750000003, Accuracy: 0.656950264164693, Fuzzy Accuracy: 0.8719256695208599
Regret: 1159.0500000000027, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8691929313171798
Regret: 1121.6937500000045, Accuracy: 0.6605939151029332, Fuzzy Accuracy: 0.8741118600838039
Regret: 1160.3625000000022, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8691929313171798
Regret: 1176.1500000000012, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8680998360357077
Regret: 1177.5562500000003, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8653670978320277
Regret: 1157.3250000000032, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8684642011295318
Regret: 1150.6812500000021, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8708325742393879
Regret: 1161.7562500000022, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8668245582073237
Regret: 1163.481250000001, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8675532883949718
Regret: 1143.725000000003, Accuracy: 0.656039351430133, Fuzzy Accuracy: 0.8695572964110039
Regret: 1153.0000000000027, Accuracy: 0.6547640736017489, Fuzzy Accuracy: 0.8670067407542358
Regret: 1156.0187500000027, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8682820185826198
Regret: 1158.206250000003, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8682820185826198
Regret: 1154.1812500000024, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8708325742393879
Regret: 1159.0625000000032, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8688285662233558
Regret: 1129.200000000003, Accuracy: 0.6595008198214611, Fuzzy Accuracy: 0.8721078520677719
Regret: 1162.5437500000019, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8693751138640918
Regret: 1162.9875000000015, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8691929313171798
Regret: 1160.843750000002, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8679176534887958
Regret: 1129.5875000000042, Accuracy: 0.657861176899253, Fuzzy Accuracy: 0.873565312443068
Regret: 1154.668750000003, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8693751138640918
Regret: 1164.3000000000025, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8691929313171798
Regret: 1159.1187500000026, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8671889233011477
Regret: 1141.925000000004, Accuracy: 0.655310621242485, Fuzzy Accuracy: 0.8710147567862999
Regret: 1150.7125000000026, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8699216615048279
Regret: 1164.0000000000032, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8651849152851157
Regret: 1155.0937500000023, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8697394789579158
Regret: 1138.8312500000036, Accuracy: 0.6556749863363089, Fuzzy Accuracy: 0.8719256695208599
