Regret: 849.1302685428802, Accuracy: 0.5645837128803061, Fuzzy Accuracy: 0.8005101111313536
Regret: 703.2748126641605, Accuracy: 0.5964656585899071, Fuzzy Accuracy: 0.8167243578065221
Regret: 746.1492378845702, Accuracy: 0.5891783567134269, Fuzzy Accuracy: 0.8210967389324103
Regret: 688.281979217334, Accuracy: 0.5682273638185462, Fuzzy Accuracy: 0.8028784842412097
Regret: 695.0862679234792, Accuracy: 0.560757879395154, Fuzzy Accuracy: 0.7928584441610493
Regret: 673.7054476960212, Accuracy: 0.5569320459100018, Fuzzy Accuracy: 0.7870286026598652
Regret: 769.0151083688233, Accuracy: 0.5664055383494261, Fuzzy Accuracy: 0.8063399526325378
Regret: 696.9767451727935, Accuracy: 0.5842594279468027, Fuzzy Accuracy: 0.812351976680634
Regret: 703.8968107842757, Accuracy: 0.5813445071962106, Fuzzy Accuracy: 0.81472034979049
Regret: 685.4674332286801, Accuracy: 0.5787939515394426, Fuzzy Accuracy: 0.8127163417744581
Regret: 664.6005397176981, Accuracy: 0.5208599016214247, Fuzzy Accuracy: 0.7633448715613044
Regret: 801.2121298956179, Accuracy: 0.5746037529604664, Fuzzy Accuracy: 0.812534159227546
Regret: 667.5527359894833, Accuracy: 0.5822554199307707, Fuzzy Accuracy: 0.8179996356349062
Regret: 632.3378592349212, Accuracy: 0.5864456185097467, Fuzzy Accuracy: 0.8136272545090181
Regret: 731.8459363403034, Accuracy: 0.5815266897431226, Fuzzy Accuracy: 0.8092548733831298
Regret: 745.6034342656023, Accuracy: 0.5991983967935872, Fuzzy Accuracy: 0.8194570960102022
Regret: 746.1187485960355, Accuracy: 0.594097285480051, Fuzzy Accuracy: 0.8261978502459464
Regret: 640.9392575849657, Accuracy: 0.6086718892330115, Fuzzy Accuracy: 0.8302058662780105
Regret: 784.5817323670931, Accuracy: 0.6088540717799235, Fuzzy Accuracy: 0.8267443978866824
Regret: 682.3893654373985, Accuracy: 0.6181453816724358, Fuzzy Accuracy: 0.8382218983421388
Regret: 742.2597303416777, Accuracy: 0.6037529604663873, Fuzzy Accuracy: 0.8251047549644744
Regret: 734.5880610340358, Accuracy: 0.5915467298232829, Fuzzy Accuracy: 0.8169065403534341
Regret: 700.9898054064759, Accuracy: 0.5990162142466752, Fuzzy Accuracy: 0.8329386044816907
Regret: 614.9995570032286, Accuracy: 0.5603935143013299, Fuzzy Accuracy: 0.7986882856622336
Regret: 694.3866575275888, Accuracy: 0.5682273638185462, Fuzzy Accuracy: 0.8003279285844416
Regret: 649.2460262263963, Accuracy: 0.6126799052650757, Fuzzy Accuracy: 0.8365822554199308
Regret: 660.096503610352, Accuracy: 0.5711422845691383, Fuzzy Accuracy: 0.8006922936782657
Regret: 713.8236925982931, Accuracy: 0.5888139916196028, Fuzzy Accuracy: 0.81472034979049
Regret: 572.2254172629507, Accuracy: 0.5899070869010749, Fuzzy Accuracy: 0.8165421752596101
Regret: 752.6719012934709, Accuracy: 0.5274184733102569, Fuzzy Accuracy: 0.7719074512661687
Regret: 727.173003032858, Accuracy: 0.5148478775733285, Fuzzy Accuracy: 0.7626161413736564
Regret: 796.2878122718132, Accuracy: 0.5359810530151211, Fuzzy Accuracy: 0.7669885224995445
Regret: 732.181027761156, Accuracy: 0.5456367280014575, Fuzzy Accuracy: 0.781380943705593
Regret: 661.6487516524331, Accuracy: 0.6053926033885954, Fuzzy Accuracy: 0.8254691200582984
Regret: 714.6624928807433, Accuracy: 0.6022955000910912, Fuzzy Accuracy: 0.8265622153397705
Regret: 737.319183777204, Accuracy: 0.595372563308435, Fuzzy Accuracy: 0.8265622153397705
Regret: 717.5509107980618, Accuracy: 0.5970122062306431, Fuzzy Accuracy: 0.8216432865731463
Regret: 811.2708719483493, Accuracy: 0.5753324831481144, Fuzzy Accuracy: 0.8052468573510657
Regret: 741.0153582028971, Accuracy: 0.5591182364729459, Fuzzy Accuracy: 0.7895791583166333
Regret: 732.7280018146234, Accuracy: 0.6028420477318273, Fuzzy Accuracy: 0.8238294771360903
Regret: 668.4033871251057, Accuracy: 0.5738750227728183, Fuzzy Accuracy: 0.8070686828201858
Regret: 658.149175126569, Accuracy: 0.5982874840590271, Fuzzy Accuracy: 0.8210967389324103
Regret: 616.5638604609666, Accuracy: 0.5838950628529787, Fuzzy Accuracy: 0.8163599927126981
Regret: 834.8815538688517, Accuracy: 0.5224995445436327, Fuzzy Accuracy: 0.7724539989069047
Regret: 686.3080022839797, Accuracy: 0.559846966660594, Fuzzy Accuracy: 0.7943159045363454
Regret: 659.3255155060813, Accuracy: 0.5609400619420659, Fuzzy Accuracy: 0.8005101111313536
Regret: 747.6697520851193, Accuracy: 0.6108580797959555, Fuzzy Accuracy: 0.8307524139187465
Regret: 715.7514338490572, Accuracy: 0.5946438331207871, Fuzzy Accuracy: 0.81472034979049
Regret: 678.5213920542695, Accuracy: 0.6124977227181636, Fuzzy Accuracy: 0.8356713426853707
Regret: 695.7700571361432, Accuracy: 0.5764255784295864, Fuzzy Accuracy: 0.8048824922572417
