Regret: 8537.228571428564, Accuracy: 0.593732920386227, Fuzzy Accuracy: 0.8212789214793222
Regret: 8608.762857142849, Accuracy: 0.49298597194388777, Fuzzy Accuracy: 0.7425760612133357
Regret: 8488.851428571405, Accuracy: 0.4642011295317909, Fuzzy Accuracy: 0.7150664966296228
Regret: 8511.954285714286, Accuracy: 0.5350701402805611, Fuzzy Accuracy: 0.781016578611769
Regret: 8519.619999999977, Accuracy: 0.5122973219165604, Fuzzy Accuracy: 0.7618874111860083
Regret: 8538.69142857142, Accuracy: 0.5589360539260338, Fuzzy Accuracy: 0.7955911823647295
Regret: 8649.599999999984, Accuracy: 0.44798688285662236, Fuzzy Accuracy: 0.7055930041901985
Regret: 8822.819999999976, Accuracy: 0.4570960102022226, Fuzzy Accuracy: 0.718710147567863
Regret: 8370.962857142831, Accuracy: 0.5350701402805611, Fuzzy Accuracy: 0.781563126252505
Regret: 8699.14857142856, Accuracy: 0.47950446347239933, Fuzzy Accuracy: 0.7309163782109674
Regret: 8485.611428571427, Accuracy: 0.533430497358353, Fuzzy Accuracy: 0.779741300783385
Regret: 8484.688571428567, Accuracy: 0.5166697030424485, Fuzzy Accuracy: 0.7675350701402806
Regret: 8406.165714285697, Accuracy: 0.4935325195846238, Fuzzy Accuracy: 0.751503006012024
Regret: 8711.508571428576, Accuracy: 0.47057751867371106, Fuzzy Accuracy: 0.7256330843505192
Regret: 8466.371428571418, Accuracy: 0.44470759701220625, Fuzzy Accuracy: 0.7074148296593187
Regret: 8498.545714285705, Accuracy: 0.45746037529604666, Fuzzy Accuracy: 0.7061395518309346
Regret: 8403.977142857146, Accuracy: 0.5633084350519221, Fuzzy Accuracy: 0.8070686828201858
Regret: 8473.305714285716, Accuracy: 0.45490981963927857, Fuzzy Accuracy: 0.7159774093641829
Regret: 8353.239999999998, Accuracy: 0.5496447440335216, Fuzzy Accuracy: 0.7924940790672254
Regret: 8493.785714285726, Accuracy: 0.5405356166879213, Fuzzy Accuracy: 0.7893969757697212
Regret: 8480.471428571425, Accuracy: 0.5671342685370742, Fuzzy Accuracy: 0.8088905082893059
Regret: 8693.082857142843, Accuracy: 0.6024776826380033, Fuzzy Accuracy: 0.8271087629805065
Regret: 8461.731428571442, Accuracy: 0.5077427582437603, Fuzzy Accuracy: 0.7531426489342321
Regret: 8457.845714285704, Accuracy: 0.5514665695026416, Fuzzy Accuracy: 0.7943159045363454
Regret: 8316.374285714262, Accuracy: 0.4928037893969758, Fuzzy Accuracy: 0.7413007833849518
Regret: 8647.705714285708, Accuracy: 0.5443614501730735, Fuzzy Accuracy: 0.7901257059573693
Regret: 8631.791428571434, Accuracy: 0.5341592275460011, Fuzzy Accuracy: 0.779194753142649
Regret: 8520.29714285713, Accuracy: 0.4833302969575515, Fuzzy Accuracy: 0.7341956640553835
Regret: 8797.279999999993, Accuracy: 0.5265075605756968, Fuzzy Accuracy: 0.7706321734377847
Regret: 8600.868571428575, Accuracy: 0.5148478775733285, Fuzzy Accuracy: 0.7576972126070323
Regret: 8490.62571428571, Accuracy: 0.5596647841136819, Fuzzy Accuracy: 0.8016032064128257
Regret: 8685.251428571413, Accuracy: 0.5507378393149936, Fuzzy Accuracy: 0.7944980870832574
Regret: 8592.891428571415, Accuracy: 0.5248679176534888, Fuzzy Accuracy: 0.7746401894698488
Regret: 8880.159999999998, Accuracy: 0.376206959373292, Fuzzy Accuracy: 0.6418291127709965
Regret: 8478.417142857134, Accuracy: 0.5336126799052651, Fuzzy Accuracy: 0.7779194753142649
Regret: 8547.359999999982, Accuracy: 0.44252140644926213, Fuzzy Accuracy: 0.6966660593915103
Regret: 8320.882857142842, Accuracy: 0.5141191473856804, Fuzzy Accuracy: 0.7567862998724723
Regret: 8478.594285714276, Accuracy: 0.5254144652942249, Fuzzy Accuracy: 0.7709965385316087
Regret: 8387.937142857127, Accuracy: 0.5481872836582256, Fuzzy Accuracy: 0.7919475314264893
Regret: 8636.425714285695, Accuracy: 0.5121151393696484, Fuzzy Accuracy: 0.7669885224995445
Regret: 8645.402857142833, Accuracy: 0.530879941701585, Fuzzy Accuracy: 0.780652213517945
Regret: 8536.111428571414, Accuracy: 0.5152122426671525, Fuzzy Accuracy: 0.7635270541082164
Regret: 8540.499999999989, Accuracy: 0.4345053743851339, Fuzzy Accuracy: 0.6942976862816542
Regret: 8508.179999999986, Accuracy: 0.5201311714337766, Fuzzy Accuracy: 0.7657132446711605
Regret: 8519.639999999992, Accuracy: 0.501548551648752, Fuzzy Accuracy: 0.7549644744033521
Regret: 8574.794285714292, Accuracy: 0.5141191473856804, Fuzzy Accuracy: 0.7671707050464566
Regret: 8355.462857142862, Accuracy: 0.5423574421570414, Fuzzy Accuracy: 0.7884860630351612
Regret: 8649.360000000002, Accuracy: 0.49863363089815993, Fuzzy Accuracy: 0.7431226088540718
Regret: 8349.231428571427, Accuracy: 0.532155219529969, Fuzzy Accuracy: 0.781198761158681
Regret: 9002.631428571412, Accuracy: 0.5928220076516669, Fuzzy Accuracy: 0.8276553106212425
