Regret: 1933, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8702860265986518
Regret: 1945, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8666423756604117
Regret: 1920, Accuracy: 0.6536709783202769, Fuzzy Accuracy: 0.8691929313171798
Regret: 1935, Accuracy: 0.6509382401165968, Fuzzy Accuracy: 0.8684642011295318
Regret: 1936, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8688285662233558
Regret: 1948, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8682820185826198
Regret: 1985, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8628165421752596
Regret: 1960, Accuracy: 0.6465658589907087, Fuzzy Accuracy: 0.8646383676443796
Regret: 1926, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8686463836764438
Regret: 1907, Accuracy: 0.656039351430133, Fuzzy Accuracy: 0.8722900346146839
Regret: 1926, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8701038440517398
Regret: 1925, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8732009473492439
Regret: 1922, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8699216615048279
Regret: 1956, Accuracy: 0.6485698670067408, Fuzzy Accuracy: 0.8620878119876116
Regret: 1929, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8691929313171798
Regret: 1929, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8677354709418837
Regret: 1896, Accuracy: 0.659136454727637, Fuzzy Accuracy: 0.8713791218801239
Regret: 1928, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8686463836764438
Regret: 1992, Accuracy: 0.6405538349426125, Fuzzy Accuracy: 0.8619056294406996
Regret: 1917, Accuracy: 0.6536709783202769, Fuzzy Accuracy: 0.8699216615048279
Regret: 1929, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8682820185826198
Regret: 1960, Accuracy: 0.6458371288030607, Fuzzy Accuracy: 0.8651849152851157
Regret: 1952, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8659136454727637
Regret: 1945, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8628165421752596
Regret: 1924, Accuracy: 0.6531244306795408, Fuzzy Accuracy: 0.8708325742393879
Regret: 1909, Accuracy: 0.6556749863363089, Fuzzy Accuracy: 0.872472217161596
Regret: 1950, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8650027327382037
Regret: 1914, Accuracy: 0.6534887957733649, Fuzzy Accuracy: 0.8701038440517398
Regret: 1920, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8702860265986518
Regret: 1931, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8702860265986518
Regret: 1909, Accuracy: 0.654946256148661, Fuzzy Accuracy: 0.873565312443068
Regret: 1888, Accuracy: 0.6602295500091091, Fuzzy Accuracy: 0.8708325742393879
Regret: 1936, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8704682091455639
Regret: 1924, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8697394789579158
Regret: 1901, Accuracy: 0.656950264164693, Fuzzy Accuracy: 0.8706503916924758
Regret: 1917, Accuracy: 0.654035343414101, Fuzzy Accuracy: 0.8728365822554199
Regret: 1944, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8708325742393879
Regret: 1928, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8686463836764438
Regret: 1978, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8651849152851157
Regret: 1934, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8701038440517398
Regret: 1957, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8646383676443796
Regret: 1954, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8659136454727637
Regret: 1931, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8699216615048279
Regret: 1932, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8657314629258517
Regret: 1941, Accuracy: 0.6496629622882127, Fuzzy Accuracy: 0.8680998360357077
Regret: 1966, Accuracy: 0.6456549462561486, Fuzzy Accuracy: 0.8642740025505556
Regret: 1905, Accuracy: 0.655310621242485, Fuzzy Accuracy: 0.8711969393332119
Regret: 1895, Accuracy: 0.6574968118054291, Fuzzy Accuracy: 0.8719256695208599
Regret: 1940, Accuracy: 0.6496629622882127, Fuzzy Accuracy: 0.8722900346146839
Regret: 1939, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8679176534887958
