Regret: 1910, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8680998360357077
Regret: 1908, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8664601931134998
Regret: 1919, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8688285662233558
Regret: 1956, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8615412643468756
Regret: 1957, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8591728912370195
Regret: 1957, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8633630898159956
Regret: 1878, Accuracy: 0.657861176899253, Fuzzy Accuracy: 0.8704682091455639
Regret: 1972, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8593550737839315
Regret: 1901, Accuracy: 0.6536709783202769, Fuzzy Accuracy: 0.8710147567862999
Regret: 1898, Accuracy: 0.6542175259610129, Fuzzy Accuracy: 0.8657314629258517
Regret: 1926, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8648205501912917
Regret: 1930, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8631809072690836
Regret: 1924, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8671889233011477
Regret: 1913, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8650027327382037
Regret: 1926, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8688285662233558
Regret: 1932, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8680998360357077
Regret: 1959, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8628165421752596
Regret: 1934, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8680998360357077
Regret: 1976, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8589907086901075
Regret: 1915, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8657314629258517
Regret: 1935, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8666423756604117
Regret: 1918, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8640918200036436
Regret: 1944, Accuracy: 0.6458371288030607, Fuzzy Accuracy: 0.8628165421752596
Regret: 1907, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8673711058480598
Regret: 1918, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8619056294406996
Regret: 1933, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8646383676443796
Regret: 1953, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8613590817999636
Regret: 1925, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8688285662233558
Regret: 1951, Accuracy: 0.6445618509746767, Fuzzy Accuracy: 0.8646383676443796
Regret: 1928, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8664601931134998
Regret: 1957, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8633630898159956
Regret: 1922, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8680998360357077
Regret: 1947, Accuracy: 0.6452905811623246, Fuzzy Accuracy: 0.8639096374567317
Regret: 1942, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8655492803789397
Regret: 1966, Accuracy: 0.6418291127709965, Fuzzy Accuracy: 0.8626343596283476
Regret: 1905, Accuracy: 0.6529422481326289, Fuzzy Accuracy: 0.8686463836764438
Regret: 1943, Accuracy: 0.6460193113499727, Fuzzy Accuracy: 0.8673711058480598
Regret: 1950, Accuracy: 0.6447440335215886, Fuzzy Accuracy: 0.8626343596283476
Regret: 1937, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8629987247221717
Regret: 1933, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8664601931134998
Regret: 1936, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8631809072690836
Regret: 1954, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8619056294406996
Regret: 1906, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8671889233011477
Regret: 1924, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8695572964110039
Regret: 1938, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8675532883949718
Regret: 1977, Accuracy: 0.6398251047549645, Fuzzy Accuracy: 0.8602659865184915
Regret: 1950, Accuracy: 0.6447440335215886, Fuzzy Accuracy: 0.8655492803789397
Regret: 1925, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8640918200036436
Regret: 1938, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8648205501912917
Regret: 1930, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8693751138640918
