Regret: 1195, Accuracy: 0.6541176470588236, Fuzzy Accuracy: 0.8682352941176471
Regret: 1216, Accuracy: 0.645, Fuzzy Accuracy: 0.8676470588235294
Regret: 1234, Accuracy: 0.6420588235294118, Fuzzy Accuracy: 0.8602941176470589
Regret: 1233, Accuracy: 0.6420588235294118, Fuzzy Accuracy: 0.856764705882353
Regret: 1245, Accuracy: 0.64, Fuzzy Accuracy: 0.86
Regret: 1241, Accuracy: 0.6394117647058823, Fuzzy Accuracy: 0.8655882352941177
Regret: 1317, Accuracy: 0.6155882352941177, Fuzzy Accuracy: 0.8508823529411764
Regret: 1245, Accuracy: 0.6391176470588236, Fuzzy Accuracy: 0.8608823529411764
Regret: 1237, Accuracy: 0.6408823529411765, Fuzzy Accuracy: 0.8605882352941177
Regret: 1222, Accuracy: 0.645, Fuzzy Accuracy: 0.8661764705882353
Regret: 1243, Accuracy: 0.6385294117647059, Fuzzy Accuracy: 0.8582352941176471
Regret: 1198, Accuracy: 0.6502941176470588, Fuzzy Accuracy: 0.8752941176470588
Regret: 1241, Accuracy: 0.6388235294117647, Fuzzy Accuracy: 0.861764705882353
Regret: 1250, Accuracy: 0.6397058823529411, Fuzzy Accuracy: 0.8564705882352941
Regret: 1188, Accuracy: 0.6547058823529411, Fuzzy Accuracy: 0.8658823529411764
Regret: 1245, Accuracy: 0.6391176470588236, Fuzzy Accuracy: 0.8561764705882353
Regret: 1213, Accuracy: 0.6491176470588236, Fuzzy Accuracy: 0.865
Regret: 1258, Accuracy: 0.6347058823529412, Fuzzy Accuracy: 0.856764705882353
Regret: 1279, Accuracy: 0.6282352941176471, Fuzzy Accuracy: 0.8523529411764705
Regret: 1203, Accuracy: 0.6505882352941177, Fuzzy Accuracy: 0.8626470588235294
Regret: 1232, Accuracy: 0.6429411764705882, Fuzzy Accuracy: 0.86
Regret: 1246, Accuracy: 0.6376470588235295, Fuzzy Accuracy: 0.8541176470588235
Regret: 1229, Accuracy: 0.6426470588235295, Fuzzy Accuracy: 0.8597058823529412
Regret: 1250, Accuracy: 0.6367647058823529, Fuzzy Accuracy: 0.8511764705882353
Regret: 1188, Accuracy: 0.6552941176470588, Fuzzy Accuracy: 0.8664705882352941
Regret: 1222, Accuracy: 0.6455882352941177, Fuzzy Accuracy: 0.8629411764705882
Regret: 1213, Accuracy: 0.6476470588235295, Fuzzy Accuracy: 0.8588235294117647
Regret: 1214, Accuracy: 0.6458823529411765, Fuzzy Accuracy: 0.8688235294117647
Regret: 1221, Accuracy: 0.6461764705882352, Fuzzy Accuracy: 0.8702941176470588
Regret: 1218, Accuracy: 0.6447058823529411, Fuzzy Accuracy: 0.8676470588235294
Regret: 1196, Accuracy: 0.6511764705882352, Fuzzy Accuracy: 0.8717647058823529
Regret: 1196, Accuracy: 0.6538235294117647, Fuzzy Accuracy: 0.8638235294117647
Regret: 1223, Accuracy: 0.6435294117647059, Fuzzy Accuracy: 0.8626470588235294
Regret: 1189, Accuracy: 0.6544117647058824, Fuzzy Accuracy: 0.8661764705882353
Regret: 1213, Accuracy: 0.6473529411764706, Fuzzy Accuracy: 0.8591176470588235
Regret: 1181, Accuracy: 0.6576470588235294, Fuzzy Accuracy: 0.8752941176470588
Regret: 1224, Accuracy: 0.6444117647058824, Fuzzy Accuracy: 0.8679411764705882
Regret: 1226, Accuracy: 0.6429411764705882, Fuzzy Accuracy: 0.8685294117647059
Regret: 1267, Accuracy: 0.6323529411764706, Fuzzy Accuracy: 0.8570588235294118
Regret: 1209, Accuracy: 0.6476470588235295, Fuzzy Accuracy: 0.8717647058823529
Regret: 1225, Accuracy: 0.6435294117647059, Fuzzy Accuracy: 0.861764705882353
Regret: 1203, Accuracy: 0.6505882352941177, Fuzzy Accuracy: 0.8644117647058823
Regret: 1209, Accuracy: 0.6494117647058824, Fuzzy Accuracy: 0.8676470588235294
Regret: 1209, Accuracy: 0.6476470588235295, Fuzzy Accuracy: 0.856764705882353
Regret: 1216, Accuracy: 0.6461764705882352, Fuzzy Accuracy: 0.8611764705882353
Regret: 1249, Accuracy: 0.6379411764705882, Fuzzy Accuracy: 0.8608823529411764
Regret: 1186, Accuracy: 0.6544117647058824, Fuzzy Accuracy: 0.8685294117647059
Regret: 1171, Accuracy: 0.6591176470588235, Fuzzy Accuracy: 0.8691176470588236
Regret: 1252, Accuracy: 0.6361764705882353, Fuzzy Accuracy: 0.8661764705882353
Regret: 1241, Accuracy: 0.6373529411764706, Fuzzy Accuracy: 0.8597058823529412
