Regret: 665, Accuracy: 0.6305555555555555, Fuzzy Accuracy: 0.8333333333333334
Regret: 661, Accuracy: 0.6327777777777778, Fuzzy Accuracy: 0.845
Regret: 689, Accuracy: 0.6172222222222222, Fuzzy Accuracy: 0.8433333333333334
Regret: 673, Accuracy: 0.6261111111111111, Fuzzy Accuracy: 0.8355555555555556
Regret: 670, Accuracy: 0.6277777777777778, Fuzzy Accuracy: 0.8394444444444444
Regret: 699, Accuracy: 0.6116666666666667, Fuzzy Accuracy: 0.8266666666666667
Regret: 655, Accuracy: 0.6361111111111111, Fuzzy Accuracy: 0.8477777777777777
Regret: 701, Accuracy: 0.6105555555555555, Fuzzy Accuracy: 0.8383333333333334
Regret: 642, Accuracy: 0.6433333333333333, Fuzzy Accuracy: 0.8655555555555555
Regret: 658, Accuracy: 0.6344444444444445, Fuzzy Accuracy: 0.845
Regret: 671, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8411111111111111
Regret: 710, Accuracy: 0.6055555555555555, Fuzzy Accuracy: 0.8288888888888889
Regret: 678, Accuracy: 0.6233333333333333, Fuzzy Accuracy: 0.8422222222222222
Regret: 671, Accuracy: 0.6272222222222222, Fuzzy Accuracy: 0.8333333333333334
Regret: 684, Accuracy: 0.62, Fuzzy Accuracy: 0.8361111111111111
Regret: 670, Accuracy: 0.6277777777777778, Fuzzy Accuracy: 0.8472222222222222
Regret: 695, Accuracy: 0.6138888888888889, Fuzzy Accuracy: 0.8361111111111111
Regret: 692, Accuracy: 0.6155555555555555, Fuzzy Accuracy: 0.8583333333333333
Regret: 726, Accuracy: 0.5966666666666667, Fuzzy Accuracy: 0.815
Regret: 664, Accuracy: 0.6311111111111111, Fuzzy Accuracy: 0.8477777777777777
Regret: 673, Accuracy: 0.6261111111111111, Fuzzy Accuracy: 0.85
Regret: 704, Accuracy: 0.6088888888888889, Fuzzy Accuracy: 0.8338888888888889
Regret: 690, Accuracy: 0.6166666666666667, Fuzzy Accuracy: 0.8322222222222222
Regret: 667, Accuracy: 0.6294444444444445, Fuzzy Accuracy: 0.8455555555555555
Regret: 687, Accuracy: 0.6183333333333333, Fuzzy Accuracy: 0.8422222222222222
Regret: 701, Accuracy: 0.6105555555555555, Fuzzy Accuracy: 0.8411111111111111
Regret: 670, Accuracy: 0.6277777777777778, Fuzzy Accuracy: 0.8355555555555556
Regret: 674, Accuracy: 0.6255555555555555, Fuzzy Accuracy: 0.8494444444444444
Regret: 708, Accuracy: 0.6066666666666667, Fuzzy Accuracy: 0.83
Regret: 677, Accuracy: 0.6238888888888889, Fuzzy Accuracy: 0.8383333333333334
Regret: 698, Accuracy: 0.6122222222222222, Fuzzy Accuracy: 0.8383333333333334
Regret: 654, Accuracy: 0.6366666666666667, Fuzzy Accuracy: 0.8605555555555555
Regret: 663, Accuracy: 0.6316666666666667, Fuzzy Accuracy: 0.8427777777777777
Regret: 704, Accuracy: 0.6088888888888889, Fuzzy Accuracy: 0.84
Regret: 681, Accuracy: 0.6216666666666667, Fuzzy Accuracy: 0.8405555555555555
Regret: 674, Accuracy: 0.6255555555555555, Fuzzy Accuracy: 0.8394444444444444
Regret: 669, Accuracy: 0.6283333333333333, Fuzzy Accuracy: 0.84
Regret: 675, Accuracy: 0.625, Fuzzy Accuracy: 0.8416666666666667
Regret: 692, Accuracy: 0.6155555555555555, Fuzzy Accuracy: 0.8394444444444444
Regret: 702, Accuracy: 0.61, Fuzzy Accuracy: 0.835
Regret: 693, Accuracy: 0.615, Fuzzy Accuracy: 0.8388888888888889
Regret: 685, Accuracy: 0.6194444444444445, Fuzzy Accuracy: 0.8333333333333334
Regret: 681, Accuracy: 0.6216666666666667, Fuzzy Accuracy: 0.8538888888888889
Regret: 684, Accuracy: 0.62, Fuzzy Accuracy: 0.8527777777777777
Regret: 669, Accuracy: 0.6283333333333333, Fuzzy Accuracy: 0.8561111111111112
Regret: 692, Accuracy: 0.6155555555555555, Fuzzy Accuracy: 0.8444444444444444
Regret: 706, Accuracy: 0.6077777777777778, Fuzzy Accuracy: 0.8316666666666667
Regret: 692, Accuracy: 0.6155555555555555, Fuzzy Accuracy: 0.845
Regret: 697, Accuracy: 0.6127777777777778, Fuzzy Accuracy: 0.8377777777777777
Regret: 651, Accuracy: 0.6383333333333333, Fuzzy Accuracy: 0.8527777777777777
