Regret: 588, Accuracy: 0.6359090909090909, Fuzzy Accuracy: 0.8663636363636363
Regret: 626, Accuracy: 0.6370454545454546, Fuzzy Accuracy: 0.8577272727272728
Regret: 640, Accuracy: 0.6311363636363636, Fuzzy Accuracy: 0.8545454545454545
Regret: 626, Accuracy: 0.6363636363636364, Fuzzy Accuracy: 0.8577272727272728
Regret: 605, Accuracy: 0.6411363636363636, Fuzzy Accuracy: 0.8625
Regret: 635, Accuracy: 0.6284090909090909, Fuzzy Accuracy: 0.8556818181818182
Regret: 629, Accuracy: 0.639090909090909, Fuzzy Accuracy: 0.8570454545454546
Regret: 625, Accuracy: 0.6338636363636364, Fuzzy Accuracy: 0.8579545454545454
Regret: 624, Accuracy: 0.6436363636363637, Fuzzy Accuracy: 0.8581818181818182
Regret: 636, Accuracy: 0.6329545454545454, Fuzzy Accuracy: 0.8554545454545455
Regret: 720, Accuracy: 0.6027272727272728, Fuzzy Accuracy: 0.8363636363636363
Regret: 573, Accuracy: 0.6488636363636363, Fuzzy Accuracy: 0.8697727272727273
Regret: 587, Accuracy: 0.6447727272727273, Fuzzy Accuracy: 0.8665909090909091
Regret: 616, Accuracy: 0.64, Fuzzy Accuracy: 0.86
Regret: 635, Accuracy: 0.634090909090909, Fuzzy Accuracy: 0.8556818181818182
Regret: 647, Accuracy: 0.6227272727272727, Fuzzy Accuracy: 0.8529545454545454
Regret: 612, Accuracy: 0.6411363636363636, Fuzzy Accuracy: 0.860909090909091
Regret: 659, Accuracy: 0.6284090909090909, Fuzzy Accuracy: 0.8502272727272727
Regret: 583, Accuracy: 0.6397727272727273, Fuzzy Accuracy: 0.8675
Regret: 644, Accuracy: 0.6297727272727273, Fuzzy Accuracy: 0.8536363636363636
Regret: 623, Accuracy: 0.6352272727272728, Fuzzy Accuracy: 0.8584090909090909
Regret: 627, Accuracy: 0.625, Fuzzy Accuracy: 0.8575
Regret: 683, Accuracy: 0.6197727272727273, Fuzzy Accuracy: 0.8447727272727272
Regret: 581, Accuracy: 0.6459090909090909, Fuzzy Accuracy: 0.8679545454545454
Regret: 606, Accuracy: 0.644090909090909, Fuzzy Accuracy: 0.8622727272727273
Regret: 656, Accuracy: 0.6309090909090909, Fuzzy Accuracy: 0.850909090909091
Regret: 619, Accuracy: 0.6322727272727273, Fuzzy Accuracy: 0.8593181818181819
Regret: 626, Accuracy: 0.6377272727272727, Fuzzy Accuracy: 0.8577272727272728
Regret: 627, Accuracy: 0.6345454545454545, Fuzzy Accuracy: 0.8575
Regret: 595, Accuracy: 0.6456818181818181, Fuzzy Accuracy: 0.8647727272727272
Regret: 658, Accuracy: 0.6163636363636363, Fuzzy Accuracy: 0.8504545454545455
Regret: 636, Accuracy: 0.6265909090909091, Fuzzy Accuracy: 0.8554545454545455
Regret: 643, Accuracy: 0.6275, Fuzzy Accuracy: 0.8538636363636364
Regret: 613, Accuracy: 0.634090909090909, Fuzzy Accuracy: 0.8606818181818182
Regret: 606, Accuracy: 0.6509090909090909, Fuzzy Accuracy: 0.8622727272727273
Regret: 590, Accuracy: 0.6397727272727273, Fuzzy Accuracy: 0.865909090909091
Regret: 607, Accuracy: 0.6363636363636364, Fuzzy Accuracy: 0.8620454545454546
Regret: 690, Accuracy: 0.6161363636363636, Fuzzy Accuracy: 0.8431818181818181
Regret: 637, Accuracy: 0.6354545454545455, Fuzzy Accuracy: 0.8552272727272727
Regret: 703, Accuracy: 0.6065909090909091, Fuzzy Accuracy: 0.8402272727272727
Regret: 627, Accuracy: 0.6302272727272727, Fuzzy Accuracy: 0.8575
Regret: 595, Accuracy: 0.6422727272727272, Fuzzy Accuracy: 0.8647727272727272
Regret: 607, Accuracy: 0.6365909090909091, Fuzzy Accuracy: 0.8620454545454546
Regret: 633, Accuracy: 0.6375, Fuzzy Accuracy: 0.8561363636363636
Regret: 607, Accuracy: 0.6365909090909091, Fuzzy Accuracy: 0.8620454545454546
Regret: 652, Accuracy: 0.6261363636363636, Fuzzy Accuracy: 0.8518181818181818
Regret: 631, Accuracy: 0.6261363636363636, Fuzzy Accuracy: 0.8565909090909091
Regret: 627, Accuracy: 0.6334090909090909, Fuzzy Accuracy: 0.8575
Regret: 649, Accuracy: 0.6254545454545455, Fuzzy Accuracy: 0.8525
Regret: 635, Accuracy: 0.6336363636363637, Fuzzy Accuracy: 0.8556818181818182
