Regret: 1051.025000000009, Accuracy: 0.6451020408163265, Fuzzy Accuracy: 0.8665306122448979
Regret: 1061.1750000000086, Accuracy: 0.643265306122449, Fuzzy Accuracy: 0.8636734693877551
Regret: 1066.8062500000078, Accuracy: 0.6387755102040816, Fuzzy Accuracy: 0.8655102040816327
Regret: 1031.6687500000096, Accuracy: 0.6506122448979592, Fuzzy Accuracy: 0.87
Regret: 1085.4062500000073, Accuracy: 0.6375510204081632, Fuzzy Accuracy: 0.8581632653061224
Regret: 1059.8812500000085, Accuracy: 0.6444897959183673, Fuzzy Accuracy: 0.8630612244897959
Regret: 1055.9125000000085, Accuracy: 0.6453061224489796, Fuzzy Accuracy: 0.8640816326530613
Regret: 1046.1187500000087, Accuracy: 0.6442857142857142, Fuzzy Accuracy: 0.8695918367346939
Regret: 1048.0000000000086, Accuracy: 0.6477551020408163, Fuzzy Accuracy: 0.8653061224489796
Regret: 1079.6500000000074, Accuracy: 0.6379591836734694, Fuzzy Accuracy: 0.8604081632653061
Regret: 1040.493750000009, Accuracy: 0.6489795918367347, Fuzzy Accuracy: 0.8675510204081632
Regret: 1063.8500000000076, Accuracy: 0.643673469387755, Fuzzy Accuracy: 0.8620408163265306
Regret: 1064.2687500000086, Accuracy: 0.6428571428571429, Fuzzy Accuracy: 0.8626530612244898
Regret: 1050.6750000000088, Accuracy: 0.6481632653061224, Fuzzy Accuracy: 0.8636734693877551
Regret: 1051.9500000000087, Accuracy: 0.6463265306122449, Fuzzy Accuracy: 0.8648979591836735
Regret: 1059.4250000000086, Accuracy: 0.6440816326530612, Fuzzy Accuracy: 0.8636734693877551
Regret: 1083.6437500000065, Accuracy: 0.6379591836734694, Fuzzy Accuracy: 0.8585714285714285
Regret: 1111.8750000000052, Accuracy: 0.6324489795918368, Fuzzy Accuracy: 0.8510204081632653
Regret: 1058.5625000000086, Accuracy: 0.6448979591836734, Fuzzy Accuracy: 0.863265306122449
Regret: 1049.381250000009, Accuracy: 0.6493877551020408, Fuzzy Accuracy: 0.8630612244897959
Regret: 1065.5937500000077, Accuracy: 0.6426530612244898, Fuzzy Accuracy: 0.8622448979591837
Regret: 1062.906250000008, Accuracy: 0.6418367346938776, Fuzzy Accuracy: 0.8642857142857143
Regret: 1081.3875000000073, Accuracy: 0.636734693877551, Fuzzy Accuracy: 0.8608163265306122
Regret: 1071.3125000000075, Accuracy: 0.6410204081632653, Fuzzy Accuracy: 0.8612244897959184
Regret: 1061.5875000000078, Accuracy: 0.6422448979591837, Fuzzy Accuracy: 0.8644897959183674
Regret: 1073.4500000000078, Accuracy: 0.6383673469387755, Fuzzy Accuracy: 0.8628571428571429
Regret: 1052.393750000008, Accuracy: 0.6463265306122449, Fuzzy Accuracy: 0.8646938775510205
Regret: 1133.8375000000049, Accuracy: 0.6251020408163265, Fuzzy Accuracy: 0.8481632653061224
Regret: 1077.8812500000065, Accuracy: 0.6381632653061224, Fuzzy Accuracy: 0.8610204081632653
Regret: 1095.918750000006, Accuracy: 0.633061224489796, Fuzzy Accuracy: 0.8577551020408163
Regret: 1095.418750000007, Accuracy: 0.6312244897959184, Fuzzy Accuracy: 0.8597959183673469
Regret: 1063.4125000000085, Accuracy: 0.6438775510204081, Fuzzy Accuracy: 0.8620408163265306
Regret: 1074.375000000007, Accuracy: 0.6395918367346939, Fuzzy Accuracy: 0.8612244897959184
Regret: 1065.568750000008, Accuracy: 0.6418367346938776, Fuzzy Accuracy: 0.8630612244897959
Regret: 1063.875000000008, Accuracy: 0.6444897959183673, Fuzzy Accuracy: 0.8612244897959184
Regret: 1033.8375000000096, Accuracy: 0.6489795918367347, Fuzzy Accuracy: 0.8706122448979592
Regret: 1036.993750000009, Accuracy: 0.6506122448979592, Fuzzy Accuracy: 0.8675510204081632
Regret: 1046.2437500000092, Accuracy: 0.6483673469387755, Fuzzy Accuracy: 0.8655102040816327
Regret: 1095.9250000000056, Accuracy: 0.633265306122449, Fuzzy Accuracy: 0.8575510204081632
Regret: 1079.2625000000069, Accuracy: 0.639795918367347, Fuzzy Accuracy: 0.8587755102040816
Regret: 1052.7375000000088, Accuracy: 0.643061224489796, Fuzzy Accuracy: 0.8677551020408163
Regret: 1039.5687500000092, Accuracy: 0.6477551020408163, Fuzzy Accuracy: 0.8691836734693877
Regret: 1057.2312500000085, Accuracy: 0.6448979591836734, Fuzzy Accuracy: 0.8638775510204082
Regret: 1089.7187500000064, Accuracy: 0.6334693877551021, Fuzzy Accuracy: 0.860204081632653
Regret: 1083.625000000006, Accuracy: 0.6373469387755102, Fuzzy Accuracy: 0.8591836734693877
Regret: 1091.118750000006, Accuracy: 0.6357142857142857, Fuzzy Accuracy: 0.8573469387755102
Regret: 1062.087500000008, Accuracy: 0.6440816326530612, Fuzzy Accuracy: 0.8624489795918368
Regret: 1057.7187500000077, Accuracy: 0.6463265306122449, Fuzzy Accuracy: 0.8622448979591837
Regret: 1067.318750000008, Accuracy: 0.6410204081632653, Fuzzy Accuracy: 0.8630612244897959
Regret: 1074.3812500000076, Accuracy: 0.639795918367347, Fuzzy Accuracy: 0.8610204081632653
