Regret: 598.2239851230355, Accuracy: 0.613225806451613, Fuzzy Accuracy: 0.8461290322580645
Regret: 635.5981238424966, Accuracy: 0.5625806451612904, Fuzzy Accuracy: 0.7806451612903226
Regret: 715.404407493808, Accuracy: 0.5925806451612903, Fuzzy Accuracy: 0.82
Regret: 523.2402527546225, Accuracy: 0.5241935483870968, Fuzzy Accuracy: 0.7577419354838709
Regret: 566.6645234362671, Accuracy: 0.5770967741935484, Fuzzy Accuracy: 0.7864516129032258
Regret: 530.8984105491658, Accuracy: 0.6019354838709677, Fuzzy Accuracy: 0.8296774193548387
Regret: 484.10714466458853, Accuracy: 0.6193548387096774, Fuzzy Accuracy: 0.8338709677419355
Regret: 692.3447536599576, Accuracy: 0.5264516129032258, Fuzzy Accuracy: 0.74
Regret: 459.4468369436817, Accuracy: 0.6151612903225806, Fuzzy Accuracy: 0.8248387096774193
Regret: 515.5329873684645, Accuracy: 0.6083870967741936, Fuzzy Accuracy: 0.8287096774193549
Regret: 501.1261292838356, Accuracy: 0.5670967741935484, Fuzzy Accuracy: 0.787741935483871
Regret: 537.9471477118856, Accuracy: 0.5419354838709678, Fuzzy Accuracy: 0.7748387096774193
Regret: 616.3982198194694, Accuracy: 0.5496774193548387, Fuzzy Accuracy: 0.7625806451612903
Regret: 616.9584905195808, Accuracy: 0.5948387096774194, Fuzzy Accuracy: 0.8109677419354838
Regret: 570.0469039475099, Accuracy: 0.5848387096774194, Fuzzy Accuracy: 0.8045161290322581
Regret: 650.9290477546916, Accuracy: 0.594516129032258, Fuzzy Accuracy: 0.8254838709677419
Regret: 559.8403968117198, Accuracy: 0.57, Fuzzy Accuracy: 0.79
Regret: 588.2087783927236, Accuracy: 0.5861290322580646, Fuzzy Accuracy: 0.8167741935483871
Regret: 450.12503750445035, Accuracy: 0.5812903225806452, Fuzzy Accuracy: 0.8129032258064516
Regret: 679.7653767737319, Accuracy: 0.5280645161290323, Fuzzy Accuracy: 0.7545161290322581
Regret: 556.5549130677103, Accuracy: 0.6087096774193549, Fuzzy Accuracy: 0.8283870967741935
Regret: 631.1890450312778, Accuracy: 0.6196774193548387, Fuzzy Accuracy: 0.8383870967741935
Regret: 463.1282670904023, Accuracy: 0.6267741935483871, Fuzzy Accuracy: 0.8403225806451613
Regret: 664.5353683827589, Accuracy: 0.5529032258064516, Fuzzy Accuracy: 0.7858064516129032
Regret: 564.1602385697316, Accuracy: 0.5880645161290322, Fuzzy Accuracy: 0.817741935483871
Regret: 636.6393476278475, Accuracy: 0.6048387096774194, Fuzzy Accuracy: 0.8303225806451613
Regret: 459.1628859911153, Accuracy: 0.6235483870967742, Fuzzy Accuracy: 0.8506451612903225
Regret: 443.1006966664351, Accuracy: 0.5996774193548388, Fuzzy Accuracy: 0.8280645161290323
Regret: 507.17859500935856, Accuracy: 0.6180645161290322, Fuzzy Accuracy: 0.8335483870967741
Regret: 530.1406372475203, Accuracy: 0.6122580645161291, Fuzzy Accuracy: 0.8267741935483871
Regret: 605.1212265779312, Accuracy: 0.5970967741935483, Fuzzy Accuracy: 0.832258064516129
Regret: 568.3127774399092, Accuracy: 0.5541935483870968, Fuzzy Accuracy: 0.7803225806451612
Regret: 491.7333385415179, Accuracy: 0.5996774193548388, Fuzzy Accuracy: 0.8196774193548387
Regret: 603.0084160195383, Accuracy: 0.532258064516129, Fuzzy Accuracy: 0.752258064516129
Regret: 649.7766524197707, Accuracy: 0.6248387096774194, Fuzzy Accuracy: 0.8422580645161291
Regret: 628.7570377746837, Accuracy: 0.5474193548387096, Fuzzy Accuracy: 0.7806451612903226
Regret: 617.8704039125504, Accuracy: 0.5435483870967742, Fuzzy Accuracy: 0.7806451612903226
Regret: 554.8780448830684, Accuracy: 0.5887096774193549, Fuzzy Accuracy: 0.8167741935483871
Regret: 547.5415994664413, Accuracy: 0.6135483870967742, Fuzzy Accuracy: 0.8312903225806452
Regret: 643.1060924327139, Accuracy: 0.5851612903225807, Fuzzy Accuracy: 0.8012903225806451
Regret: 530.2066651421304, Accuracy: 0.5870967741935483, Fuzzy Accuracy: 0.8151612903225807
Regret: 557.9289447314565, Accuracy: 0.5987096774193549, Fuzzy Accuracy: 0.8225806451612904
Regret: 545.1471948471403, Accuracy: 0.5932258064516129, Fuzzy Accuracy: 0.8238709677419355
Regret: 534.3240463015403, Accuracy: 0.6154838709677419, Fuzzy Accuracy: 0.8332258064516129
Regret: 531.5470516497724, Accuracy: 0.6041935483870968, Fuzzy Accuracy: 0.8254838709677419
Regret: 628.6048860384591, Accuracy: 0.6035483870967742, Fuzzy Accuracy: 0.8261290322580646
Regret: 575.9577298936541, Accuracy: 0.5958064516129032, Fuzzy Accuracy: 0.8206451612903226
Regret: 591.203131457102, Accuracy: 0.5425806451612903, Fuzzy Accuracy: 0.7535483870967742
Regret: 600.471932281976, Accuracy: 0.6009677419354839, Fuzzy Accuracy: 0.8183870967741935
Regret: 562.2500457350815, Accuracy: 0.6141935483870967, Fuzzy Accuracy: 0.8174193548387096
