Regret: 8140.025714285707, Accuracy: 0.4869230769230769, Fuzzy Accuracy: 0.7338461538461538
Regret: 8422.659999999998, Accuracy: 0.5409615384615385, Fuzzy Accuracy: 0.7740384615384616
Regret: 8019.921428571419, Accuracy: 0.5398076923076923, Fuzzy Accuracy: 0.7853846153846153
Regret: 8182.634285714267, Accuracy: 0.505, Fuzzy Accuracy: 0.76
Regret: 7975.894285714282, Accuracy: 0.49403846153846154, Fuzzy Accuracy: 0.745576923076923
Regret: 8357.432857142856, Accuracy: 0.4846153846153846, Fuzzy Accuracy: 0.7284615384615385
Regret: 8344.478571428537, Accuracy: 0.5390384615384616, Fuzzy Accuracy: 0.7763461538461538
Regret: 8130.081428571416, Accuracy: 0.5144230769230769, Fuzzy Accuracy: 0.7588461538461538
Regret: 9002.879999999992, Accuracy: 0.47596153846153844, Fuzzy Accuracy: 0.7009615384615384
Regret: 8276.06857142856, Accuracy: 0.5459615384615385, Fuzzy Accuracy: 0.7873076923076923
Regret: 8056.498571428574, Accuracy: 0.5117307692307692, Fuzzy Accuracy: 0.754423076923077
Regret: 8895.497142857124, Accuracy: 0.4723076923076923, Fuzzy Accuracy: 0.7165384615384616
Regret: 7957.457142857128, Accuracy: 0.5161538461538462, Fuzzy Accuracy: 0.7582692307692308
Regret: 8362.244285714287, Accuracy: 0.48903846153846153, Fuzzy Accuracy: 0.7425
Regret: 8403.254285714285, Accuracy: 0.5371153846153847, Fuzzy Accuracy: 0.7694230769230769
Regret: 8140.099999999977, Accuracy: 0.5603846153846154, Fuzzy Accuracy: 0.7951923076923076
Regret: 8395.831428571419, Accuracy: 0.5471153846153847, Fuzzy Accuracy: 0.7838461538461539
Regret: 8160.055714285702, Accuracy: 0.5269230769230769, Fuzzy Accuracy: 0.7719230769230769
Regret: 8075.837142857129, Accuracy: 0.5196153846153846, Fuzzy Accuracy: 0.7657692307692308
Regret: 8030.161428571425, Accuracy: 0.5163461538461539, Fuzzy Accuracy: 0.7557692307692307
Regret: 8382.13, Accuracy: 0.56, Fuzzy Accuracy: 0.8005769230769231
Regret: 8469.497142857144, Accuracy: 0.5734615384615385, Fuzzy Accuracy: 0.7998076923076923
Regret: 8223.712857142851, Accuracy: 0.5201923076923077, Fuzzy Accuracy: 0.7609615384615385
Regret: 7982.51428571427, Accuracy: 0.5269230769230769, Fuzzy Accuracy: 0.7759615384615385
Regret: 8381.015714285702, Accuracy: 0.4828846153846154, Fuzzy Accuracy: 0.7363461538461539
Regret: 8338.381428571429, Accuracy: 0.4642307692307692, Fuzzy Accuracy: 0.7138461538461538
Regret: 8276.939999999991, Accuracy: 0.5388461538461539, Fuzzy Accuracy: 0.7815384615384615
Regret: 8242.924285714262, Accuracy: 0.43596153846153846, Fuzzy Accuracy: 0.6994230769230769
Regret: 8199.715714285707, Accuracy: 0.43173076923076925, Fuzzy Accuracy: 0.6878846153846154
Regret: 8215.215714285712, Accuracy: 0.553076923076923, Fuzzy Accuracy: 0.7853846153846153
Regret: 8293.09142857144, Accuracy: 0.5211538461538462, Fuzzy Accuracy: 0.7730769230769231
Regret: 8126.409999999988, Accuracy: 0.46153846153846156, Fuzzy Accuracy: 0.7225
Regret: 8212.25857142856, Accuracy: 0.5496153846153846, Fuzzy Accuracy: 0.7905769230769231
Regret: 8429.378571428564, Accuracy: 0.5084615384615384, Fuzzy Accuracy: 0.7567307692307692
Regret: 7899.865714285719, Accuracy: 0.5494230769230769, Fuzzy Accuracy: 0.79
Regret: 9095.685714285713, Accuracy: 0.46192307692307694, Fuzzy Accuracy: 0.6955769230769231
Regret: 8140.037142857121, Accuracy: 0.5075, Fuzzy Accuracy: 0.7575
Regret: 8133.787142857136, Accuracy: 0.5894230769230769, Fuzzy Accuracy: 0.83
Regret: 8160.597142857126, Accuracy: 0.568076923076923, Fuzzy Accuracy: 0.8003846153846154
Regret: 8065.119999999998, Accuracy: 0.48423076923076924, Fuzzy Accuracy: 0.7384615384615385
Regret: 8152.654285714292, Accuracy: 0.5086538461538461, Fuzzy Accuracy: 0.7498076923076923
Regret: 8358.577142857132, Accuracy: 0.48730769230769233, Fuzzy Accuracy: 0.7348076923076923
Regret: 8506.332857142848, Accuracy: 0.5186538461538461, Fuzzy Accuracy: 0.7619230769230769
Regret: 8193.12285714284, Accuracy: 0.5684615384615385, Fuzzy Accuracy: 0.8053846153846154
Regret: 8097.639999999988, Accuracy: 0.42134615384615387, Fuzzy Accuracy: 0.6888461538461539
Regret: 8288.065714285709, Accuracy: 0.4530769230769231, Fuzzy Accuracy: 0.715
Regret: 8462.952857142842, Accuracy: 0.47807692307692307, Fuzzy Accuracy: 0.7215384615384616
Regret: 8236.932857142832, Accuracy: 0.5075, Fuzzy Accuracy: 0.7540384615384615
Regret: 8055.875714285711, Accuracy: 0.5386538461538461, Fuzzy Accuracy: 0.7826923076923077
Regret: 8434.514285714267, Accuracy: 0.4623076923076923, Fuzzy Accuracy: 0.7138461538461538
