Regret: 1168.3062500000021, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8671889233011477
Regret: 1191.1625000000015, Accuracy: 0.6418291127709965, Fuzzy Accuracy: 0.8640918200036436
Regret: 1190.2562500000004, Accuracy: 0.6412825651302605, Fuzzy Accuracy: 0.8650027327382037
Regret: 1152.4875000000022, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8691929313171798
Regret: 1203.9812500000007, Accuracy: 0.6403716523957005, Fuzzy Accuracy: 0.8602659865184915
Regret: 1178.8625000000025, Accuracy: 0.6454727637092367, Fuzzy Accuracy: 0.8655492803789397
Regret: 1166.5562500000028, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8671889233011477
Regret: 1173.525000000001, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8680998360357077
Regret: 1167.887500000002, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8666423756604117
Regret: 1199.9937500000005, Accuracy: 0.6405538349426125, Fuzzy Accuracy: 0.8617234468937875
Regret: 1171.3937500000013, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8664601931134998
Regret: 1201.3374999999996, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8608125341592275
Regret: 1180.1937500000024, Accuracy: 0.6454727637092367, Fuzzy Accuracy: 0.8650027327382037
Regret: 1163.9625000000028, Accuracy: 0.6509382401165968, Fuzzy Accuracy: 0.8662780105665877
Regret: 1170.5625000000016, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8651849152851157
Regret: 1176.6750000000022, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8655492803789397
Regret: 1206.6249999999995, Accuracy: 0.6398251047549645, Fuzzy Accuracy: 0.8597194388777555
Regret: 1225.5312500000002, Accuracy: 0.6347239934414283, Fuzzy Accuracy: 0.8569867006740755
Regret: 1176.262500000002, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8648205501912917
Regret: 1160.0250000000033, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8662780105665877
Regret: 1179.3500000000013, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8640918200036436
Regret: 1177.0937500000016, Accuracy: 0.6456549462561486, Fuzzy Accuracy: 0.8660958280196757
Regret: 1208.3187500000001, Accuracy: 0.6374567316451084, Fuzzy Accuracy: 0.8613590817999636
Regret: 1195.5812500000009, Accuracy: 0.6412825651302605, Fuzzy Accuracy: 0.8628165421752596
Regret: 1196.4937499999992, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8617234468937875
Regret: 1189.4062500000011, Accuracy: 0.6423756604117326, Fuzzy Accuracy: 0.8642740025505556
Regret: 1164.3500000000022, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8677354709418837
Regret: 1255.9437499999979, Accuracy: 0.6287119693933321, Fuzzy Accuracy: 0.8504281289852432
Regret: 1205.712499999999, Accuracy: 0.6390963745673165, Fuzzy Accuracy: 0.8608125341592275
Regret: 1209.2124999999999, Accuracy: 0.6376389141920205, Fuzzy Accuracy: 0.8608125341592275
Regret: 1217.0750000000003, Accuracy: 0.6339952632537803, Fuzzy Accuracy: 0.8611768992530515
Regret: 1192.0812500000015, Accuracy: 0.6427400255055565, Fuzzy Accuracy: 0.8628165421752596
Regret: 1207.8749999999998, Accuracy: 0.6374567316451084, Fuzzy Accuracy: 0.8615412643468756
Regret: 1193.8187500000008, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8631809072690836
Regret: 1170.962500000003, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8662780105665877
Regret: 1154.612500000003, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8710147567862999
Regret: 1152.8937500000031, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8701038440517398
Regret: 1155.5562500000037, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8690107487702678
Regret: 1215.8374999999987, Accuracy: 0.6367280014574603, Fuzzy Accuracy: 0.8589907086901075
Regret: 1197.3437500000011, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8624521770814356
Regret: 1180.6062500000007, Accuracy: 0.6445618509746767, Fuzzy Accuracy: 0.8657314629258517
Regret: 1166.506250000002, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8686463836764438
Regret: 1174.918750000002, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8657314629258517
Regret: 1219.7687499999984, Accuracy: 0.6349061759883403, Fuzzy Accuracy: 0.8591728912370195
Regret: 1214.0812499999984, Accuracy: 0.6372745490981964, Fuzzy Accuracy: 0.8591728912370195
Regret: 1203.9937499999996, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8599016214246675
Regret: 1185.943750000001, Accuracy: 0.6449262160685006, Fuzzy Accuracy: 0.8631809072690836
Regret: 1193.9187499999994, Accuracy: 0.6445618509746767, Fuzzy Accuracy: 0.8602659865184915
Regret: 1193.812500000001, Accuracy: 0.6414647476771725, Fuzzy Accuracy: 0.8633630898159956
Regret: 1196.4812500000007, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8620878119876116
