Regret: 819.828342976915, Accuracy: 0.594826015667699
Regret: 822.5460600956769, Accuracy: 0.6299872472217162
Regret: 1019.8206492239859, Accuracy: 0.6041173255602114
Regret: 815.8423061422272, Accuracy: 0.6072144288577155
Regret: 974.6394548611142, Accuracy: 0.5729641100382583
Regret: 956.5688621982334, Accuracy: 0.6206959373292039
Regret: 816.6553260231789, Accuracy: 0.6367280014574603
Regret: 951.9862309876773, Accuracy: 0.6037529604663873
Regret: 759.4591984184851, Accuracy: 0.6134086354527236
Regret: 849.7296852322014, Accuracy: 0.6063035161231554
Regret: 736.7107534970783, Accuracy: 0.5651302605210421, Fuzzy Accuracy: 0.8006922936782657
Regret: 833.2968883858208, Accuracy: 0.6201493896884679, Fuzzy Accuracy: 0.8374931681544908
Regret: 893.9539245107153, Accuracy: 0.5552924029877938, Fuzzy Accuracy: 0.7881216979413372
Regret: 873.9582763155365, Accuracy: 0.6361814538167243, Fuzzy Accuracy: 0.8582619785024594
Regret: 906.025386034962, Accuracy: 0.5685917289123702, Fuzzy Accuracy: 0.7999635634906176
Regret: 1021.3555237216345, Accuracy: 0.5210420841683366, Fuzzy Accuracy: 0.7730005465476407
Regret: 991.6594042694192, Accuracy: 0.530879941701585, Fuzzy Accuracy: 0.7750045545636728
Regret: 1178.1657271006484, Accuracy: 0.5594826015667699, Fuzzy Accuracy: 0.7941337219894334
Regret: 940.3205766677729, Accuracy: 0.6334487156130443, Fuzzy Accuracy: 0.8500637638914192
Regret: 840.8746464012766, Accuracy: 0.5984696666059391, Fuzzy Accuracy: 0.8205501912916743
Regret: 897.7986325924858, Accuracy: 0.6174166514847877, Fuzzy Accuracy: 0.8418655492803789
Regret: 993.2030191804513, Accuracy: 0.5720531973036983, Fuzzy Accuracy: 0.7965020950992895
Regret: 1184.308202665092, Accuracy: 0.6035707779194753, Fuzzy Accuracy: 0.8294771360903626
Regret: 830.2079958336992, Accuracy: 0.530333394060849, Fuzzy Accuracy: 0.7626161413736564
Regret: 973.3797226062638, Accuracy: 0.564401530333394, Fuzzy Accuracy: 0.782109673893241
Regret: 844.6505191365759, Accuracy: 0.6179631991255238, Fuzzy Accuracy: 0.843323009655675
Regret: 769.3114737232303, Accuracy: 0.6358170887229003, Fuzzy Accuracy: 0.8476953907815631
Regret: 1104.761316789558, Accuracy: 0.5438149025323374, Fuzzy Accuracy: 0.7633448715613044
Regret: 775.5263718470445, Accuracy: 0.5893605392603388, Fuzzy Accuracy: 0.8150847148843141
Regret: 849.5422446055962, Accuracy: 0.5684095463654582, Fuzzy Accuracy: 0.7986882856622336
Regret: 851.8001540424157, Accuracy: 0.531790854436145, Fuzzy Accuracy: 0.7709965385316087
Regret: 850.9575870656414, Accuracy: 0.5332483148114411, Fuzzy Accuracy: 0.7737292767352888
Regret: 989.9311279819296, Accuracy: 0.5536527600655857, Fuzzy Accuracy: 0.7715430861723447
Regret: 998.704858013668, Accuracy: 0.6066678812169795, Fuzzy Accuracy: 0.8258334851521224
Regret: 889.2789029165033, Accuracy: 0.6002914920750592, Fuzzy Accuracy: 0.8261978502459464
Regret: 1122.1108674132229, Accuracy: 0.596283476042995, Fuzzy Accuracy: 0.8271087629805065
