Regret: 8580.065714285704, Accuracy: 0.4873383129896156, Fuzzy Accuracy: 0.7347422116961195
Regret: 8896.157142857148, Accuracy: 0.5414465294224813, Fuzzy Accuracy: 0.7735470941883767
Regret: 8495.939999999984, Accuracy: 0.5418108945163054, Fuzzy Accuracy: 0.7864820550191292
Regret: 8630.977142857126, Accuracy: 0.5028238294771361, Fuzzy Accuracy: 0.7589724904354163
Regret: 8424.417142857123, Accuracy: 0.4917106941155037, Fuzzy Accuracy: 0.7456731645108399
Regret: 8830.017142857141, Accuracy: 0.4856986700674075, Fuzzy Accuracy: 0.7276370923665513
Regret: 8749.577142857088, Accuracy: 0.5388959737657133, Fuzzy Accuracy: 0.7784660229550009
Regret: 8572.88857142856, Accuracy: 0.5124795044634723, Fuzzy Accuracy: 0.7589724904354163
Regret: 9483.202857142855, Accuracy: 0.47695390781563124, Fuzzy Accuracy: 0.7010384405173984
Regret: 8733.662857142837, Accuracy: 0.5478229185644016, Fuzzy Accuracy: 0.7866642375660412
Regret: 8499.554285714285, Accuracy: 0.5133904171980325, Fuzzy Accuracy: 0.7558753871379121
Regret: 9387.965714285703, Accuracy: 0.47312807433047915, Fuzzy Accuracy: 0.718345782474039
Regret: 8361.705714285694, Accuracy: 0.5161231554017125, Fuzzy Accuracy: 0.7591546729823283
Regret: 8808.67714285716, Accuracy: 0.4891601384587356, Fuzzy Accuracy: 0.7429404263071597
Regret: 8894.522857142854, Accuracy: 0.5370741482965932, Fuzzy Accuracy: 0.7706321734377847
Regret: 8565.645714285698, Accuracy: 0.56221533977045, Fuzzy Accuracy: 0.7946802696301695
Regret: 8820.6257142857, Accuracy: 0.5487338312989616, Fuzzy Accuracy: 0.7862998724722171
Regret: 8598.368571428551, Accuracy: 0.5257788303880488, Fuzzy Accuracy: 0.7722718163599928
Regret: 8542.048571428559, Accuracy: 0.5183093459646566, Fuzzy Accuracy: 0.7640736017489524
Regret: 8464.565714285709, Accuracy: 0.5153944252140645, Fuzzy Accuracy: 0.7569684824193842
Regret: 8881.917142857148, Accuracy: 0.5580251411914738, Fuzzy Accuracy: 0.7985061031153216
Regret: 8907.722857142862, Accuracy: 0.5733284751320823, Fuzzy Accuracy: 0.7997813809437055
Regret: 8668.831428571422, Accuracy: 0.5204955365276006, Fuzzy Accuracy: 0.7631626890143924
Regret: 8396.18285714284, Accuracy: 0.5277828384040809, Fuzzy Accuracy: 0.7753689196574968
Regret: 8840.837142857132, Accuracy: 0.48351247950446347, Fuzzy Accuracy: 0.7380214975405356
Regret: 8752.748571428572, Accuracy: 0.4642011295317909, Fuzzy Accuracy: 0.7156130442703589
Regret: 8710.745714285704, Accuracy: 0.5372563308435052, Fuzzy Accuracy: 0.779741300783385
Regret: 8650.408571428552, Accuracy: 0.436509382401166, Fuzzy Accuracy: 0.6988522499544544
Regret: 8642.765714285693, Accuracy: 0.43523410457278194, Fuzzy Accuracy: 0.6902896702495901
Regret: 8660.414285714292, Accuracy: 0.5538349426124978, Fuzzy Accuracy: 0.7859355073783931
Regret: 8743.060000000021, Accuracy: 0.5234104572781928, Fuzzy Accuracy: 0.7735470941883767
Regret: 8612.24857142857, Accuracy: 0.4634723993441428, Fuzzy Accuracy: 0.7207141555838951
Regret: 8648.279999999984, Accuracy: 0.5485516487520495, Fuzzy Accuracy: 0.7890326106758973
Regret: 8895.457142857143, Accuracy: 0.5097467662597923, Fuzzy Accuracy: 0.7571506649662962
Regret: 8287.89714285715, Accuracy: 0.5501912916742576, Fuzzy Accuracy: 0.7895791583166333
Regret: 9610.157142857144, Accuracy: 0.4607396611404627, Fuzzy Accuracy: 0.6955729641100382
Regret: 8652.357142857121, Accuracy: 0.5077427582437603, Fuzzy Accuracy: 0.7556932045910002
Regret: 8574.442857142858, Accuracy: 0.5908179996356349, Fuzzy Accuracy: 0.8312989615594826
Regret: 8644.062857142851, Accuracy: 0.5684095463654582, Fuzzy Accuracy: 0.7999635634906176
Regret: 8480.945714285717, Accuracy: 0.4867917653488796, Fuzzy Accuracy: 0.7394789579158316
Regret: 8599.582857142865, Accuracy: 0.5077427582437603, Fuzzy Accuracy: 0.7489524503552559
Regret: 8812.131428571414, Accuracy: 0.4880670431772636, Fuzzy Accuracy: 0.7383858626343597
Regret: 8906.514285714291, Accuracy: 0.5210420841683366, Fuzzy Accuracy: 0.7635270541082164
Regret: 8627.085714285697, Accuracy: 0.5682273638185462, Fuzzy Accuracy: 0.8057934049918017
Regret: 8515.157142857133, Accuracy: 0.4215704135543815, Fuzzy Accuracy: 0.6890143924212061
Regret: 8711.119999999994, Accuracy: 0.4556385498269266, Fuzzy Accuracy: 0.7165239570049189
Regret: 8916.079999999982, Accuracy: 0.4822372016760794, Fuzzy Accuracy: 0.7225359810530151
Regret: 8646.882857142844, Accuracy: 0.5115685917289123, Fuzzy Accuracy: 0.7576972126070323
Regret: 8507.194285714284, Accuracy: 0.5383494261249773, Fuzzy Accuracy: 0.781380943705593
Regret: 8891.108571428556, Accuracy: 0.4649298597194389, Fuzzy Accuracy: 0.717252687192567
