Regret: 2012, Accuracy: 0.6334487156130443
Regret: 1966, Accuracy: 0.6418291127709965
Regret: 1907, Accuracy: 0.6525778830388049
Regret: 2042, Accuracy: 0.6279832392056841
Regret: 2068, Accuracy: 0.623246492985972
Regret: 1960, Accuracy: 0.6429222080524686
Regret: 1957, Accuracy: 0.6434687556932046
Regret: 1997, Accuracy: 0.6361814538167243
Regret: 1933, Accuracy: 0.6478411368190927
Regret: 1961, Accuracy: 0.6427400255055566
Regret: 1976, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8609947167061396
Regret: 1982, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8604481690654036
Regret: 1947, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8670067407542358
Regret: 1950, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8648205501912917
Regret: 2000, Accuracy: 0.6380032792858444, Fuzzy Accuracy: 0.8573510657678994
Regret: 1951, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8648205501912917
Regret: 1977, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8633630898159956
Regret: 1945, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8666423756604117
Regret: 1983, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8606303516123155
Regret: 1973, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8650027327382037
Regret: 1968, Accuracy: 0.6452905811623246, Fuzzy Accuracy: 0.8637274549098196
Regret: 1955, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8631809072690836
Regret: 1967, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8653670978320277
Regret: 1977, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8600838039715796
Regret: 1963, Accuracy: 0.6449262160685006, Fuzzy Accuracy: 0.8666423756604117
Regret: 1939, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8659136454727637
Regret: 1971, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8609947167061396
Regret: 1953, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8673711058480598
Regret: 1943, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8629987247221717
Regret: 1932, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8671889233011477
Regret: 1949, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8677354709418837
Regret: 1948, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8675532883949718
Regret: 2010, Accuracy: 0.6374567316451084, Fuzzy Accuracy: 0.8555292402987794
Regret: 2021, Accuracy: 0.6343596283476043, Fuzzy Accuracy: 0.8549826926580434
Regret: 1937, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8650027327382037
Regret: 1982, Accuracy: 0.6423756604117326, Fuzzy Accuracy: 0.8629987247221717
Regret: 1960, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8629987247221717
Regret: 1971, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8635452723629077
Regret: 1961, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8640918200036436
Regret: 1983, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8604481690654036
Regret: 1951, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8671889233011477
Regret: 1977, Accuracy: 0.6418291127709965, Fuzzy Accuracy: 0.8619056294406996
Regret: 1975, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8613590817999636
Regret: 1954, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8644561850974677
Regret: 2030, Accuracy: 0.6316268901439243, Fuzzy Accuracy: 0.8555292402987794
Regret: 1925, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8704682091455639
Regret: 1986, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8639096374567317
Regret: 2006, Accuracy: 0.6385498269265805, Fuzzy Accuracy: 0.8593550737839315
Regret: 1993, Accuracy: 0.6398251047549645, Fuzzy Accuracy: 0.8599016214246675
Regret: 1965, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8639096374567317
Regret: 1971, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8624521770814356
Regret: 2158, Accuracy: 0.6099471670613955, Fuzzy Accuracy: 0.841136819092731
Regret: 1967, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8628165421752596
Regret: 1924, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8682820185826198
Regret: 1937, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8653670978320277
Regret: 1976, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8617234468937875
Regret: 1972, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8619056294406996
Regret: 1994, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8617234468937875
Regret: 1983, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8622699945345236
Regret: 1944, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8668245582073237
Regret: 2002, Accuracy: 0.6390963745673165, Fuzzy Accuracy: 0.8589907086901075
Regret: 2018, Accuracy: 0.6345418108945163, Fuzzy Accuracy: 0.8578976134086355
Regret: 2068, Accuracy: 0.6294406995809801, Fuzzy Accuracy: 0.8520677719074513
Regret: 1967, Accuracy: 0.6467480415376207, Fuzzy Accuracy: 0.8608125341592275
Regret: 1945, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8650027327382037
Regret: 2006, Accuracy: 0.6369101840043724, Fuzzy Accuracy: 0.8604481690654036
Regret: 1964, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8664601931134998
Regret: 1984, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8620878119876116
Regret: 1947, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8693751138640918
Regret: 1957, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8651849152851157
