Regret: 1933, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8639096374567317
Regret: 1970, Accuracy: 0.6411003825833486, Fuzzy Accuracy: 0.8602659865184915
Regret: 1917, Accuracy: 0.6507560575696848, Fuzzy Accuracy: 0.8668245582073237
Regret: 1967, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8604481690654036
Regret: 1934, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8670067407542358
Regret: 1955, Accuracy: 0.6438331207870286, Fuzzy Accuracy: 0.8653670978320277
Regret: 2129, Accuracy: 0.6121333576243396, Fuzzy Accuracy: 0.842412096921115
Regret: 1967, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8606303516123155
Regret: 1976, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8629987247221717
Regret: 1949, Accuracy: 0.6449262160685006, Fuzzy Accuracy: 0.8624521770814356
Regret: 1934, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8662780105665877
Regret: 2001, Accuracy: 0.6354527236290763, Fuzzy Accuracy: 0.8573510657678994
Regret: 1942, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8664601931134998
Regret: 1967, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8635452723629077
Regret: 1940, Accuracy: 0.6465658589907087, Fuzzy Accuracy: 0.8646383676443796
Regret: 1989, Accuracy: 0.6376389141920205, Fuzzy Accuracy: 0.8580797959555475
Regret: 1956, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8615412643468756
Regret: 1943, Accuracy: 0.6460193113499727, Fuzzy Accuracy: 0.8651849152851157
Regret: 1991, Accuracy: 0.6372745490981964, Fuzzy Accuracy: 0.8573510657678994
Regret: 1973, Accuracy: 0.6405538349426125, Fuzzy Accuracy: 0.8611768992530515
Regret: 1946, Accuracy: 0.6454727637092367, Fuzzy Accuracy: 0.8648205501912917
Regret: 1943, Accuracy: 0.6460193113499727, Fuzzy Accuracy: 0.8635452723629077
Regret: 1954, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8637274549098196
Regret: 1897, Accuracy: 0.654399708507925, Fuzzy Accuracy: 0.8704682091455639
Regret: 2131, Accuracy: 0.6117689925305155, Fuzzy Accuracy: 0.844962652577883
Regret: 1968, Accuracy: 0.6414647476771725, Fuzzy Accuracy: 0.8631809072690836
Regret: 1972, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8584441610493715
Regret: 1922, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8659136454727637
Regret: 1954, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8642740025505556
Regret: 1954, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8600838039715796
Regret: 1979, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8593550737839315
Regret: 1953, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8659136454727637
Regret: 1996, Accuracy: 0.6363636363636364, Fuzzy Accuracy: 0.8584441610493715
Regret: 1956, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8626343596283476
Regret: 2017, Accuracy: 0.6325378028784843, Fuzzy Accuracy: 0.8571688832209874
Regret: 1993, Accuracy: 0.6369101840043724, Fuzzy Accuracy: 0.8582619785024594
Regret: 1953, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8626343596283476
Regret: 1915, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8664601931134998
Regret: 1927, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8660958280196757
Regret: 1962, Accuracy: 0.6425578429586446, Fuzzy Accuracy: 0.8631809072690836
Regret: 1985, Accuracy: 0.6383676443796684, Fuzzy Accuracy: 0.8595372563308435
Regret: 1987, Accuracy: 0.6380032792858444, Fuzzy Accuracy: 0.8575332483148115
Regret: 1941, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8635452723629077
Regret: 1976, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8599016214246675
Regret: 1967, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8639096374567317
Regret: 1959, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8633630898159956
Regret: 1978, Accuracy: 0.6396429222080525, Fuzzy Accuracy: 0.8620878119876116
Regret: 1943, Accuracy: 0.6460193113499727, Fuzzy Accuracy: 0.8602659865184915
Regret: 1968, Accuracy: 0.6414647476771725, Fuzzy Accuracy: 0.8599016214246675
Regret: 2091, Accuracy: 0.6190562944069958, Fuzzy Accuracy: 0.8484241209692112
Regret: 1942, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8626343596283476
Regret: 1971, Accuracy: 0.6409182000364365, Fuzzy Accuracy: 0.8615412643468756
Regret: 2000, Accuracy: 0.6356349061759884, Fuzzy Accuracy: 0.8580797959555475
Regret: 1956, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8611768992530515
Regret: 1941, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8659136454727637
Regret: 1960, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8619056294406996
Regret: 1969, Accuracy: 0.6412825651302605, Fuzzy Accuracy: 0.8608125341592275
Regret: 1938, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8642740025505556
Regret: 1930, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8628165421752596
Regret: 1979, Accuracy: 0.6394607396611405, Fuzzy Accuracy: 0.8595372563308435
