Regret: 1521, Accuracy: 0.6423809523809524, Fuzzy Accuracy: 0.8626190476190476
Regret: 1532, Accuracy: 0.6390476190476191, Fuzzy Accuracy: 0.8609523809523809
Regret: 1537, Accuracy: 0.6366666666666667, Fuzzy Accuracy: 0.8645238095238095
Regret: 1522, Accuracy: 0.6419047619047619, Fuzzy Accuracy: 0.8561904761904762
Regret: 1530, Accuracy: 0.6390476190476191, Fuzzy Accuracy: 0.8592857142857143
Regret: 1535, Accuracy: 0.6376190476190476, Fuzzy Accuracy: 0.861904761904762
Regret: 1539, Accuracy: 0.6390476190476191, Fuzzy Accuracy: 0.8542857142857143
Regret: 1496, Accuracy: 0.6483333333333333, Fuzzy Accuracy: 0.8676190476190476
Regret: 1479, Accuracy: 0.6507142857142857, Fuzzy Accuracy: 0.8595238095238096
Regret: 1481, Accuracy: 0.6504761904761904, Fuzzy Accuracy: 0.8657142857142858
Regret: 1517, Accuracy: 0.6404761904761904, Fuzzy Accuracy: 0.8664285714285714
Regret: 1504, Accuracy: 0.6440476190476191, Fuzzy Accuracy: 0.8628571428571429
Regret: 1575, Accuracy: 0.6295238095238095, Fuzzy Accuracy: 0.8485714285714285
Regret: 1571, Accuracy: 0.6290476190476191, Fuzzy Accuracy: 0.849047619047619
Regret: 1520, Accuracy: 0.6419047619047619, Fuzzy Accuracy: 0.8585714285714285
Regret: 1525, Accuracy: 0.6414285714285715, Fuzzy Accuracy: 0.8628571428571429
Regret: 1498, Accuracy: 0.6473809523809524, Fuzzy Accuracy: 0.865
Regret: 1502, Accuracy: 0.6452380952380953, Fuzzy Accuracy: 0.8623809523809524
Regret: 1532, Accuracy: 0.6404761904761904, Fuzzy Accuracy: 0.8592857142857143
Regret: 1519, Accuracy: 0.6397619047619048, Fuzzy Accuracy: 0.8590476190476191
Regret: 1500, Accuracy: 0.645952380952381, Fuzzy Accuracy: 0.8621428571428571
Regret: 1517, Accuracy: 0.6414285714285715, Fuzzy Accuracy: 0.8609523809523809
Regret: 1526, Accuracy: 0.64, Fuzzy Accuracy: 0.8595238095238096
Regret: 1516, Accuracy: 0.6426190476190476, Fuzzy Accuracy: 0.8633333333333333
Regret: 1555, Accuracy: 0.6316666666666667, Fuzzy Accuracy: 0.8526190476190476
Regret: 1489, Accuracy: 0.6488095238095238, Fuzzy Accuracy: 0.8664285714285714
Regret: 1514, Accuracy: 0.643095238095238, Fuzzy Accuracy: 0.8652380952380953
Regret: 1563, Accuracy: 0.6328571428571429, Fuzzy Accuracy: 0.8554761904761905
Regret: 1547, Accuracy: 0.6352380952380953, Fuzzy Accuracy: 0.8566666666666667
Regret: 1533, Accuracy: 0.6378571428571429, Fuzzy Accuracy: 0.8585714285714285
Regret: 1503, Accuracy: 0.6454761904761904, Fuzzy Accuracy: 0.8597619047619047
Regret: 1670, Accuracy: 0.6064285714285714, Fuzzy Accuracy: 0.8392857142857143
Regret: 1514, Accuracy: 0.6428571428571429, Fuzzy Accuracy: 0.8623809523809524
Regret: 1487, Accuracy: 0.6502380952380953, Fuzzy Accuracy: 0.861904761904762
Regret: 1485, Accuracy: 0.65, Fuzzy Accuracy: 0.8664285714285714
Regret: 1541, Accuracy: 0.6361904761904762, Fuzzy Accuracy: 0.8578571428571429
Regret: 1548, Accuracy: 0.6345238095238095, Fuzzy Accuracy: 0.8604761904761905
Regret: 1524, Accuracy: 0.6411904761904762, Fuzzy Accuracy: 0.8614285714285714
Regret: 1525, Accuracy: 0.6419047619047619, Fuzzy Accuracy: 0.8614285714285714
Regret: 1487, Accuracy: 0.6504761904761904, Fuzzy Accuracy: 0.8697619047619047
Regret: 1565, Accuracy: 0.6319047619047619, Fuzzy Accuracy: 0.8542857142857143
Regret: 1574, Accuracy: 0.628095238095238, Fuzzy Accuracy: 0.8519047619047619
Regret: 1635, Accuracy: 0.6188095238095238, Fuzzy Accuracy: 0.844047619047619
Regret: 1529, Accuracy: 0.6426190476190476, Fuzzy Accuracy: 0.856904761904762
Regret: 1509, Accuracy: 0.6452380952380953, Fuzzy Accuracy: 0.8604761904761905
Regret: 1572, Accuracy: 0.6288095238095238, Fuzzy Accuracy: 0.8538095238095238
Regret: 1543, Accuracy: 0.6359523809523809, Fuzzy Accuracy: 0.8628571428571429
Regret: 1526, Accuracy: 0.6397619047619048, Fuzzy Accuracy: 0.8602380952380952
Regret: 1520, Accuracy: 0.6411904761904762, Fuzzy Accuracy: 0.8659523809523809
Regret: 1520, Accuracy: 0.6428571428571429, Fuzzy Accuracy: 0.8638095238095238
