Regret: 1590, Accuracy: 0.6466666666666666, Fuzzy Accuracy: 0.8662222222222222
Regret: 1656, Accuracy: 0.632, Fuzzy Accuracy: 0.8553333333333333
Regret: 1604, Accuracy: 0.6435555555555555, Fuzzy Accuracy: 0.8635555555555555
Regret: 1627, Accuracy: 0.6384444444444445, Fuzzy Accuracy: 0.8604444444444445
Regret: 1594, Accuracy: 0.6457777777777778, Fuzzy Accuracy: 0.8613333333333333
Regret: 1656, Accuracy: 0.632, Fuzzy Accuracy: 0.8531111111111112
Regret: 1592, Accuracy: 0.6462222222222223, Fuzzy Accuracy: 0.8602222222222222
Regret: 1601, Accuracy: 0.6442222222222223, Fuzzy Accuracy: 0.8628888888888889
Regret: 1659, Accuracy: 0.6313333333333333, Fuzzy Accuracy: 0.854
Regret: 1637, Accuracy: 0.6362222222222222, Fuzzy Accuracy: 0.8564444444444445
Regret: 1596, Accuracy: 0.6453333333333333, Fuzzy Accuracy: 0.86
Regret: 1598, Accuracy: 0.6448888888888888, Fuzzy Accuracy: 0.8606666666666667
Regret: 1614, Accuracy: 0.6413333333333333, Fuzzy Accuracy: 0.8615555555555555
Regret: 1566, Accuracy: 0.652, Fuzzy Accuracy: 0.8671111111111112
Regret: 1759, Accuracy: 0.6091111111111112, Fuzzy Accuracy: 0.8426666666666667
Regret: 1625, Accuracy: 0.6388888888888888, Fuzzy Accuracy: 0.8588888888888889
Regret: 1617, Accuracy: 0.6406666666666667, Fuzzy Accuracy: 0.8575555555555555
Regret: 1578, Accuracy: 0.6493333333333333, Fuzzy Accuracy: 0.8662222222222222
Regret: 1599, Accuracy: 0.6446666666666667, Fuzzy Accuracy: 0.86
Regret: 1625, Accuracy: 0.6388888888888888, Fuzzy Accuracy: 0.8566666666666667
Regret: 1648, Accuracy: 0.6337777777777778, Fuzzy Accuracy: 0.8553333333333333
Regret: 1606, Accuracy: 0.6431111111111111, Fuzzy Accuracy: 0.864
Regret: 1639, Accuracy: 0.6357777777777778, Fuzzy Accuracy: 0.8604444444444445
Regret: 1621, Accuracy: 0.6397777777777778, Fuzzy Accuracy: 0.8597777777777778
Regret: 1640, Accuracy: 0.6355555555555555, Fuzzy Accuracy: 0.8593333333333333
Regret: 1642, Accuracy: 0.6351111111111111, Fuzzy Accuracy: 0.8595555555555555
Regret: 1630, Accuracy: 0.6377777777777778, Fuzzy Accuracy: 0.8611111111111112
Regret: 1550, Accuracy: 0.6555555555555556, Fuzzy Accuracy: 0.8684444444444445
Regret: 1602, Accuracy: 0.644, Fuzzy Accuracy: 0.8648888888888889
Regret: 1617, Accuracy: 0.6406666666666667, Fuzzy Accuracy: 0.8604444444444445
Regret: 1641, Accuracy: 0.6353333333333333, Fuzzy Accuracy: 0.8591111111111112
Regret: 1667, Accuracy: 0.6295555555555555, Fuzzy Accuracy: 0.8515555555555555
Regret: 1623, Accuracy: 0.6393333333333333, Fuzzy Accuracy: 0.8602222222222222
Regret: 1656, Accuracy: 0.632, Fuzzy Accuracy: 0.8535555555555555
Regret: 1618, Accuracy: 0.6404444444444445, Fuzzy Accuracy: 0.8624444444444445
Regret: 1631, Accuracy: 0.6375555555555555, Fuzzy Accuracy: 0.8617777777777778
Regret: 1633, Accuracy: 0.6371111111111111, Fuzzy Accuracy: 0.8606666666666667
Regret: 1603, Accuracy: 0.6437777777777778, Fuzzy Accuracy: 0.8573333333333333
Regret: 1615, Accuracy: 0.6411111111111111, Fuzzy Accuracy: 0.858
Regret: 1727, Accuracy: 0.6162222222222222, Fuzzy Accuracy: 0.8468888888888889
Regret: 1600, Accuracy: 0.6444444444444445, Fuzzy Accuracy: 0.8613333333333333
Regret: 1618, Accuracy: 0.6404444444444445, Fuzzy Accuracy: 0.8582222222222222
Regret: 1651, Accuracy: 0.6331111111111111, Fuzzy Accuracy: 0.8551111111111112
Regret: 1614, Accuracy: 0.6413333333333333, Fuzzy Accuracy: 0.8628888888888889
Regret: 1604, Accuracy: 0.6435555555555555, Fuzzy Accuracy: 0.8635555555555555
Regret: 1637, Accuracy: 0.6362222222222222, Fuzzy Accuracy: 0.8588888888888889
Regret: 1606, Accuracy: 0.6431111111111111, Fuzzy Accuracy: 0.8615555555555555
Regret: 1585, Accuracy: 0.6477777777777778, Fuzzy Accuracy: 0.864
Regret: 1592, Accuracy: 0.6462222222222223, Fuzzy Accuracy: 0.8602222222222222
Regret: 1641, Accuracy: 0.6353333333333333, Fuzzy Accuracy: 0.854
