Regret: 26, Accuracy: 0.51, Fuzzy Accuracy: 0.74
Regret: 30, Accuracy: 0.46, Fuzzy Accuracy: 0.7
Regret: 30, Accuracy: 0.5, Fuzzy Accuracy: 0.7
Regret: 29, Accuracy: 0.49, Fuzzy Accuracy: 0.71
Regret: 35, Accuracy: 0.49, Fuzzy Accuracy: 0.65
Regret: 21, Accuracy: 0.56, Fuzzy Accuracy: 0.79
Regret: 19, Accuracy: 0.6, Fuzzy Accuracy: 0.81
Regret: 27, Accuracy: 0.47, Fuzzy Accuracy: 0.73
Regret: 35, Accuracy: 0.45, Fuzzy Accuracy: 0.65
Regret: 24, Accuracy: 0.5, Fuzzy Accuracy: 0.76
Regret: 31, Accuracy: 0.53, Fuzzy Accuracy: 0.69
Regret: 37, Accuracy: 0.42, Fuzzy Accuracy: 0.63
Regret: 26, Accuracy: 0.62, Fuzzy Accuracy: 0.74
Regret: 29, Accuracy: 0.46, Fuzzy Accuracy: 0.71
Regret: 32, Accuracy: 0.5, Fuzzy Accuracy: 0.68
Regret: 27, Accuracy: 0.51, Fuzzy Accuracy: 0.73
Regret: 34, Accuracy: 0.42, Fuzzy Accuracy: 0.66
Regret: 22, Accuracy: 0.54, Fuzzy Accuracy: 0.78
Regret: 26, Accuracy: 0.54, Fuzzy Accuracy: 0.74
Regret: 23, Accuracy: 0.56, Fuzzy Accuracy: 0.77
Regret: 27, Accuracy: 0.44, Fuzzy Accuracy: 0.73
Regret: 28, Accuracy: 0.57, Fuzzy Accuracy: 0.72
Regret: 31, Accuracy: 0.52, Fuzzy Accuracy: 0.69
Regret: 28, Accuracy: 0.47, Fuzzy Accuracy: 0.72
Regret: 32, Accuracy: 0.42, Fuzzy Accuracy: 0.68
Regret: 24, Accuracy: 0.53, Fuzzy Accuracy: 0.76
Regret: 35, Accuracy: 0.48, Fuzzy Accuracy: 0.65
Regret: 28, Accuracy: 0.46, Fuzzy Accuracy: 0.72
Regret: 31, Accuracy: 0.45, Fuzzy Accuracy: 0.69
Regret: 32, Accuracy: 0.46, Fuzzy Accuracy: 0.68
Regret: 32, Accuracy: 0.46, Fuzzy Accuracy: 0.68
Regret: 29, Accuracy: 0.54, Fuzzy Accuracy: 0.71
Regret: 38, Accuracy: 0.49, Fuzzy Accuracy: 0.62
Regret: 32, Accuracy: 0.5, Fuzzy Accuracy: 0.68
Regret: 27, Accuracy: 0.42, Fuzzy Accuracy: 0.73
Regret: 29, Accuracy: 0.42, Fuzzy Accuracy: 0.71
Regret: 24, Accuracy: 0.47, Fuzzy Accuracy: 0.76
Regret: 30, Accuracy: 0.45, Fuzzy Accuracy: 0.7
Regret: 36, Accuracy: 0.48, Fuzzy Accuracy: 0.64
Regret: 33, Accuracy: 0.45, Fuzzy Accuracy: 0.67
Regret: 30, Accuracy: 0.47, Fuzzy Accuracy: 0.7
Regret: 30, Accuracy: 0.47, Fuzzy Accuracy: 0.7
Regret: 32, Accuracy: 0.52, Fuzzy Accuracy: 0.68
Regret: 30, Accuracy: 0.46, Fuzzy Accuracy: 0.7
Regret: 25, Accuracy: 0.52, Fuzzy Accuracy: 0.75
Regret: 30, Accuracy: 0.44, Fuzzy Accuracy: 0.7
Regret: 21, Accuracy: 0.56, Fuzzy Accuracy: 0.79
Regret: 25, Accuracy: 0.48, Fuzzy Accuracy: 0.75
Regret: 24, Accuracy: 0.43, Fuzzy Accuracy: 0.76
Regret: 24, Accuracy: 0.53, Fuzzy Accuracy: 0.76
