Regret: 909.6562500000083, Accuracy: 0.6438095238095238, Fuzzy Accuracy: 0.8630952380952381
Regret: 872.675000000008, Accuracy: 0.655, Fuzzy Accuracy: 0.871904761904762
Regret: 928.1750000000088, Accuracy: 0.6392857142857142, Fuzzy Accuracy: 0.8576190476190476
Regret: 892.5750000000083, Accuracy: 0.6523809523809524, Fuzzy Accuracy: 0.8638095238095238
Regret: 899.487500000008, Accuracy: 0.6452380952380953, Fuzzy Accuracy: 0.8671428571428571
Regret: 847.6062500000072, Accuracy: 0.6635714285714286, Fuzzy Accuracy: 0.8769047619047619
Regret: 909.2062500000083, Accuracy: 0.6435714285714286, Fuzzy Accuracy: 0.8635714285714285
Regret: 907.9687500000088, Accuracy: 0.6471428571428571, Fuzzy Accuracy: 0.8607142857142858
Regret: 897.2375000000077, Accuracy: 0.6440476190476191, Fuzzy Accuracy: 0.8695238095238095
Regret: 901.7125000000082, Accuracy: 0.6454761904761904, Fuzzy Accuracy: 0.8657142857142858
Regret: 924.6250000000088, Accuracy: 0.6392857142857142, Fuzzy Accuracy: 0.8595238095238096
Regret: 910.0562500000082, Accuracy: 0.6421428571428571, Fuzzy Accuracy: 0.8645238095238095
Regret: 888.1562500000082, Accuracy: 0.6530952380952381, Fuzzy Accuracy: 0.8654761904761905
Regret: 907.9812500000085, Accuracy: 0.6476190476190476, Fuzzy Accuracy: 0.8602380952380952
Regret: 901.2437500000079, Accuracy: 0.6445238095238095, Fuzzy Accuracy: 0.866904761904762
Regret: 916.2500000000085, Accuracy: 0.6414285714285715, Fuzzy Accuracy: 0.861904761904762
Regret: 903.0875000000082, Accuracy: 0.6471428571428571, Fuzzy Accuracy: 0.8633333333333333
Regret: 905.2562500000083, Accuracy: 0.6452380952380953, Fuzzy Accuracy: 0.8640476190476191
Regret: 867.8062500000077, Accuracy: 0.6554761904761904, Fuzzy Accuracy: 0.8740476190476191
Regret: 897.3875000000083, Accuracy: 0.6497619047619048, Fuzzy Accuracy: 0.8638095238095238
Regret: 912.3062500000083, Accuracy: 0.6433333333333333, Fuzzy Accuracy: 0.8621428571428571
Regret: 899.1375000000082, Accuracy: 0.6488095238095238, Fuzzy Accuracy: 0.8638095238095238
Regret: 913.1312500000083, Accuracy: 0.6409523809523809, Fuzzy Accuracy: 0.8640476190476191
Regret: 887.256250000008, Accuracy: 0.6526190476190477, Fuzzy Accuracy: 0.8664285714285714
Regret: 903.9812500000085, Accuracy: 0.6473809523809524, Fuzzy Accuracy: 0.8626190476190476
Regret: 886.2625000000081, Accuracy: 0.6485714285714286, Fuzzy Accuracy: 0.8709523809523809
Regret: 915.8750000000085, Accuracy: 0.6440476190476191, Fuzzy Accuracy: 0.8595238095238096
Regret: 890.2812500000077, Accuracy: 0.6495238095238095, Fuzzy Accuracy: 0.8678571428571429
Regret: 907.5250000000085, Accuracy: 0.6471428571428571, Fuzzy Accuracy: 0.8609523809523809
Regret: 911.8312500000083, Accuracy: 0.6421428571428571, Fuzzy Accuracy: 0.8635714285714285
Regret: 907.8375000000083, Accuracy: 0.6421428571428571, Fuzzy Accuracy: 0.8657142857142858
Regret: 910.1125000000084, Accuracy: 0.6442857142857142, Fuzzy Accuracy: 0.8623809523809524
Regret: 873.9937500000078, Accuracy: 0.6545238095238095, Fuzzy Accuracy: 0.8716666666666667
Regret: 908.4000000000083, Accuracy: 0.6466666666666666, Fuzzy Accuracy: 0.8609523809523809
Regret: 912.3250000000085, Accuracy: 0.6440476190476191, Fuzzy Accuracy: 0.8614285714285714
Regret: 902.2062500000081, Accuracy: 0.6473809523809524, Fuzzy Accuracy: 0.8635714285714285
Regret: 887.9750000000076, Accuracy: 0.6461904761904762, Fuzzy Accuracy: 0.8723809523809524
Regret: 917.1000000000084, Accuracy: 0.64, Fuzzy Accuracy: 0.8628571428571429
Regret: 882.4250000000076, Accuracy: 0.6545238095238095, Fuzzy Accuracy: 0.8671428571428571
Regret: 898.6562500000083, Accuracy: 0.6473809523809524, Fuzzy Accuracy: 0.8654761904761905
Regret: 904.8625000000084, Accuracy: 0.6471428571428571, Fuzzy Accuracy: 0.8623809523809524
Regret: 874.3562500000075, Accuracy: 0.6514285714285715, Fuzzy Accuracy: 0.8745238095238095
Regret: 903.4625000000082, Accuracy: 0.6445238095238095, Fuzzy Accuracy: 0.8657142857142858
Regret: 884.1687500000079, Accuracy: 0.6533333333333333, Fuzzy Accuracy: 0.8673809523809524
Regret: 903.906250000008, Accuracy: 0.6445238095238095, Fuzzy Accuracy: 0.8654761904761905
Regret: 914.5312500000084, Accuracy: 0.6435714285714286, Fuzzy Accuracy: 0.8607142857142858
Regret: 863.3687500000073, Accuracy: 0.6554761904761904, Fuzzy Accuracy: 0.8764285714285714
Regret: 884.5187500000079, Accuracy: 0.6497619047619048, Fuzzy Accuracy: 0.8707142857142857
Regret: 899.6625000000084, Accuracy: 0.6519047619047619, Fuzzy Accuracy: 0.8604761904761905
Regret: 869.2187500000077, Accuracy: 0.6585714285714286, Fuzzy Accuracy: 0.8702380952380953
