Regret: 378.40231358455486, Accuracy: 0.5636, Fuzzy Accuracy: 0.7872
Regret: 396.44740201209777, Accuracy: 0.5472, Fuzzy Accuracy: 0.7872
Regret: 355.50489695805885, Accuracy: 0.616, Fuzzy Accuracy: 0.8344
Regret: 387.23585251116754, Accuracy: 0.5316, Fuzzy Accuracy: 0.7756
Regret: 467.8643204633453, Accuracy: 0.5816, Fuzzy Accuracy: 0.808
Regret: 409.9142492278293, Accuracy: 0.5788, Fuzzy Accuracy: 0.8032
Regret: 326.1923593767536, Accuracy: 0.5548, Fuzzy Accuracy: 0.78
Regret: 348.0691469511457, Accuracy: 0.6016, Fuzzy Accuracy: 0.8204
Regret: 331.5724766418632, Accuracy: 0.6036, Fuzzy Accuracy: 0.8204
Regret: 388.4768698555967, Accuracy: 0.5724, Fuzzy Accuracy: 0.7996
Regret: 355.0342627405442, Accuracy: 0.6032, Fuzzy Accuracy: 0.8232
Regret: 420.6736956197847, Accuracy: 0.5596, Fuzzy Accuracy: 0.7772
Regret: 365.9792687206132, Accuracy: 0.5936, Fuzzy Accuracy: 0.8168
Regret: 442.76529884677007, Accuracy: 0.5396, Fuzzy Accuracy: 0.772
Regret: 339.0952241978758, Accuracy: 0.5544, Fuzzy Accuracy: 0.7784
Regret: 362.70046582469183, Accuracy: 0.6016, Fuzzy Accuracy: 0.8116
Regret: 424.7057425125759, Accuracy: 0.5492, Fuzzy Accuracy: 0.7772
Regret: 308.80748062548804, Accuracy: 0.596, Fuzzy Accuracy: 0.8188
Regret: 390.50012691814857, Accuracy: 0.6132, Fuzzy Accuracy: 0.8284
Regret: 315.42722408248324, Accuracy: 0.584, Fuzzy Accuracy: 0.8092
Regret: 391.41876433202987, Accuracy: 0.6044, Fuzzy Accuracy: 0.8244
Regret: 347.01248842375975, Accuracy: 0.6012, Fuzzy Accuracy: 0.824
Regret: 366.20880062822437, Accuracy: 0.5992, Fuzzy Accuracy: 0.8216
Regret: 398.28593021587915, Accuracy: 0.5996, Fuzzy Accuracy: 0.8176
Regret: 378.6983083863406, Accuracy: 0.5908, Fuzzy Accuracy: 0.812
Regret: 351.3706756504281, Accuracy: 0.556, Fuzzy Accuracy: 0.7916
Regret: 415.5928715552389, Accuracy: 0.5284, Fuzzy Accuracy: 0.7584
Regret: 330.62440478258696, Accuracy: 0.596, Fuzzy Accuracy: 0.8216
Regret: 368.955198888252, Accuracy: 0.5888, Fuzzy Accuracy: 0.8056
Regret: 500.4440701999559, Accuracy: 0.5928, Fuzzy Accuracy: 0.8164
Regret: 348.9885823679957, Accuracy: 0.5732, Fuzzy Accuracy: 0.7932
Regret: 440.09213332435604, Accuracy: 0.5876, Fuzzy Accuracy: 0.806
Regret: 321.54938175316045, Accuracy: 0.5804, Fuzzy Accuracy: 0.8116
Regret: 379.11331999300273, Accuracy: 0.614, Fuzzy Accuracy: 0.8264
Regret: 372.15677899654156, Accuracy: 0.5772, Fuzzy Accuracy: 0.8016
Regret: 402.85857119585523, Accuracy: 0.5888, Fuzzy Accuracy: 0.8036
Regret: 414.21681482737864, Accuracy: 0.5372, Fuzzy Accuracy: 0.784
Regret: 411.4890653481084, Accuracy: 0.5644, Fuzzy Accuracy: 0.7936
Regret: 385.54835449611767, Accuracy: 0.6096, Fuzzy Accuracy: 0.8228
Regret: 363.75458744127087, Accuracy: 0.5816, Fuzzy Accuracy: 0.8072
Regret: 356.02071402011575, Accuracy: 0.5992, Fuzzy Accuracy: 0.8224
Regret: 446.07184439417347, Accuracy: 0.5888, Fuzzy Accuracy: 0.8108
Regret: 364.5407561388562, Accuracy: 0.5792, Fuzzy Accuracy: 0.8084
Regret: 401.99083453295043, Accuracy: 0.5728, Fuzzy Accuracy: 0.8012
Regret: 383.0258060175716, Accuracy: 0.5756, Fuzzy Accuracy: 0.8044
Regret: 404.2629550396606, Accuracy: 0.6112, Fuzzy Accuracy: 0.8272
Regret: 372.8390190429729, Accuracy: 0.5504, Fuzzy Accuracy: 0.788
Regret: 431.34896104485705, Accuracy: 0.568, Fuzzy Accuracy: 0.7972
Regret: 431.7730928351893, Accuracy: 0.5408, Fuzzy Accuracy: 0.7772
Regret: 333.51095579819105, Accuracy: 0.586, Fuzzy Accuracy: 0.8144
