Regret: 7990.768571428559, Accuracy: 0.5407843137254902, Fuzzy Accuracy: 0.7805882352941177
Regret: 7769.445714285706, Accuracy: 0.4796078431372549, Fuzzy Accuracy: 0.7333333333333333
Regret: 7727.108571428569, Accuracy: 0.5194117647058824, Fuzzy Accuracy: 0.766078431372549
Regret: 7832.452857142844, Accuracy: 0.5317647058823529, Fuzzy Accuracy: 0.7813725490196078
Regret: 8038.452857142861, Accuracy: 0.4413725490196078, Fuzzy Accuracy: 0.6986274509803921
Regret: 7928.317142857135, Accuracy: 0.4943137254901961, Fuzzy Accuracy: 0.7498039215686274
Regret: 7932.044285714268, Accuracy: 0.5672549019607843, Fuzzy Accuracy: 0.8045098039215687
Regret: 8016.144285714269, Accuracy: 0.3680392156862745, Fuzzy Accuracy: 0.6419607843137255
Regret: 7848.324285714266, Accuracy: 0.5201960784313725, Fuzzy Accuracy: 0.7727450980392156
Regret: 7853.447142857132, Accuracy: 0.5529411764705883, Fuzzy Accuracy: 0.8011764705882353
Regret: 7875.582857142864, Accuracy: 0.5276470588235294, Fuzzy Accuracy: 0.78
Regret: 7855.60142857142, Accuracy: 0.5176470588235295, Fuzzy Accuracy: 0.7709803921568628
Regret: 7815.350000000009, Accuracy: 0.46098039215686276, Fuzzy Accuracy: 0.717843137254902
Regret: 7983.821428571422, Accuracy: 0.5050980392156863, Fuzzy Accuracy: 0.7527450980392156
Regret: 7865.925714285702, Accuracy: 0.5443137254901961, Fuzzy Accuracy: 0.7905882352941176
Regret: 8138.621428571417, Accuracy: 0.4752941176470588, Fuzzy Accuracy: 0.7331372549019608
Regret: 7976.054285714262, Accuracy: 0.40431372549019606, Fuzzy Accuracy: 0.6662745098039216
Regret: 7881.635714285703, Accuracy: 0.5117647058823529, Fuzzy Accuracy: 0.7633333333333333
Regret: 8089.017142857139, Accuracy: 0.4541176470588235, Fuzzy Accuracy: 0.7156862745098039
Regret: 7807.927142857127, Accuracy: 0.476078431372549, Fuzzy Accuracy: 0.7219607843137255
Regret: 8130.519999999997, Accuracy: 0.5392156862745098, Fuzzy Accuracy: 0.7849019607843137
Regret: 7953.909999999985, Accuracy: 0.4345098039215686, Fuzzy Accuracy: 0.6950980392156862
Regret: 7732.425714285698, Accuracy: 0.4937254901960784, Fuzzy Accuracy: 0.7445098039215686
Regret: 7906.578571428565, Accuracy: 0.5441176470588235, Fuzzy Accuracy: 0.7933333333333333
Regret: 7860.624285714293, Accuracy: 0.4549019607843137, Fuzzy Accuracy: 0.7198039215686275
Regret: 7846.679999999987, Accuracy: 0.5564705882352942, Fuzzy Accuracy: 0.7992156862745098
Regret: 7725.527142857122, Accuracy: 0.5384313725490196, Fuzzy Accuracy: 0.7837254901960784
Regret: 7861.149999999983, Accuracy: 0.5358823529411765, Fuzzy Accuracy: 0.7768627450980392
Regret: 7958.055714285707, Accuracy: 0.5664705882352942, Fuzzy Accuracy: 0.808235294117647
Regret: 7925.3485714285725, Accuracy: 0.43176470588235294, Fuzzy Accuracy: 0.6947058823529412
Regret: 7977.255714285706, Accuracy: 0.5770588235294117, Fuzzy Accuracy: 0.8080392156862745
Regret: 7989.305714285714, Accuracy: 0.4788235294117647, Fuzzy Accuracy: 0.7282352941176471
Regret: 7927.655714285709, Accuracy: 0.5392156862745098, Fuzzy Accuracy: 0.7794117647058824
Regret: 7924.389999999982, Accuracy: 0.5366666666666666, Fuzzy Accuracy: 0.7737254901960784
Regret: 7759.409999999992, Accuracy: 0.5013725490196078, Fuzzy Accuracy: 0.7545098039215686
Regret: 7926.368571428565, Accuracy: 0.42823529411764705, Fuzzy Accuracy: 0.6850980392156862
Regret: 8080.512857142831, Accuracy: 0.4719607843137255, Fuzzy Accuracy: 0.7250980392156863
Regret: 8125.955714285708, Accuracy: 0.3892156862745098, Fuzzy Accuracy: 0.6517647058823529
Regret: 7951.180000000007, Accuracy: 0.5017647058823529, Fuzzy Accuracy: 0.7384313725490196
Regret: 7951.36285714284, Accuracy: 0.5541176470588235, Fuzzy Accuracy: 0.7964705882352942
Regret: 7984.3414285714125, Accuracy: 0.4256862745098039, Fuzzy Accuracy: 0.6907843137254902
Regret: 7765.734285714283, Accuracy: 0.532156862745098, Fuzzy Accuracy: 0.7762745098039215
Regret: 7903.554285714275, Accuracy: 0.48470588235294115, Fuzzy Accuracy: 0.7368627450980392
Regret: 8062.397142857138, Accuracy: 0.456078431372549, Fuzzy Accuracy: 0.71
Regret: 7952.667142857127, Accuracy: 0.557843137254902, Fuzzy Accuracy: 0.7947058823529412
Regret: 7856.651428571416, Accuracy: 0.48, Fuzzy Accuracy: 0.7298039215686275
Regret: 8087.434285714297, Accuracy: 0.49941176470588233, Fuzzy Accuracy: 0.7496078431372549
Regret: 7862.692857142841, Accuracy: 0.4364705882352941, Fuzzy Accuracy: 0.7011764705882353
Regret: 8096.619999999991, Accuracy: 0.4880392156862745, Fuzzy Accuracy: 0.7374509803921568
Regret: 7836.247142857129, Accuracy: 0.5196078431372549, Fuzzy Accuracy: 0.7725490196078432
