Regret: 722, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8684642011295318
Regret: 745, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8642740025505556
Regret: 729, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8671889233011477
Regret: 729, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8671889233011477
Regret: 693, Accuracy: 0.6556749863363089, Fuzzy Accuracy: 0.87374749498998
Regret: 710, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8706503916924758
Regret: 731, Accuracy: 0.6411003825833486, Fuzzy Accuracy: 0.8668245582073237
Regret: 739, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8653670978320277
Regret: 757, Accuracy: 0.6372745490981964, Fuzzy Accuracy: 0.8620878119876116
Regret: 754, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8626343596283476
Regret: 765, Accuracy: 0.6398251047549645, Fuzzy Accuracy: 0.8606303516123155
Regret: 766, Accuracy: 0.6392785571142284, Fuzzy Accuracy: 0.8604481690654036
Regret: 720, Accuracy: 0.6547640736017489, Fuzzy Accuracy: 0.8688285662233558
Regret: 743, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8646383676443796
Regret: 712, Accuracy: 0.6496629622882127, Fuzzy Accuracy: 0.8702860265986518
Regret: 710, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8706503916924758
Regret: 724, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8680998360357077
Regret: 717, Accuracy: 0.6460193113499727, Fuzzy Accuracy: 0.8693751138640918
Regret: 733, Accuracy: 0.6401894698487884, Fuzzy Accuracy: 0.8664601931134998
Regret: 682, Accuracy: 0.6547640736017489, Fuzzy Accuracy: 0.875751503006012
Regret: 737, Accuracy: 0.6429222080524686, Fuzzy Accuracy: 0.8657314629258517
Regret: 715, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8697394789579158
Regret: 748, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8637274549098196
Regret: 688, Accuracy: 0.656950264164693, Fuzzy Accuracy: 0.87465840772454
Regret: 738, Accuracy: 0.6438331207870286, Fuzzy Accuracy: 0.8655492803789397
Regret: 701, Accuracy: 0.656221533977045, Fuzzy Accuracy: 0.8722900346146839
Regret: 747, Accuracy: 0.6387320094734924, Fuzzy Accuracy: 0.8639096374567317
Regret: 705, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8715613044270359
Regret: 716, Accuracy: 0.6485698670067408, Fuzzy Accuracy: 0.8695572964110039
Regret: 737, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8657314629258517
Regret: 744, Accuracy: 0.6414647476771725, Fuzzy Accuracy: 0.8644561850974677
Regret: 720, Accuracy: 0.6525778830388049, Fuzzy Accuracy: 0.8688285662233558
Regret: 706, Accuracy: 0.6565858990708691, Fuzzy Accuracy: 0.8713791218801239
Regret: 708, Accuracy: 0.654946256148661, Fuzzy Accuracy: 0.8710147567862999
Regret: 711, Accuracy: 0.6529422481326289, Fuzzy Accuracy: 0.8704682091455639
Regret: 738, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8655492803789397
Regret: 738, Accuracy: 0.6449262160685006, Fuzzy Accuracy: 0.8655492803789397
Regret: 765, Accuracy: 0.6343596283476043, Fuzzy Accuracy: 0.8606303516123155
Regret: 724, Accuracy: 0.6447440335215886, Fuzzy Accuracy: 0.8680998360357077
Regret: 698, Accuracy: 0.6507560575696848, Fuzzy Accuracy: 0.8728365822554199
Regret: 736, Accuracy: 0.6407360174895245, Fuzzy Accuracy: 0.8659136454727637
Regret: 757, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8620878119876116
Regret: 731, Accuracy: 0.6456549462561486, Fuzzy Accuracy: 0.8668245582073237
Regret: 736, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8659136454727637
Regret: 746, Accuracy: 0.6412825651302605, Fuzzy Accuracy: 0.8640918200036436
Regret: 715, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8697394789579158
Regret: 699, Accuracy: 0.656403716523957, Fuzzy Accuracy: 0.8726543997085079
Regret: 742, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8648205501912917
Regret: 733, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8664601931134998
Regret: 754, Accuracy: 0.6329021679723082, Fuzzy Accuracy: 0.8626343596283476
