Regret: 1175.8187500000015, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8650027327382037
Regret: 1124.6937500000051, Accuracy: 0.6574968118054291, Fuzzy Accuracy: 0.8759336855529241
Regret: 1184.6000000000015, Accuracy: 0.6445618509746767, Fuzzy Accuracy: 0.8640918200036436
Regret: 1155.1812500000028, Accuracy: 0.6536709783202769, Fuzzy Accuracy: 0.8671889233011477
Regret: 1170.493750000001, Accuracy: 0.6472945891783567, Fuzzy Accuracy: 0.8671889233011477
Regret: 1110.2312500000048, Accuracy: 0.6627801056658772, Fuzzy Accuracy: 0.876662415740572
Regret: 1174.437500000001, Accuracy: 0.6458371288030607, Fuzzy Accuracy: 0.8670067407542358
Regret: 1163.1125000000034, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8655492803789397
Regret: 1161.2375000000013, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8691929313171798
Regret: 1161.7500000000018, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8670067407542358
Regret: 1193.8562500000007, Accuracy: 0.6427400255055565, Fuzzy Accuracy: 0.8620878119876116
Regret: 1170.9312500000015, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8671889233011477
Regret: 1145.006250000003, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.8704682091455639
Regret: 1168.7500000000027, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8670067407542358
Regret: 1162.9750000000017, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8695572964110039
Regret: 1158.1562500000032, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8697394789579158
Regret: 1171.000000000001, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8651849152851157
Regret: 1170.512500000002, Accuracy: 0.6478411368190927, Fuzzy Accuracy: 0.8666423756604117
Regret: 1116.8000000000052, Accuracy: 0.6602295500091091, Fuzzy Accuracy: 0.8764802331936601
Regret: 1152.9062500000036, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8697394789579158
Regret: 1161.7062500000027, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8682820185826198
Regret: 1149.406250000003, Accuracy: 0.6534887957733649, Fuzzy Accuracy: 0.8697394789579158
Regret: 1182.3375000000015, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8662780105665877
Regret: 1153.3812500000029, Accuracy: 0.6529422481326289, Fuzzy Accuracy: 0.8686463836764438
Regret: 1160.0187500000025, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8664601931134998
Regret: 1151.5375000000024, Accuracy: 0.6509382401165968, Fuzzy Accuracy: 0.8713791218801239
Regret: 1181.1062500000019, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8639096374567317
Regret: 1166.118750000002, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8671889233011477
Regret: 1170.125000000003, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8651849152851157
Regret: 1153.2812500000032, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8715613044270359
Regret: 1162.131250000002, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8686463836764438
Regret: 1178.4125000000017, Accuracy: 0.6452905811623246, Fuzzy Accuracy: 0.8659136454727637
Regret: 1135.3000000000036, Accuracy: 0.656221533977045, Fuzzy Accuracy: 0.8728365822554199
Regret: 1176.306250000002, Accuracy: 0.6485698670067408, Fuzzy Accuracy: 0.8635452723629077
Regret: 1173.1625000000017, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8659136454727637
Regret: 1155.5312500000032, Accuracy: 0.6509382401165968, Fuzzy Accuracy: 0.8697394789579158
Regret: 1144.9500000000028, Accuracy: 0.6529422481326289, Fuzzy Accuracy: 0.8721078520677719
Regret: 1178.0125000000005, Accuracy: 0.6465658589907087, Fuzzy Accuracy: 0.8648205501912917
Regret: 1137.5187500000038, Accuracy: 0.656221533977045, Fuzzy Accuracy: 0.8719256695208599
Regret: 1170.1000000000013, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8659136454727637
Regret: 1156.9000000000028, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8680998360357077
Regret: 1131.3687500000035, Accuracy: 0.6580433594461651, Fuzzy Accuracy: 0.8726543997085079
Regret: 1156.8750000000027, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8688285662233558
Regret: 1148.0625000000032, Accuracy: 0.6531244306795408, Fuzzy Accuracy: 0.8706503916924758
Regret: 1165.6187500000015, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8690107487702678
Regret: 1166.5687500000026, Accuracy: 0.6492985971943888, Fuzzy Accuracy: 0.8668245582073237
Regret: 1131.7375000000047, Accuracy: 0.655857168883221, Fuzzy Accuracy: 0.87465840772454
Regret: 1150.6812500000033, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8708325742393879
Regret: 1175.9187500000012, Accuracy: 0.6502095099289488, Fuzzy Accuracy: 0.8620878119876116
Regret: 1149.8875000000035, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.8684642011295318
