Regret: 700.210591181762, Accuracy: 0.5705957369284023, Fuzzy Accuracy: 0.7979595554745855
Regret: 715.3957366423708, Accuracy: 0.5722353798506103, Fuzzy Accuracy: 0.8016032064128257
Regret: 675.933321228812, Accuracy: 0.6066678812169795, Fuzzy Accuracy: 0.8278374931681545
Regret: 709.947602501784, Accuracy: 0.5443614501730735, Fuzzy Accuracy: 0.7826562215339771
Regret: 885.2408822040984, Accuracy: 0.5946438331207871, Fuzzy Accuracy: 0.81472034979049
Regret: 828.8811753650775, Accuracy: 0.5647658954272181, Fuzzy Accuracy: 0.7919475314264893
Regret: 651.3439601660352, Accuracy: 0.5478229185644016, Fuzzy Accuracy: 0.7832027691747131
Regret: 725.6072943179361, Accuracy: 0.5922754600109309, Fuzzy Accuracy: 0.8103479686646019
Regret: 644.3128707818946, Accuracy: 0.6086718892330115, Fuzzy Accuracy: 0.8302058662780105
Regret: 747.883784170862, Accuracy: 0.6004736746219712, Fuzzy Accuracy: 0.8229185644015303
Regret: 671.6966794641671, Accuracy: 0.6010202222627072, Fuzzy Accuracy: 0.8251047549644744
Regret: 846.2444793678811, Accuracy: 0.5552924029877938, Fuzzy Accuracy: 0.7742758243760248
Regret: 690.7935025392934, Accuracy: 0.5756968482419385, Fuzzy Accuracy: 0.8068865002732738
Regret: 823.41781195503, Accuracy: 0.5405356166879213, Fuzzy Accuracy: 0.7799234833302969
Regret: 665.9341183721473, Accuracy: 0.5429039897977773, Fuzzy Accuracy: 0.7777372927673529
Regret: 729.8451293490986, Accuracy: 0.6012024048096193, Fuzzy Accuracy: 0.8234651120422664
Regret: 792.6245079039021, Accuracy: 0.5194024412461287, Fuzzy Accuracy: 0.7658954272180725
Regret: 611.4465575230272, Accuracy: 0.5789761340863545, Fuzzy Accuracy: 0.810530151211514
Regret: 787.8311901994261, Accuracy: 0.5647658954272181, Fuzzy Accuracy: 0.7988704682091455
Regret: 663.5426229728616, Accuracy: 0.5709601020222262, Fuzzy Accuracy: 0.8019675715066497
Regret: 701.5337755099597, Accuracy: 0.6010202222627072, Fuzzy Accuracy: 0.8323920568409546
Regret: 674.3961629205895, Accuracy: 0.5991983967935872, Fuzzy Accuracy: 0.8289305884496265
Regret: 720.015649013603, Accuracy: 0.5882674439788669, Fuzzy Accuracy: 0.8172709054472581
Regret: 724.115603861959, Accuracy: 0.5999271269812352, Fuzzy Accuracy: 0.8207323738385862
Regret: 716.783848090249, Accuracy: 0.5753324831481144, Fuzzy Accuracy: 0.8088905082893059
Regret: 685.1969603377909, Accuracy: 0.5534705775186737, Fuzzy Accuracy: 0.7923118965203133
Regret: 757.0644820908012, Accuracy: 0.5410821643286573, Fuzzy Accuracy: 0.7737292767352888
Regret: 662.2641150064653, Accuracy: 0.5886318090726909, Fuzzy Accuracy: 0.8149025323374021
Regret: 690.2720821898524, Accuracy: 0.5991983967935872, Fuzzy Accuracy: 0.8200036436509383
Regret: 840.1765542988618, Accuracy: 0.6135908179996357, Fuzzy Accuracy: 0.8394971761705229
Regret: 678.5100090085571, Accuracy: 0.530151211513937, Fuzzy Accuracy: 0.7702678083439607
Regret: 789.9256309317599, Accuracy: 0.5684095463654582, Fuzzy Accuracy: 0.7986882856622336
Regret: 631.9817732157481, Accuracy: 0.5880852614319548, Fuzzy Accuracy: 0.8218254691200583
Regret: 708.0156441305146, Accuracy: 0.6063035161231554, Fuzzy Accuracy: 0.8254691200582984
Regret: 736.1174127397586, Accuracy: 0.563490617598834, Fuzzy Accuracy: 0.7914009837857533
Regret: 762.8456858583119, Accuracy: 0.594097285480051, Fuzzy Accuracy: 0.8176352705410822
Regret: 785.3017737958395, Accuracy: 0.5399890690471852, Fuzzy Accuracy: 0.7773729276735288
Regret: 835.1136071460901, Accuracy: 0.5527418473310257, Fuzzy Accuracy: 0.784295864456185
Regret: 733.7757509551758, Accuracy: 0.6134086354527236, Fuzzy Accuracy: 0.8316633266533067
Regret: 671.6763850137581, Accuracy: 0.5800692293678266, Fuzzy Accuracy: 0.8081617781016579
Regret: 649.5213146875976, Accuracy: 0.6112224448897795, Fuzzy Accuracy: 0.8342138823100747
Regret: 811.3859366590361, Accuracy: 0.5665877208963381, Fuzzy Accuracy: 0.7974130078338495
Regret: 690.0349489059415, Accuracy: 0.5928220076516669, Fuzzy Accuracy: 0.8218254691200583
Regret: 736.8352995137262, Accuracy: 0.5999271269812352, Fuzzy Accuracy: 0.8245582073237384
Regret: 744.0245679242397, Accuracy: 0.5603935143013299, Fuzzy Accuracy: 0.8025141191473857
Regret: 729.7485087520523, Accuracy: 0.6256148660958281, Fuzzy Accuracy: 0.8464201129531791
Regret: 672.7678894131944, Accuracy: 0.563854982692658, Fuzzy Accuracy: 0.7990526507560576
Regret: 791.0255837134314, Accuracy: 0.5645837128803061, Fuzzy Accuracy: 0.7999635634906176
Regret: 808.6718690726977, Accuracy: 0.5831663326653307, Fuzzy Accuracy: 0.813445071962106
Regret: 625.9766177348769, Accuracy: 0.6013845873565312, Fuzzy Accuracy: 0.8265622153397705
