Regret: 8597.631428571436, Accuracy: 0.5439970850792494, Fuzzy Accuracy: 0.782838404080889
Regret: 8386.131428571427, Accuracy: 0.47932228092548734, Fuzzy Accuracy: 0.7334669338677354
Regret: 8349.054285714294, Accuracy: 0.5175806157770085, Fuzzy Accuracy: 0.7653488795773364
Regret: 8351.122857142847, Accuracy: 0.533977044999089, Fuzzy Accuracy: 0.7841136819092731
Regret: 8590.780000000004, Accuracy: 0.44288577154308617, Fuzzy Accuracy: 0.7035889961741665
Regret: 8523.899999999987, Accuracy: 0.49735835306977594, Fuzzy Accuracy: 0.7516851885589361
Regret: 8537.085714285695, Accuracy: 0.5696848241938423, Fuzzy Accuracy: 0.8056112224448898
Regret: 8582.11428571426, Accuracy: 0.37074148296593185, Fuzzy Accuracy: 0.6445618509746767
Regret: 8434.822857142834, Accuracy: 0.5214064492621607, Fuzzy Accuracy: 0.7750045545636728
Regret: 8427.68857142857, Accuracy: 0.5551102204408818, Fuzzy Accuracy: 0.8021497540535617
Regret: 8484.780000000006, Accuracy: 0.529786846420113, Fuzzy Accuracy: 0.7799234833302969
Regret: 8462.117142857136, Accuracy: 0.5194024412461287, Fuzzy Accuracy: 0.7704499908908726
Regret: 8438.9942857143, Accuracy: 0.46019311349972675, Fuzzy Accuracy: 0.7203497904900711
Regret: 8582.071428571426, Accuracy: 0.5046456549462561, Fuzzy Accuracy: 0.7525961012934961
Regret: 8425.988571428557, Accuracy: 0.5461832756421935, Fuzzy Accuracy: 0.7926762616141374
Regret: 8736.93714285713, Accuracy: 0.47986882856622337, Fuzzy Accuracy: 0.7356531244306795
Regret: 8589.805714285694, Accuracy: 0.4038987065039169, Fuzzy Accuracy: 0.6666059391510293
Regret: 8443.008571428556, Accuracy: 0.5143013299325925, Fuzzy Accuracy: 0.7648023319366005
Regret: 8664.065714285718, Accuracy: 0.4532701767170705, Fuzzy Accuracy: 0.7141555838950628
Regret: 8396.719999999983, Accuracy: 0.4782291856440153, Fuzzy Accuracy: 0.7229003461468392
Regret: 8696.945714285712, Accuracy: 0.5385316086718892, Fuzzy Accuracy: 0.7868464201129531
Regret: 8510.779999999993, Accuracy: 0.43177263618145384, Fuzzy Accuracy: 0.6944798688285663
Regret: 8317.048571428551, Accuracy: 0.4933503370377118, Fuzzy Accuracy: 0.7454909819639278
Regret: 8523.171428571432, Accuracy: 0.5456367280014575, Fuzzy Accuracy: 0.7946802696301695
Regret: 8418.89714285714, Accuracy: 0.46092184368737477, Fuzzy Accuracy: 0.7236290763344871
Regret: 8416.182857142843, Accuracy: 0.5560211331754418, Fuzzy Accuracy: 0.7997813809437055
Regret: 8334.794285714263, Accuracy: 0.5387137912188013, Fuzzy Accuracy: 0.783384951721625
Regret: 8431.737142857117, Accuracy: 0.5385316086718892, Fuzzy Accuracy: 0.780105665877209
Regret: 8535.957142857142, Accuracy: 0.5707779194753143, Fuzzy Accuracy: 0.8090726908362179
Regret: 8629.071428571433, Accuracy: 0.43341227910366187, Fuzzy Accuracy: 0.6955729641100382
Regret: 8538.634285714279, Accuracy: 0.5722353798506103, Fuzzy Accuracy: 0.8072508653670978
Regret: 8560.642857142855, Accuracy: 0.48296593186372744, Fuzzy Accuracy: 0.7314629258517034
Regret: 8552.525714285706, Accuracy: 0.5383494261249773, Fuzzy Accuracy: 0.7786482055019129
Regret: 8482.385714285696, Accuracy: 0.5429039897977773, Fuzzy Accuracy: 0.7790125705957369
Regret: 8363.357142857138, Accuracy: 0.5019129167425761, Fuzzy Accuracy: 0.7544179267626161
Regret: 8527.279999999999, Accuracy: 0.4270358899617417, Fuzzy Accuracy: 0.6833667334669339
Regret: 8640.711428571409, Accuracy: 0.47239934414283113, Fuzzy Accuracy: 0.7270905447258152
Regret: 8664.31999999998, Accuracy: 0.3876844598287484, Fuzzy Accuracy: 0.6527600655857169
Regret: 8543.002857142865, Accuracy: 0.5004554563672801, Fuzzy Accuracy: 0.7402076881034797
Regret: 8507.402857142844, Accuracy: 0.5582073237383859, Fuzzy Accuracy: 0.7986882856622336
Regret: 8519.339999999962, Accuracy: 0.4346875569320459, Fuzzy Accuracy: 0.6983057023137184
Regret: 8379.905714285715, Accuracy: 0.530333394060849, Fuzzy Accuracy: 0.7766441974858809
Regret: 8507.37428571427, Accuracy: 0.4838768445982875, Fuzzy Accuracy: 0.7371105848059756
Regret: 8682.417142857135, Accuracy: 0.45746037529604666, Fuzzy Accuracy: 0.7110584805975587
Regret: 8565.254285714273, Accuracy: 0.5574785935507378, Fuzzy Accuracy: 0.7954089998178174
Regret: 8420.67142857141, Accuracy: 0.4816906540353434, Fuzzy Accuracy: 0.7340134815084715
Regret: 8641.322857142864, Accuracy: 0.5040991073055201, Fuzzy Accuracy: 0.7549644744033521
Regret: 8475.45999999999, Accuracy: 0.43687374749499, Fuzzy Accuracy: 0.7015849881581344
Regret: 8689.557142857144, Accuracy: 0.4909819639278557, Fuzzy Accuracy: 0.7409364182911277
Regret: 8452.565714285702, Accuracy: 0.5177627983239206, Fuzzy Accuracy: 0.7719074512661687
