Regret: 1948, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8690107487702678
Regret: 1920, Accuracy: 0.654399708507925, Fuzzy Accuracy: 0.8680998360357077
Regret: 1925, Accuracy: 0.6527600655857169, Fuzzy Accuracy: 0.8693751138640918
Regret: 1926, Accuracy: 0.6518491528511569, Fuzzy Accuracy: 0.8702860265986518
Regret: 1922, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8704682091455639
Regret: 1924, Accuracy: 0.6533066132264529, Fuzzy Accuracy: 0.8691929313171798
Regret: 1943, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8704682091455639
Regret: 1906, Accuracy: 0.656039351430133, Fuzzy Accuracy: 0.87465840772454
Regret: 1909, Accuracy: 0.656403716523957, Fuzzy Accuracy: 0.875751503006012
Regret: 1947, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8666423756604117
Regret: 1943, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8675532883949718
Regret: 1947, Accuracy: 0.6491164146474768, Fuzzy Accuracy: 0.8655492803789397
Regret: 1943, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8655492803789397
Regret: 1939, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8677354709418837
Regret: 1910, Accuracy: 0.6551284386955729, Fuzzy Accuracy: 0.8695572964110039
Regret: 1968, Accuracy: 0.6440153033339406, Fuzzy Accuracy: 0.8691929313171798
Regret: 1915, Accuracy: 0.654035343414101, Fuzzy Accuracy: 0.873018764802332
Regret: 1959, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8644561850974677
Regret: 1912, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8726543997085079
Regret: 1942, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8675532883949718
Regret: 1904, Accuracy: 0.6565858990708691, Fuzzy Accuracy: 0.8686463836764438
Regret: 1919, Accuracy: 0.654035343414101, Fuzzy Accuracy: 0.8679176534887958
Regret: 1906, Accuracy: 0.656403716523957, Fuzzy Accuracy: 0.8715613044270359
Regret: 1942, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8671889233011477
Regret: 1919, Accuracy: 0.6533066132264529, Fuzzy Accuracy: 0.8713791218801239
Regret: 1939, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8666423756604117
Regret: 1939, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8664601931134998
Regret: 1981, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8604481690654036
Regret: 1894, Accuracy: 0.6574968118054291, Fuzzy Accuracy: 0.8728365822554199
Regret: 1915, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.8717434869739479
Regret: 1945, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8662780105665877
Regret: 1975, Accuracy: 0.6434687556932046, Fuzzy Accuracy: 0.8666423756604117
Regret: 1927, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8704682091455639
Regret: 1911, Accuracy: 0.654581891054837, Fuzzy Accuracy: 0.8695572964110039
Regret: 1851, Accuracy: 0.6653306613226453, Fuzzy Accuracy: 0.877208963381308
Regret: 1913, Accuracy: 0.6547640736017489, Fuzzy Accuracy: 0.8708325742393879
Regret: 1933, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8706503916924758
Regret: 1928, Accuracy: 0.6514847877573329, Fuzzy Accuracy: 0.8713791218801239
Regret: 1965, Accuracy: 0.6443796684277646, Fuzzy Accuracy: 0.8657314629258517
Regret: 1941, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8659136454727637
Regret: 1926, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8721078520677719
Regret: 1924, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8693751138640918
Regret: 1954, Accuracy: 0.6480233193660048, Fuzzy Accuracy: 0.8662780105665877
Regret: 1994, Accuracy: 0.6400072873018765, Fuzzy Accuracy: 0.8640918200036436
Regret: 1903, Accuracy: 0.656221533977045, Fuzzy Accuracy: 0.873383129896156
Regret: 1937, Accuracy: 0.6496629622882127, Fuzzy Accuracy: 0.8670067407542358
Regret: 1942, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8675532883949718
Regret: 1941, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8704682091455639
Regret: 1956, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8675532883949718
Regret: 1904, Accuracy: 0.6565858990708691, Fuzzy Accuracy: 0.872472217161596
