Regret: 1946, Accuracy: 0.6454727637092367, Fuzzy Accuracy: 0.8637274549098196
Regret: 1931, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8653670978320277
Regret: 1938, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8671889233011477
Regret: 1928, Accuracy: 0.6487520495536527, Fuzzy Accuracy: 0.8671889233011477
Regret: 1922, Accuracy: 0.6498451448351248, Fuzzy Accuracy: 0.8666423756604117
Regret: 1920, Accuracy: 0.6502095099289488, Fuzzy Accuracy: 0.8690107487702678
Regret: 1944, Accuracy: 0.6458371288030607, Fuzzy Accuracy: 0.8662780105665877
Regret: 1912, Accuracy: 0.6516669703042448, Fuzzy Accuracy: 0.8706503916924758
Regret: 1910, Accuracy: 0.6520313353980689, Fuzzy Accuracy: 0.8660958280196757
Regret: 1901, Accuracy: 0.6536709783202769, Fuzzy Accuracy: 0.8706503916924758
Regret: 1919, Accuracy: 0.6503916924758608, Fuzzy Accuracy: 0.8682820185826198
Regret: 1931, Accuracy: 0.6482055019129167, Fuzzy Accuracy: 0.8659136454727637
Regret: 1941, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8631809072690836
Regret: 1967, Accuracy: 0.6416469302240845, Fuzzy Accuracy: 0.8651849152851157
Regret: 1871, Accuracy: 0.659136454727637, Fuzzy Accuracy: 0.8711969393332119
Regret: 1948, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8639096374567317
Regret: 1924, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8653670978320277
Regret: 1958, Accuracy: 0.6432865731462926, Fuzzy Accuracy: 0.8639096374567317
Regret: 1891, Accuracy: 0.655492803789397, Fuzzy Accuracy: 0.8701038440517398
Regret: 1934, Accuracy: 0.6476589542721807, Fuzzy Accuracy: 0.8655492803789397
Regret: 1941, Accuracy: 0.6463836764437967, Fuzzy Accuracy: 0.8671889233011477
Regret: 1914, Accuracy: 0.6513026052104208, Fuzzy Accuracy: 0.8668245582073237
Regret: 1909, Accuracy: 0.6522135179449808, Fuzzy Accuracy: 0.8646383676443796
Regret: 1930, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8629987247221717
Regret: 1915, Accuracy: 0.6511204226635089, Fuzzy Accuracy: 0.8706503916924758
Regret: 1921, Accuracy: 0.6500273273820368, Fuzzy Accuracy: 0.8668245582073237
Regret: 1918, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8697394789579158
Regret: 1935, Accuracy: 0.6474767717252687, Fuzzy Accuracy: 0.8671889233011477
Regret: 1895, Accuracy: 0.6547640736017489, Fuzzy Accuracy: 0.8704682091455639
Regret: 1938, Accuracy: 0.6469302240845327, Fuzzy Accuracy: 0.8620878119876116
Regret: 1900, Accuracy: 0.6538531608671889, Fuzzy Accuracy: 0.8684642011295318
Regret: 1959, Accuracy: 0.6431043905993806, Fuzzy Accuracy: 0.8588085261431955
Regret: 1965, Accuracy: 0.6420112953179086, Fuzzy Accuracy: 0.8588085261431955
Regret: 1902, Accuracy: 0.6534887957733649, Fuzzy Accuracy: 0.8690107487702678
Regret: 1918, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8690107487702678
Regret: 1927, Accuracy: 0.6489342321005648, Fuzzy Accuracy: 0.8684642011295318
Regret: 1956, Accuracy: 0.6436509382401165, Fuzzy Accuracy: 0.8653670978320277
Regret: 1980, Accuracy: 0.6392785571142284, Fuzzy Accuracy: 0.8606303516123155
Regret: 1903, Accuracy: 0.6533066132264529, Fuzzy Accuracy: 0.8699216615048279
Regret: 1918, Accuracy: 0.6505738750227729, Fuzzy Accuracy: 0.8668245582073237
Regret: 1905, Accuracy: 0.6529422481326289, Fuzzy Accuracy: 0.8704682091455639
Regret: 1948, Accuracy: 0.6451083986154127, Fuzzy Accuracy: 0.8642740025505556
Regret: 1953, Accuracy: 0.6441974858808526, Fuzzy Accuracy: 0.8620878119876116
Regret: 1930, Accuracy: 0.6483876844598288, Fuzzy Accuracy: 0.8675532883949718
Regret: 1937, Accuracy: 0.6471124066314448, Fuzzy Accuracy: 0.8679176534887958
Regret: 1983, Accuracy: 0.6387320094734924, Fuzzy Accuracy: 0.8599016214246675
Regret: 1942, Accuracy: 0.6462014938968846, Fuzzy Accuracy: 0.8664601931134998
Regret: 1944, Accuracy: 0.6458371288030607, Fuzzy Accuracy: 0.8668245582073237
Regret: 1924, Accuracy: 0.6494807797413008, Fuzzy Accuracy: 0.8650027327382037
Regret: 1908, Accuracy: 0.6523957004918929, Fuzzy Accuracy: 0.8721078520677719
