Regret: 917, Accuracy: 0.62625, Fuzzy Accuracy: 0.85625
Regret: 855, Accuracy: 0.6516666666666666, Fuzzy Accuracy: 0.8591666666666666
Regret: 866, Accuracy: 0.6445833333333333, Fuzzy Accuracy: 0.8570833333333333
Regret: 843, Accuracy: 0.6541666666666667, Fuzzy Accuracy: 0.8575
Regret: 869, Accuracy: 0.6420833333333333, Fuzzy Accuracy: 0.86125
Regret: 865, Accuracy: 0.6458333333333334, Fuzzy Accuracy: 0.8566666666666667
Regret: 889, Accuracy: 0.6358333333333334, Fuzzy Accuracy: 0.86
Regret: 854, Accuracy: 0.6495833333333333, Fuzzy Accuracy: 0.865
Regret: 871, Accuracy: 0.645, Fuzzy Accuracy: 0.8695833333333334
Regret: 897, Accuracy: 0.6320833333333333, Fuzzy Accuracy: 0.8495833333333334
Regret: 887, Accuracy: 0.6354166666666666, Fuzzy Accuracy: 0.8579166666666667
Regret: 889, Accuracy: 0.6375, Fuzzy Accuracy: 0.8583333333333333
Regret: 904, Accuracy: 0.6304166666666666, Fuzzy Accuracy: 0.8491666666666666
Regret: 859, Accuracy: 0.6470833333333333, Fuzzy Accuracy: 0.8604166666666667
Regret: 861, Accuracy: 0.6470833333333333, Fuzzy Accuracy: 0.8516666666666667
Regret: 869, Accuracy: 0.6429166666666667, Fuzzy Accuracy: 0.85875
Regret: 858, Accuracy: 0.6466666666666666, Fuzzy Accuracy: 0.86125
Regret: 899, Accuracy: 0.6308333333333334, Fuzzy Accuracy: 0.8554166666666667
Regret: 896, Accuracy: 0.63125, Fuzzy Accuracy: 0.8566666666666667
Regret: 884, Accuracy: 0.6354166666666666, Fuzzy Accuracy: 0.8516666666666667
Regret: 870, Accuracy: 0.6441666666666667, Fuzzy Accuracy: 0.8533333333333334
Regret: 854, Accuracy: 0.6508333333333334, Fuzzy Accuracy: 0.8633333333333333
Regret: 909, Accuracy: 0.6270833333333333, Fuzzy Accuracy: 0.8608333333333333
Regret: 921, Accuracy: 0.62375, Fuzzy Accuracy: 0.8491666666666666
Regret: 864, Accuracy: 0.6441666666666667, Fuzzy Accuracy: 0.8654166666666666
Regret: 902, Accuracy: 0.62875, Fuzzy Accuracy: 0.8525
Regret: 881, Accuracy: 0.64, Fuzzy Accuracy: 0.8545833333333334
Regret: 886, Accuracy: 0.6366666666666667, Fuzzy Accuracy: 0.8579166666666667
Regret: 875, Accuracy: 0.64, Fuzzy Accuracy: 0.86375
Regret: 893, Accuracy: 0.63375, Fuzzy Accuracy: 0.8583333333333333
Regret: 892, Accuracy: 0.63375, Fuzzy Accuracy: 0.8533333333333334
Regret: 918, Accuracy: 0.6233333333333333, Fuzzy Accuracy: 0.85125
Regret: 910, Accuracy: 0.625, Fuzzy Accuracy: 0.8504166666666667
Regret: 873, Accuracy: 0.64125, Fuzzy Accuracy: 0.85625
Regret: 826, Accuracy: 0.6608333333333334, Fuzzy Accuracy: 0.8658333333333333
Regret: 841, Accuracy: 0.6545833333333333, Fuzzy Accuracy: 0.8691666666666666
Regret: 862, Accuracy: 0.6475, Fuzzy Accuracy: 0.8625
Regret: 871, Accuracy: 0.6420833333333333, Fuzzy Accuracy: 0.8633333333333333
Regret: 926, Accuracy: 0.6179166666666667, Fuzzy Accuracy: 0.8525
Regret: 856, Accuracy: 0.64875, Fuzzy Accuracy: 0.85625
Regret: 887, Accuracy: 0.635, Fuzzy Accuracy: 0.8629166666666667
Regret: 864, Accuracy: 0.6433333333333333, Fuzzy Accuracy: 0.8583333333333333
Regret: 921, Accuracy: 0.6241666666666666, Fuzzy Accuracy: 0.84625
Regret: 889, Accuracy: 0.6354166666666666, Fuzzy Accuracy: 0.8520833333333333
Regret: 831, Accuracy: 0.6583333333333333, Fuzzy Accuracy: 0.8679166666666667
Regret: 903, Accuracy: 0.62875, Fuzzy Accuracy: 0.8525
Regret: 861, Accuracy: 0.64875, Fuzzy Accuracy: 0.8629166666666667
Regret: 892, Accuracy: 0.6354166666666666, Fuzzy Accuracy: 0.87125
Regret: 882, Accuracy: 0.6370833333333333, Fuzzy Accuracy: 0.85375
Regret: 844, Accuracy: 0.6558333333333334, Fuzzy Accuracy: 0.865
