Regret: 1611, Accuracy: 0.642, Fuzzy Accuracy: 0.8611111111111112
Regret: 1604, Accuracy: 0.6435555555555555, Fuzzy Accuracy: 0.8604444444444445
Regret: 1592, Accuracy: 0.6462222222222223, Fuzzy Accuracy: 0.8686666666666667
Regret: 1585, Accuracy: 0.6477777777777778, Fuzzy Accuracy: 0.8648888888888889
Regret: 1601, Accuracy: 0.6442222222222223, Fuzzy Accuracy: 0.8631111111111112
Regret: 1607, Accuracy: 0.6428888888888888, Fuzzy Accuracy: 0.8662222222222222
Regret: 1590, Accuracy: 0.6466666666666666, Fuzzy Accuracy: 0.8653333333333333
Regret: 1578, Accuracy: 0.6493333333333333, Fuzzy Accuracy: 0.8715555555555555
Regret: 1600, Accuracy: 0.6444444444444445, Fuzzy Accuracy: 0.8615555555555555
Regret: 1568, Accuracy: 0.6515555555555556, Fuzzy Accuracy: 0.8686666666666667
Regret: 1575, Accuracy: 0.65, Fuzzy Accuracy: 0.8646666666666667
Regret: 1588, Accuracy: 0.6471111111111111, Fuzzy Accuracy: 0.8673333333333333
Regret: 1602, Accuracy: 0.644, Fuzzy Accuracy: 0.86
Regret: 1626, Accuracy: 0.6386666666666667, Fuzzy Accuracy: 0.8664444444444445
Regret: 1546, Accuracy: 0.6564444444444445, Fuzzy Accuracy: 0.8673333333333333
Regret: 1603, Accuracy: 0.6437777777777778, Fuzzy Accuracy: 0.8633333333333333
Regret: 1605, Accuracy: 0.6433333333333333, Fuzzy Accuracy: 0.8611111111111112
Regret: 1629, Accuracy: 0.638, Fuzzy Accuracy: 0.8604444444444445
Regret: 1581, Accuracy: 0.6486666666666666, Fuzzy Accuracy: 0.8644444444444445
Regret: 1608, Accuracy: 0.6426666666666667, Fuzzy Accuracy: 0.8622222222222222
Regret: 1606, Accuracy: 0.6431111111111111, Fuzzy Accuracy: 0.8642222222222222
Regret: 1596, Accuracy: 0.6453333333333333, Fuzzy Accuracy: 0.8615555555555555
Regret: 1574, Accuracy: 0.6502222222222223, Fuzzy Accuracy: 0.8631111111111112
Regret: 1604, Accuracy: 0.6435555555555555, Fuzzy Accuracy: 0.8586666666666667
Regret: 1575, Accuracy: 0.65, Fuzzy Accuracy: 0.8702222222222222
Regret: 1583, Accuracy: 0.6482222222222223, Fuzzy Accuracy: 0.8657777777777778
Regret: 1578, Accuracy: 0.6493333333333333, Fuzzy Accuracy: 0.8671111111111112
Regret: 1609, Accuracy: 0.6424444444444445, Fuzzy Accuracy: 0.8617777777777778
Regret: 1566, Accuracy: 0.652, Fuzzy Accuracy: 0.8671111111111112
Regret: 1587, Accuracy: 0.6473333333333333, Fuzzy Accuracy: 0.8617777777777778
Regret: 1570, Accuracy: 0.6511111111111111, Fuzzy Accuracy: 0.8646666666666667
Regret: 1604, Accuracy: 0.6435555555555555, Fuzzy Accuracy: 0.8555555555555555
Regret: 1638, Accuracy: 0.636, Fuzzy Accuracy: 0.8542222222222222
Regret: 1565, Accuracy: 0.6522222222222223, Fuzzy Accuracy: 0.866
Regret: 1554, Accuracy: 0.6546666666666666, Fuzzy Accuracy: 0.8668888888888889
Regret: 1580, Accuracy: 0.6488888888888888, Fuzzy Accuracy: 0.8662222222222222
Regret: 1605, Accuracy: 0.6433333333333333, Fuzzy Accuracy: 0.8637777777777778
Regret: 1640, Accuracy: 0.6355555555555555, Fuzzy Accuracy: 0.8588888888888889
Regret: 1582, Accuracy: 0.6484444444444445, Fuzzy Accuracy: 0.8664444444444445
Regret: 1585, Accuracy: 0.6477777777777778, Fuzzy Accuracy: 0.8648888888888889
Regret: 1578, Accuracy: 0.6493333333333333, Fuzzy Accuracy: 0.8704444444444445
Regret: 1609, Accuracy: 0.6424444444444445, Fuzzy Accuracy: 0.864
Regret: 1602, Accuracy: 0.644, Fuzzy Accuracy: 0.858
Regret: 1584, Accuracy: 0.648, Fuzzy Accuracy: 0.8677777777777778
Regret: 1584, Accuracy: 0.648, Fuzzy Accuracy: 0.8673333333333333
Regret: 1669, Accuracy: 0.6291111111111111, Fuzzy Accuracy: 0.8533333333333334
Regret: 1610, Accuracy: 0.6422222222222222, Fuzzy Accuracy: 0.8628888888888889
Regret: 1618, Accuracy: 0.6404444444444445, Fuzzy Accuracy: 0.864
Regret: 1610, Accuracy: 0.6422222222222222, Fuzzy Accuracy: 0.8626666666666667
Regret: 1573, Accuracy: 0.6504444444444445, Fuzzy Accuracy: 0.8677777777777778
